date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,146,146,141.1,141.9,11371
2022-01-04 00:00:00+05:30,140.15,144,139.9,140.3,6874
2022-01-05 00:00:00+05:30,139,141,138.1,140.05,5791
2022-01-06 00:00:00+05:30,138.15,141.95,138.15,140.9,4290
2022-01-07 00:00:00+05:30,146,146,140.05,140.95,10242
2022-01-10 00:00:00+05:30,143,144.05,140.3,142.5,7011
2022-01-11 00:00:00+05:30,143.8,143.8,138,139,7471
2022-01-12 00:00:00+05:30,143,143,139.15,140.4,4634
2022-01-13 00:00:00+05:30,141.8,141.8,136.1,138.25,3561
2022-01-14 00:00:00+05:30,137.9,140,136.3,138.4,5576
2022-01-17 00:00:00+05:30,138,141.8,138,140.9,3388
2022-01-18 00:00:00+05:30,141.9,142.9,138.25,139.35,3476
2022-01-19 00:00:00+05:30,133.35,139.8,133.35,137.05,2239
2022-01-20 00:00:00+05:30,141.7,141.7,136.75,137.25,1443
2022-01-21 00:00:00+05:30,140,140,136.7,137.4,1737
2022-01-24 00:00:00+05:30,139.6,139.6,130.55,131.2,2098
2022-01-25 00:00:00+05:30,126.15,136.8,125.35,133.6,2685
2022-01-27 00:00:00+05:30,136.45,136.45,134,135.45,1087
2022-01-28 00:00:00+05:30,138,139,132,134.1,1749
2022-01-31 00:00:00+05:30,132.5,132.95,130,131.15,3020
2022-02-01 00:00:00+05:30,130,130.25,124.6,124.6,7254
2022-02-02 00:00:00+05:30,128,130.8,120.95,130.45,10377
2022-02-03 00:00:00+05:30,134,134,128.5,129.75,1902
2022-02-04 00:00:00+05:30,127.25,132.2,127.25,131.75,1124
2022-02-07 00:00:00+05:30,131.8,131.8,123.2,125.95,3649
2022-02-08 00:00:00+05:30,125.4,127.85,125.05,125.05,1509
2022-02-09 00:00:00+05:30,127.95,128,121,123.15,1176
2022-02-10 00:00:00+05:30,122.3,122.3,110.85,114.8,15508
2022-02-11 00:00:00+05:30,115,125.9,112,112.8,3995
2022-02-14 00:00:00+05:30,108.3,113.95,108.3,111.6,1229
2022-02-15 00:00:00+05:30,110,112.75,101.1,102.7,4183
2022-02-16 00:00:00+05:30,102.7,112.95,102.5,111.5,6906
2022-02-17 00:00:00+05:30,118,118,105.05,107.35,4167
2022-02-18 00:00:00+05:30,105.95,106.85,103.65,104.95,752
2022-02-21 00:00:00+05:30,105.8,105.8,98.75,99.45,3964
2022-02-22 00:00:00+05:30,96.25,97.95,91.85,92.1,4202
2022-02-23 00:00:00+05:30,95.85,96.7,95.85,96.7,1778
2022-02-24 00:00:00+05:30,99,99,91.9,91.9,1659
2022-02-25 00:00:00+05:30,94.95,94.95,91.65,94.05,660
2022-02-28 00:00:00+05:30,95.9,95.9,91.9,93.95,1337
2022-03-02 00:00:00+05:30,97.45,97.5,92.3,96.2,1591
2022-03-03 00:00:00+05:30,96.95,97.45,93.1,94,993
2022-03-04 00:00:00+05:30,93.95,94.1,91.05,93.8,867
2022-03-07 00:00:00+05:30,97.2,97.2,93.6,94.15,1147
2022-03-08 00:00:00+05:30,95.8,95.8,93.55,94.85,257
2022-03-09 00:00:00+05:30,96,96,92.15,93.55,1269
2022-03-10 00:00:00+05:30,95.9,98.2,93.7,98.2,1381
2022-03-11 00:00:00+05:30,98.2,98.2,95.25,97.45,226
2022-03-14 00:00:00+05:30,97,98.55,93.35,95.65,2280
2022-03-15 00:00:00+05:30,97.35,97.35,93.55,94.25,874
2022-03-16 00:00:00+05:30,96.75,98.95,94.35,97.5,892
2022-03-17 00:00:00+05:30,98,100.95,98,99.35,2950
2022-03-21 00:00:00+05:30,103.95,103.95,95.25,99.1,2148
2022-03-22 00:00:00+05:30,97.95,101.2,96.3,99.2,493
2022-03-23 00:00:00+05:30,98,99.9,97.15,99.35,281
2022-03-24 00:00:00+05:30,103.8,103.8,98.05,99.55,528
2022-03-25 00:00:00+05:30,102.65,102.65,95.25,96.75,1560
2022-03-28 00:00:00+05:30,95.75,101.55,95.75,98.2,3183
2022-03-29 00:00:00+05:30,97.2,97.6,94.2,95.4,2959
2022-03-30 00:00:00+05:30,95.45,98,93.2,95.1,2392
2022-03-31 00:00:00+05:30,96.45,98,95.25,97.9,3479
2022-04-01 00:00:00+05:30,97.8,97.8,94.55,97.35,1445
2022-04-04 00:00:00+05:30,97.9,102.2,96.7,101.8,3688
2022-04-05 00:00:00+05:30,106.85,106.85,96.8,103.45,4771
2022-04-06 00:00:00+05:30,103,108.4,102.3,105.3,1922
2022-04-07 00:00:00+05:30,112.7,112.7,100,108.3,5383
2022-04-08 00:00:00+05:30,102.05,112.9,102.05,111.7,3742
