date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,432,444,431.55,440.85,609065
2022-01-04 00:00:00+05:30,445.95,445.95,430.85,432.9,457230
2022-01-05 00:00:00+05:30,434,434.7,425,428.25,324870
2022-01-06 00:00:00+05:30,425,435.8,421,433.25,473821
2022-01-07 00:00:00+05:30,438.65,438.65,425.55,426.6,342769
2022-01-10 00:00:00+05:30,439.9,447.9,433.15,447.9,694111
2022-01-11 00:00:00+05:30,459.5,470.25,456,470.25,1105942
2022-01-12 00:00:00+05:30,486.4,493.75,470.5,473.45,2291604
2022-01-13 00:00:00+05:30,475.95,479.3,456.1,461.3,866475
2022-01-14 00:00:00+05:30,460.95,481.65,457,471.15,976262
2022-01-17 00:00:00+05:30,477.8,479.8,468,469.7,517356
2022-01-18 00:00:00+05:30,473.3,474.95,452.05,455,547945
2022-01-19 00:00:00+05:30,450.85,461,446.15,451.8,539114
2022-01-20 00:00:00+05:30,455,464.75,450.25,452.4,424064
2022-01-21 00:00:00+05:30,451,454.55,431,438.7,507862
2022-01-24 00:00:00+05:30,444,444,416.8,417.45,686178
2022-01-25 00:00:00+05:30,414,429,397,421.6,565842
2022-01-27 00:00:00+05:30,417,434,412.05,428,537009
2022-01-28 00:00:00+05:30,433.8,449,432,433.15,473338
2022-01-31 00:00:00+05:30,444.9,446.4,431,435.3,400214
2022-02-01 00:00:00+05:30,445,457.05,414,454.5,861494
2022-02-02 00:00:00+05:30,477.2,477.2,477.2,477.2,212231
2022-02-03 00:00:00+05:30,501.05,501.05,480.8,484.2,2635359
2022-02-04 00:00:00+05:30,492,492.2,475.1,477.2,938245
2022-02-07 00:00:00+05:30,474,486.95,465.5,468.8,613295
2022-02-08 00:00:00+05:30,472.7,474.95,446.05,454,648411
2022-02-09 00:00:00+05:30,458.9,464,451,453.35,384850
2022-02-10 00:00:00+05:30,454.8,469.45,450.8,455.05,570957
2022-02-11 00:00:00+05:30,452,455,440.95,444.25,474290
2022-02-14 00:00:00+05:30,415,441.6,415,422.1,1130419
2022-02-15 00:00:00+05:30,425,441,420.3,437.25,789400
2022-02-16 00:00:00+05:30,452,452,439,443.35,512796
2022-02-17 00:00:00+05:30,448,448,432.6,435.4,337023
2022-02-18 00:00:00+05:30,423,434.65,423,425.6,442362
2022-02-21 00:00:00+05:30,420.1,428,414,415.45,557957
2022-02-22 00:00:00+05:30,399.8,408,397.5,403.2,700821
2022-02-23 00:00:00+05:30,403.2,418,403.05,411.6,554399
2022-02-24 00:00:00+05:30,395,402.1,370.45,371.8,1567679
2022-02-25 00:00:00+05:30,390,408.95,390,404.9,947752
2022-02-28 00:00:00+05:30,403.8,410,385.15,407.6,670720
2022-03-02 00:00:00+05:30,403,415.75,400.05,407.8,519012
2022-03-03 00:00:00+05:30,422,422,408.8,410.65,416016
2022-03-04 00:00:00+05:30,402.5,416.4,401.5,406.75,532215
2022-03-07 00:00:00+05:30,395,402.95,392,398.6,491395
2022-03-08 00:00:00+05:30,406,407.4,398.6,403.35,375151
2022-03-09 00:00:00+05:30,409,419,407.05,414.35,379679
2022-03-10 00:00:00+05:30,432,432,417,419.2,507338
2022-03-11 00:00:00+05:30,419,424,415.15,420.3,408424
2022-03-14 00:00:00+05:30,421.8,433.7,414.5,420.7,657632
2022-03-15 00:00:00+05:30,423,426.7,413.05,415.8,427946
2022-03-16 00:00:00+05:30,423.5,423.5,417,417.85,346296
2022-03-17 00:00:00+05:30,424.8,432,420.75,424.1,646362
2022-03-21 00:00:00+05:30,426,431.65,419.05,420.55,534091
2022-03-22 00:00:00+05:30,420.6,423.8,417.55,420.3,316323
2022-03-23 00:00:00+05:30,424,425.2,416.5,417.3,314250
2022-03-24 00:00:00+05:30,416.9,420.8,410,412.9,426651
2022-03-25 00:00:00+05:30,416.9,416.9,406,409.15,541270
2022-03-28 00:00:00+05:30,409.5,411.2,399.25,400.75,693674
2022-03-29 00:00:00+05:30,404.75,409.95,398,399.25,663735
2022-03-30 00:00:00+05:30,402.2,409,400.4,402.6,636143
2022-03-31 00:00:00+05:30,404.9,406.9,398,399.4,484278
2022-04-01 00:00:00+05:30,400.9,439.3,400.1,436.45,2524955
2022-04-04 00:00:00+05:30,441.4,463.45,436,451.85,3339520
2022-04-05 00:00:00+05:30,454.9,457.95,440.55,446.05,1517270
2022-04-06 00:00:00+05:30,441.1,457,438.5,450.05,1276733
2022-04-07 00:00:00+05:30,456,493.95,456,465.95,5787104
2022-04-08 00:00:00+05:30,472,483,467,470.2,1635636
