date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,384.05,390,382.15,388.7,13748
2022-01-04 00:00:00+05:30,389.2,399.55,388.85,390.75,14155
2022-01-05 00:00:00+05:30,390.75,399,388,396.2,31203
2022-01-06 00:00:00+05:30,395,395,385.05,387.85,14167
2022-01-07 00:00:00+05:30,388,411.2,388,405.3,56483
2022-01-10 00:00:00+05:30,409.25,409.25,394.15,398.3,26547
2022-01-11 00:00:00+05:30,405,405,391.7,392.75,21887
2022-01-12 00:00:00+05:30,400,409.8,395.8,408.1,43732
2022-01-13 00:00:00+05:30,410,414.8,401,402.55,37990
2022-01-14 00:00:00+05:30,405,408,398.2,406.05,26255
2022-01-17 00:00:00+05:30,401,413.6,401,405.15,20267
2022-01-18 00:00:00+05:30,410.3,413.9,401.3,405.1,24246
2022-01-19 00:00:00+05:30,397.45,404.25,397.45,400,11273
2022-01-20 00:00:00+05:30,400,405.55,397.45,402.55,28778
2022-01-21 00:00:00+05:30,404,404,392.5,395.6,59422
2022-01-24 00:00:00+05:30,395.6,396.95,371.4,376.9,27297
2022-01-25 00:00:00+05:30,379,386,364.55,382.8,12248
2022-01-27 00:00:00+05:30,380,401.3,376.9,397.6,24844
2022-01-28 00:00:00+05:30,394,405.2,385.05,390.75,18010
2022-01-31 00:00:00+05:30,390.2,424.4,390.2,397.75,38199
2022-02-01 00:00:00+05:30,395.55,401,390,394.7,56122
2022-02-02 00:00:00+05:30,398.3,400,391.25,393,28974
2022-02-03 00:00:00+05:30,397.9,397.9,391.7,393.85,10568
2022-02-04 00:00:00+05:30,395.35,399,389.05,394.55,27123
2022-02-07 00:00:00+05:30,397.45,397.45,383.15,385,18412
2022-02-08 00:00:00+05:30,386.85,389.35,379.85,382.65,8780
2022-02-09 00:00:00+05:30,388,388,378,379.8,5393
2022-02-10 00:00:00+05:30,384.05,385.05,377.1,378.2,13010
2022-02-11 00:00:00+05:30,378.9,387,351.7,374.9,27542
2022-02-14 00:00:00+05:30,361,362.5,352.1,357.45,49573
2022-02-15 00:00:00+05:30,363.05,381.5,344.65,373.05,81864
2022-02-16 00:00:00+05:30,370.05,378.95,360.55,364.7,29180
2022-02-17 00:00:00+05:30,365.15,372,362.05,371.2,47479
2022-02-18 00:00:00+05:30,369.35,381.95,362.7,374.55,20805
2022-02-21 00:00:00+05:30,381,381,351,352.6,24241
2022-02-22 00:00:00+05:30,345.05,356.45,332.25,353.3,58077
2022-02-23 00:00:00+05:30,351.5,358.5,347,351.85,44386
2022-02-24 00:00:00+05:30,344.9,345.85,321.2,328.85,98417
2022-02-25 00:00:00+05:30,329.9,357.9,329.9,353.2,23614
2022-02-28 00:00:00+05:30,353.2,354.45,340.65,352.65,12201
2022-03-02 00:00:00+05:30,352.5,352.65,343.2,348.55,26438
2022-03-03 00:00:00+05:30,348.55,358.75,333.65,335.3,20982
2022-03-04 00:00:00+05:30,335.3,342.9,328.35,341.6,28193
2022-03-07 00:00:00+05:30,330,339.8,325,326.6,32854
2022-03-08 00:00:00+05:30,333.7,346.7,333.15,344.95,16919
2022-03-09 00:00:00+05:30,346.3,356,336.2,347.65,24008
2022-03-10 00:00:00+05:30,357.95,357.95,336.4,340.55,34595
2022-03-11 00:00:00+05:30,344.5,348.95,327,342.75,74283
2022-03-14 00:00:00+05:30,344,364.4,343.05,360.65,50566
2022-03-15 00:00:00+05:30,364.95,377,354.55,371.7,33011
2022-03-16 00:00:00+05:30,379,392,369,388.4,83454
2022-03-17 00:00:00+05:30,390,390.15,372,379.25,203118
2022-03-21 00:00:00+05:30,376,388,376,386,35208
2022-03-22 00:00:00+05:30,383,391.85,380,383.05,21676
2022-03-23 00:00:00+05:30,385.05,388.15,376,383.65,175223
2022-03-24 00:00:00+05:30,376.4,386.6,368.2,376.25,185941
2022-03-25 00:00:00+05:30,371.45,376.9,354,361.05,26063
2022-03-28 00:00:00+05:30,361.05,374,357,365.4,275310
2022-03-29 00:00:00+05:30,366.05,420.2,366,395.15,438606
2022-03-30 00:00:00+05:30,396,399.4,376.1,379.05,60288
2022-03-31 00:00:00+05:30,390.5,400,381,387.6,225516
2022-04-01 00:00:00+05:30,392,396,387.65,390.2,20922
2022-04-04 00:00:00+05:30,395.95,399.45,392.9,394,53299
2022-04-05 00:00:00+05:30,389.25,399.2,389.25,398.05,48470
2022-04-06 00:00:00+05:30,398.05,399.9,394,395.05,39795
2022-04-07 00:00:00+05:30,395.05,396,385.6,388.2,39561
2022-04-08 00:00:00+05:30,390,401,389.8,397.45,123493
