date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,20.25,20.25,20,20.2,30506
2022-01-04 00:00:00+05:30,21.1,21.1,19.2,19.6,35753
2022-01-05 00:00:00+05:30,18.9,20.5,18.75,19.85,74526
2022-01-06 00:00:00+05:30,19.1,20.2,19.05,19.5,7267
2022-01-07 00:00:00+05:30,19.75,19.75,18.8,18.95,18495
2022-01-10 00:00:00+05:30,19.65,19.85,18.55,19.85,28473
2022-01-11 00:00:00+05:30,20.8,20.8,20.25,20.8,51365
2022-01-12 00:00:00+05:30,21.8,21.8,20,21.25,95910
2022-01-13 00:00:00+05:30,21.8,22.3,20.25,20.5,54471
2022-01-14 00:00:00+05:30,20.55,20.55,19.65,20.2,28683
2022-01-17 00:00:00+05:30,20.6,21.2,20.25,21.2,68078
2022-01-18 00:00:00+05:30,22.25,22.25,21.5,22.2,106875
2022-01-19 00:00:00+05:30,22.15,23.2,21.55,21.75,52691
2022-01-20 00:00:00+05:30,22.6,22.6,21.25,21.65,50458
2022-01-21 00:00:00+05:30,21.6,21.6,20.6,20.6,43992
2022-01-24 00:00:00+05:30,19.65,19.65,19.6,19.6,22839
2022-01-25 00:00:00+05:30,18.65,19.55,18.65,18.9,37907
2022-01-27 00:00:00+05:30,18.9,19.55,18.1,18.75,16430
2022-01-28 00:00:00+05:30,18.9,19.65,18.7,19.65,19989
2022-01-31 00:00:00+05:30,19.8,20.3,18.7,18.85,27091
2022-02-01 00:00:00+05:30,18.9,19,18.15,18.15,19601
2022-02-02 00:00:00+05:30,18,19,17.4,18.25,23931
2022-02-03 00:00:00+05:30,18,18.9,17.8,18.65,4698
2022-02-04 00:00:00+05:30,18.05,19,18,18.95,17231
2022-02-07 00:00:00+05:30,19.5,19.85,18.8,19.45,44922
2022-02-08 00:00:00+05:30,20,20.25,19.05,19.35,29708
2022-02-09 00:00:00+05:30,19.8,19.8,18.65,19,10224
2022-02-10 00:00:00+05:30,18.85,19.4,18.25,18.45,24158
2022-02-11 00:00:00+05:30,18.8,19.25,17.75,18.05,11890
2022-02-14 00:00:00+05:30,18.75,18.75,17.15,17.15,11924
2022-02-15 00:00:00+05:30,17.9,17.9,16.3,16.9,8174
2022-02-16 00:00:00+05:30,16.4,17.5,16.35,16.9,8554
2022-02-17 00:00:00+05:30,16.9,16.9,16.1,16.2,19257
2022-02-18 00:00:00+05:30,15.65,17,15.65,17,41178
2022-02-21 00:00:00+05:30,17.7,17.7,16.15,16.2,23830
2022-02-22 00:00:00+05:30,15.55,16.15,15.4,15.4,9743
2022-02-23 00:00:00+05:30,14.8,15.9,14.7,15,18482
2022-02-24 00:00:00+05:30,14.25,15.75,14.25,15.2,41350
2022-02-25 00:00:00+05:30,15.85,15.95,15.8,15.95,10180
2022-02-28 00:00:00+05:30,16.1,16.55,15.25,15.65,17073
2022-03-02 00:00:00+05:30,15,16.1,15,15.05,30563
2022-03-03 00:00:00+05:30,15.05,15.75,15.05,15.45,3589
2022-03-04 00:00:00+05:30,14.85,15.75,14.8,15.5,2020
2022-03-07 00:00:00+05:30,15.5,15.5,14.75,15,6054
2022-03-08 00:00:00+05:30,14.4,15.35,14.3,14.45,6933
2022-03-09 00:00:00+05:30,15.15,15.15,14.8,15.05,8455
2022-03-10 00:00:00+05:30,15.5,15.7,14.3,15.2,6615
2022-03-11 00:00:00+05:30,14.7,15.65,14.7,15.35,4201
2022-03-14 00:00:00+05:30,15.3,16.1,14.9,16.1,35504
2022-03-15 00:00:00+05:30,16.65,16.9,15.85,15.95,20311
2022-03-16 00:00:00+05:30,16.55,16.7,15.55,16.4,13966
2022-03-17 00:00:00+05:30,16.7,16.8,16.05,16.65,11849
2022-03-21 00:00:00+05:30,16.65,17,15.85,15.85,12701
2022-03-22 00:00:00+05:30,15.85,15.9,15.15,15.55,4807
2022-03-23 00:00:00+05:30,15.9,15.9,14.85,15.15,10096
2022-03-24 00:00:00+05:30,15.15,15.5,14.55,14.95,4913
2022-03-25 00:00:00+05:30,14.95,15.15,14.4,14.65,4940
2022-03-28 00:00:00+05:30,14.55,15.2,14.05,14.15,13690
2022-03-29 00:00:00+05:30,14.2,14.8,13.6,13.8,18677
2022-03-30 00:00:00+05:30,14.3,14.3,13.35,13.6,3576
2022-03-31 00:00:00+05:30,13.6,14.25,13.1,13.15,19975
2022-04-01 00:00:00+05:30,12.6,13.8,12.6,13.75,9124
2022-04-04 00:00:00+05:30,14.4,14.4,13.8,14.35,20564
2022-04-05 00:00:00+05:30,14.65,14.75,13.8,14.5,16116
2022-04-06 00:00:00+05:30,14.8,14.9,14.2,14.5,18485
2022-04-07 00:00:00+05:30,15,15,14,14.45,42192
2022-04-08 00:00:00+05:30,14.8,14.9,14.35,14.8,7194
