date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,60.5,62.5,60.25,61.8,1969464
2022-01-04 00:00:00+05:30,62.1,62.5,61.1,61.3,1057738
2022-01-05 00:00:00+05:30,61.5,62.45,61.3,61.95,1020692
2022-01-06 00:00:00+05:30,61,62.45,60.65,61.65,874252
2022-01-07 00:00:00+05:30,62.15,62.15,60.5,61.1,1185426
2022-01-10 00:00:00+05:30,60.05,62.2,60.05,61.6,1190886
2022-01-11 00:00:00+05:30,61.55,64.75,61.35,64.05,5751283
2022-01-12 00:00:00+05:30,64.6,65,62.55,63.3,1968584
2022-01-13 00:00:00+05:30,63.9,63.9,61.75,62.1,1217985
2022-01-14 00:00:00+05:30,61.85,62.7,60.35,60.75,1648749
2022-01-17 00:00:00+05:30,60.75,61.45,60.5,60.75,1013492
2022-01-18 00:00:00+05:30,60.7,62.85,60.7,61.65,2152326
2022-01-19 00:00:00+05:30,61.4,61.45,60,60.3,1116929
2022-01-20 00:00:00+05:30,60,60.8,60,60.15,618451
2022-01-21 00:00:00+05:30,59.9,60.5,58.7,58.95,827437
2022-01-24 00:00:00+05:30,58.7,58.9,55.1,55.4,1600918
2022-01-25 00:00:00+05:30,56,57.5,54.6,57.05,1150134
2022-01-27 00:00:00+05:30,56.8,57.25,55.4,56.35,791860
2022-01-28 00:00:00+05:30,56,57.75,56,56.65,779041
2022-01-31 00:00:00+05:30,57.7,57.7,55.9,56.1,978766
2022-02-01 00:00:00+05:30,56.95,57,56,56.4,490375
2022-02-02 00:00:00+05:30,56.9,57.9,56.6,57.45,660220
2022-02-03 00:00:00+05:30,57.9,58.15,57.25,57.6,522626
2022-02-04 00:00:00+05:30,57.25,58,57.05,57.45,544737
2022-02-07 00:00:00+05:30,57.6,57.65,56.1,56.5,667128
2022-02-08 00:00:00+05:30,57.35,57.65,55.1,55.35,825816
2022-02-09 00:00:00+05:30,55.45,56.9,55.45,56.45,674399
2022-02-10 00:00:00+05:30,56.75,57.05,56.1,56.45,626201
2022-02-11 00:00:00+05:30,56.4,56.4,53.4,53.8,1813604
2022-02-14 00:00:00+05:30,52.6,53.25,50.25,50.7,1554079
2022-02-15 00:00:00+05:30,51.9,52.5,48.8,50.2,1985999
2022-02-16 00:00:00+05:30,51.6,53.5,51,52.8,1374288
2022-02-17 00:00:00+05:30,53.95,54.4,52,52.5,847552
2022-02-18 00:00:00+05:30,52.45,52.55,50.6,51.05,749059
2022-02-21 00:00:00+05:30,51,51.8,49.05,49.65,1077761
2022-02-22 00:00:00+05:30,47.9,48.6,47.2,48.3,1487789
2022-02-23 00:00:00+05:30,49.85,50.8,47.7,48.4,2388066
2022-02-24 00:00:00+05:30,47,47.1,43.55,43.95,1922770
2022-02-25 00:00:00+05:30,44.4,47.2,44.4,46.55,1561745
2022-02-28 00:00:00+05:30,46.4,47.75,45.55,47.1,1161904
2022-03-02 00:00:00+05:30,47,48,46.55,47.2,827066
2022-03-03 00:00:00+05:30,47.3,48.5,47.3,48.1,904070
2022-03-04 00:00:00+05:30,48,48.35,47,47.6,679984
2022-03-07 00:00:00+05:30,46,46.6,45.65,45.9,739826
2022-03-08 00:00:00+05:30,46.4,47,45.75,46.25,922067
2022-03-09 00:00:00+05:30,46.25,47.95,46.25,47.75,970504
2022-03-10 00:00:00+05:30,48.8,49.5,46.9,47.1,2245874
2022-03-11 00:00:00+05:30,47.45,48.8,47,48.2,1160856
2022-03-14 00:00:00+05:30,48.75,48.75,47.3,47.9,854758
2022-03-15 00:00:00+05:30,48.25,48.9,47.6,48.05,1211171
2022-03-16 00:00:00+05:30,48.5,49.15,48,48.8,922244
2022-03-17 00:00:00+05:30,49.8,50.45,49,49.6,1185882
2022-03-21 00:00:00+05:30,50,50.95,48.55,48.65,1342718
2022-03-22 00:00:00+05:30,48.65,49.4,48.5,48.9,728166
2022-03-23 00:00:00+05:30,49.2,49.7,48.7,49.2,1027357
2022-03-24 00:00:00+05:30,49.4,51.7,48.95,50.9,2641854
2022-03-25 00:00:00+05:30,51.35,51.65,49.5,49.6,1440563
2022-03-28 00:00:00+05:30,50,50.35,46.8,47.2,1894079
2022-03-29 00:00:00+05:30,47.5,48.25,46.1,46.45,2243445
2022-03-30 00:00:00+05:30,47,47.5,46.25,46.5,1644211
2022-03-31 00:00:00+05:30,46.6,47,45.25,45.5,1964232
2022-04-01 00:00:00+05:30,45.6,53.45,45.5,52.35,4673421
2022-04-04 00:00:00+05:30,52.9,54.65,52.25,53.55,3588917
2022-04-05 00:00:00+05:30,53.8,56.7,52.95,55.5,3900055
2022-04-06 00:00:00+05:30,55.4,58.35,55,58.05,3210550
2022-04-07 00:00:00+05:30,58.7,58.9,57.3,58.2,2808707
2022-04-08 00:00:00+05:30,58.05,61.65,58.05,58.9,3872600
