date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,78.6,80.5,78.5,80.05,27328
2022-01-04 00:00:00+05:30,80.15,88.05,79.4,88.05,398912
2022-01-05 00:00:00+05:30,88,90.55,85.1,85.8,251564
2022-01-06 00:00:00+05:30,85,92.25,83.6,87.2,454268
2022-01-07 00:00:00+05:30,87.2,88.5,85,85.3,114826
2022-01-10 00:00:00+05:30,89.5,89.55,85.65,86.15,93207
2022-01-11 00:00:00+05:30,87.35,87.35,82,82.75,129710
2022-01-12 00:00:00+05:30,83.15,84.4,80,81.65,161837
2022-01-13 00:00:00+05:30,80.25,87.05,80.25,85.95,324245
2022-01-14 00:00:00+05:30,85.9,88.95,85,85.85,217192
2022-01-17 00:00:00+05:30,87,89.2,84.5,85.6,275966
2022-01-18 00:00:00+05:30,86.5,88.65,84.55,85,159028
2022-01-19 00:00:00+05:30,86,86,82.55,84.4,103370
2022-01-20 00:00:00+05:30,85.9,88,84.65,86.9,160447
2022-01-21 00:00:00+05:30,87,89,83.05,84.1,122812
2022-01-24 00:00:00+05:30,85,85.7,77.55,79.25,85041
2022-01-25 00:00:00+05:30,80,81.3,76.2,79.3,87703
2022-01-27 00:00:00+05:30,78,84.8,78,83.5,169907
2022-01-28 00:00:00+05:30,85.95,86.65,82.05,82.85,97857
2022-01-31 00:00:00+05:30,83.5,84.75,81.2,83.8,34154
2022-02-01 00:00:00+05:30,84.8,85.7,82.3,83.55,87931
2022-02-02 00:00:00+05:30,84.3,85.15,82.7,83.15,51454
2022-02-03 00:00:00+05:30,82.2,89.5,82.2,86.25,197456
2022-02-04 00:00:00+05:30,85.5,88.6,85.5,85.9,133762
2022-02-07 00:00:00+05:30,88.05,99.95,87.65,97.1,1327467
2022-02-08 00:00:00+05:30,97.85,99.2,88.7,93.2,536179
2022-02-09 00:00:00+05:30,93.9,99.75,92.8,97.8,443680
2022-02-10 00:00:00+05:30,97.6,99.7,95.05,96.75,252856
2022-02-11 00:00:00+05:30,95.9,102.4,93.8,97.55,741053
2022-02-14 00:00:00+05:30,94,101,87.3,89.15,885370
2022-02-15 00:00:00+05:30,90.5,93,87.45,91.25,361499
2022-02-16 00:00:00+05:30,90.5,109.5,90.5,109.25,1461204
2022-02-17 00:00:00+05:30,114,128.8,114,123.05,4756922
2022-02-18 00:00:00+05:30,120.9,127.7,115.25,117.9,1638599
2022-02-21 00:00:00+05:30,119.2,121.9,103,104.35,1031302
2022-02-22 00:00:00+05:30,100,110.8,96.95,103.35,1397069
2022-02-23 00:00:00+05:30,105,114,105,111.5,1201282
2022-02-24 00:00:00+05:30,105,109.75,94.4,96.45,1150931
2022-02-25 00:00:00+05:30,104.45,108.9,103.15,105.8,595653
2022-02-28 00:00:00+05:30,105,108.75,102.6,105.9,490280
2022-03-02 00:00:00+05:30,104,112,104,108.3,712422
2022-03-03 00:00:00+05:30,109.85,124.2,109.85,117.9,1991280
2022-03-04 00:00:00+05:30,117.85,122.9,115,116.25,1027667
2022-03-07 00:00:00+05:30,115,121,114.15,119.4,716224
2022-03-08 00:00:00+05:30,120.8,143.25,120.8,143.25,4297678
2022-03-09 00:00:00+05:30,148.9,153.75,139.9,141.6,4114991
2022-03-10 00:00:00+05:30,144.2,149.9,138,139.8,1409513
2022-03-11 00:00:00+05:30,139.8,153.75,138,153.75,2078098
2022-03-14 00:00:00+05:30,153.5,169.1,148.5,164.05,4656838
2022-03-15 00:00:00+05:30,167.45,168.1,149.05,156,1768278
2022-03-16 00:00:00+05:30,159,161.2,151.8,152.8,855761
2022-03-17 00:00:00+05:30,155,155.8,146.05,147.3,696825
2022-03-21 00:00:00+05:30,148.65,157.3,147.7,153.5,1074509
2022-03-22 00:00:00+05:30,154,162.4,149.75,158.85,1140822
2022-03-23 00:00:00+05:30,159.5,163.35,154.1,155.95,553231
2022-03-24 00:00:00+05:30,158,159.55,149.7,150.4,560733
2022-03-25 00:00:00+05:30,150.8,151.7,138,142.45,670326
2022-03-28 00:00:00+05:30,142.3,144.8,135,139.1,621207
2022-03-29 00:00:00+05:30,137.85,140.8,128.7,131.6,552786
2022-03-30 00:00:00+05:30,132.3,138.8,131.8,135,377801
2022-03-31 00:00:00+05:30,135.5,136,130.05,132.7,291711
2022-04-01 00:00:00+05:30,132.05,140.15,132.05,137.65,307556
2022-04-04 00:00:00+05:30,138.55,151.4,138.3,142.3,467848
2022-04-05 00:00:00+05:30,143.35,144.2,139,140.5,353340
2022-04-06 00:00:00+05:30,140,154.55,139.1,154.15,1466478
2022-04-07 00:00:00+05:30,155.8,158.65,145.95,150.95,1046604
2022-04-08 00:00:00+05:30,153.7,156.4,148.6,150.8,319986
