date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,757.1,794,753.4,777.35,83397
2022-01-04 00:00:00+05:30,790,790,773.05,779.95,36329
2022-01-05 00:00:00+05:30,780,783,764,775.65,28169
2022-01-06 00:00:00+05:30,760.95,771.15,756.65,763.75,39055
2022-01-07 00:00:00+05:30,763.75,774,757,758.35,27545
2022-01-10 00:00:00+05:30,768.75,769.9,756.05,758.8,34657
2022-01-11 00:00:00+05:30,764.8,766.65,754,759.05,46161
2022-01-12 00:00:00+05:30,769.8,773.8,755,763.05,37463
2022-01-13 00:00:00+05:30,760,769.9,760,766.45,21618
2022-01-14 00:00:00+05:30,778,785,765.15,772.15,34419
2022-01-17 00:00:00+05:30,790,810.75,790,810.75,52843
2022-01-18 00:00:00+05:30,851.25,851.25,829.2,846.2,130181
2022-01-19 00:00:00+05:30,845,882,822.05,876.65,127809
2022-01-20 00:00:00+05:30,885,893,860,880.15,58705
2022-01-21 00:00:00+05:30,875,897.9,862,876.75,93480
2022-01-24 00:00:00+05:30,885,885,832.95,838.75,118885
2022-01-25 00:00:00+05:30,858,880.65,845,880.65,146043
2022-01-27 00:00:00+05:30,894,924.65,886.75,924.65,141134
2022-01-28 00:00:00+05:30,958,968.9,878.45,894.1,149752
2022-01-31 00:00:00+05:30,918,934.75,872,881.65,145421
2022-02-01 00:00:00+05:30,877.25,899.8,871.65,891.95,75955
2022-02-02 00:00:00+05:30,891.95,936.5,888,936.5,57049
2022-02-03 00:00:00+05:30,969,983.3,926.4,965.05,252932
2022-02-04 00:00:00+05:30,978,1004.05,917.3,930.15,164069
2022-02-07 00:00:00+05:30,932,952.9,885,887.9,64862
2022-02-08 00:00:00+05:30,900,911.95,843.55,843.55,123721
2022-02-09 00:00:00+05:30,845.75,860,826.6,837.75,48180
2022-02-10 00:00:00+05:30,844.8,860,820,823.95,43211
2022-02-11 00:00:00+05:30,823.95,847.8,815.85,842.95,45915
2022-02-14 00:00:00+05:30,822.5,834.8,801,805.9,82774
2022-02-15 00:00:00+05:30,820,829,781.95,821,42595
2022-02-16 00:00:00+05:30,824,862.05,818.35,862.05,77677
2022-02-17 00:00:00+05:30,874,885,842.1,845.4,49951
2022-02-18 00:00:00+05:30,831.25,848.35,831.25,839.85,21594
2022-02-21 00:00:00+05:30,832,839,802,806.7,44049
2022-02-22 00:00:00+05:30,805,805.05,775,795.05,52826
2022-02-23 00:00:00+05:30,788.2,818.55,788.2,802.85,21958
2022-02-24 00:00:00+05:30,765.3,800.05,762.75,762.75,69585
2022-02-25 00:00:00+05:30,774.9,800.85,766.85,774,42637
2022-02-28 00:00:00+05:30,789,789,740.05,759.95,34551
2022-03-02 00:00:00+05:30,755.95,795,747.05,789.4,46825
2022-03-03 00:00:00+05:30,791.2,822.5,791.2,809.85,37691
2022-03-04 00:00:00+05:30,810,820,792.95,806,89417
2022-03-07 00:00:00+05:30,795.1,803.2,765.7,770.6,56959
2022-03-08 00:00:00+05:30,775.9,809.1,772.95,809.1,45529
2022-03-09 00:00:00+05:30,837,849.55,812.05,849.55,46667
2022-03-10 00:00:00+05:30,865.3,892,865.3,892,116901
2022-03-11 00:00:00+05:30,903.7,909.75,872.15,889.7,75131
2022-03-14 00:00:00+05:30,934.15,934.15,915,925.75,95053
2022-03-15 00:00:00+05:30,916,942.95,890.05,909.45,60287
2022-03-16 00:00:00+05:30,923,938.15,900,912.55,35611
2022-03-17 00:00:00+05:30,920.05,929,897.1,904.8,33505
2022-03-21 00:00:00+05:30,934,938.5,911.9,930.05,53141
2022-03-22 00:00:00+05:30,945.2,976.55,937.5,976.55,117184
2022-03-23 00:00:00+05:30,994.9,1025.35,986.15,1025.35,157553
2022-03-24 00:00:00+05:30,1019.95,1064.8,980,988.4,143060
2022-03-25 00:00:00+05:30,992.25,1009.7,952.15,955.75,68336
2022-03-28 00:00:00+05:30,961,978,929.05,942.15,54278
2022-03-29 00:00:00+05:30,948,962.55,930.1,941.7,66174
2022-03-30 00:00:00+05:30,949.5,988.75,949,987.85,79527
2022-03-31 00:00:00+05:30,995,998,970,972.8,24873
2022-04-01 00:00:00+05:30,972.8,1021.4,970.4,1000.75,112808
2022-04-04 00:00:00+05:30,1014,1050.75,992.1,1050.75,84850
2022-04-05 00:00:00+05:30,1071,1103.25,999,1073.5,167733
2022-04-06 00:00:00+05:30,1070,1110.05,1046.2,1053.5,109485
2022-04-07 00:00:00+05:30,1079,1079,981.8,998.65,133215
2022-04-08 00:00:00+05:30,1018,1032,994.9,1012.1,66821
