date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,28.35,30.35,28.2,30.35,72132
2022-01-04 00:00:00+05:30,31.85,31.85,31.85,31.85,20470
2022-01-05 00:00:00+05:30,33.35,33.35,30.3,31.5,33828
2022-01-06 00:00:00+05:30,31.45,31.9,29.95,31,52630
2022-01-07 00:00:00+05:30,31,31.55,29.45,29.8,36686
2022-01-10 00:00:00+05:30,28.55,30.7,28.55,30.35,41739
2022-01-11 00:00:00+05:30,30.75,31,29.25,29.7,26690
2022-01-12 00:00:00+05:30,30.8,30.8,28.25,28.35,37147
2022-01-13 00:00:00+05:30,27.1,28.85,26.95,27.6,14317
2022-01-14 00:00:00+05:30,27.05,28,26.35,27.95,21834
2022-01-17 00:00:00+05:30,26.75,27.9,26.75,27.25,43741
2022-01-18 00:00:00+05:30,27.5,27.8,26.05,26.3,32474
2022-01-19 00:00:00+05:30,26.1,26.75,25,25.65,32586
2022-01-20 00:00:00+05:30,25,26.3,24.4,25.55,41844
2022-01-21 00:00:00+05:30,25.45,26.8,25,26.6,41073
2022-01-24 00:00:00+05:30,26.95,27,25.3,25.3,19869
2022-01-25 00:00:00+05:30,24.05,26.4,24.05,24.45,19792
2022-01-27 00:00:00+05:30,23.25,25.25,23.25,24.9,15346
2022-01-28 00:00:00+05:30,25.4,25.75,24.1,25,9569
2022-01-31 00:00:00+05:30,26.2,26.25,24.15,24.45,9458
2022-02-01 00:00:00+05:30,25.4,25.65,24.5,24.8,28312
2022-02-02 00:00:00+05:30,24.75,26,24.75,25.5,21656
2022-02-03 00:00:00+05:30,26.55,26.55,25.15,25.85,16002
2022-02-04 00:00:00+05:30,25.85,27.1,24.85,26.8,36099
2022-02-07 00:00:00+05:30,27,27.9,25.55,26,21219
2022-02-08 00:00:00+05:30,26.55,27.3,24.7,26.4,34190
2022-02-09 00:00:00+05:30,26.4,26.65,25.8,26.05,16470
2022-02-10 00:00:00+05:30,26.9,26.9,25.3,26.05,16846
2022-02-11 00:00:00+05:30,25.6,26,24.85,24.95,19683
2022-02-14 00:00:00+05:30,24.7,25.35,23.75,23.8,11562
2022-02-15 00:00:00+05:30,22.75,24.45,22.75,23.15,7849
2022-02-16 00:00:00+05:30,23.15,24.25,22.5,22.6,12710
2022-02-17 00:00:00+05:30,23.2,23.2,22,22.1,8155
2022-02-18 00:00:00+05:30,22.55,22.7,21.7,21.75,6540
2022-02-21 00:00:00+05:30,21.35,21.35,20.7,20.85,5200
2022-02-22 00:00:00+05:30,20,21.25,19.85,20.8,8343
2022-02-23 00:00:00+05:30,20.8,21.75,20.5,21.55,16001
2022-02-24 00:00:00+05:30,21.55,22.6,20.5,20.6,19979
2022-02-25 00:00:00+05:30,21.6,21.6,19.6,19.85,20383
2022-02-28 00:00:00+05:30,19.95,20.45,19.5,19.7,8093
2022-03-02 00:00:00+05:30,19.95,19.95,18.75,18.8,12263
2022-03-03 00:00:00+05:30,19,19.7,19,19.2,6485
2022-03-04 00:00:00+05:30,19.5,19.7,18.25,18.35,12540
2022-03-07 00:00:00+05:30,18.5,19.25,17.45,19.2,24415
2022-03-08 00:00:00+05:30,19.25,19.3,18.5,19,11769
2022-03-09 00:00:00+05:30,19,19.65,18.25,18.75,20687
2022-03-10 00:00:00+05:30,19.6,19.65,19.6,19.65,9921
2022-03-11 00:00:00+05:30,20.5,20.6,19.65,20.2,30534
2022-03-14 00:00:00+05:30,20.75,21,20.2,20.75,21234
2022-03-15 00:00:00+05:30,21.2,21.2,20.2,20.55,10396
2022-03-16 00:00:00+05:30,20.55,21.55,20.55,21.55,6362
2022-03-17 00:00:00+05:30,22.55,22.6,21.6,22.6,7099
2022-03-21 00:00:00+05:30,23.6,23.7,21.6,23.7,14819
2022-03-22 00:00:00+05:30,24.7,24.85,24,24.85,15291
2022-03-23 00:00:00+05:30,25.8,26.05,25.8,26.05,12445
2022-03-24 00:00:00+05:30,26.9,27,24.75,25.55,14224
2022-03-25 00:00:00+05:30,26.1,26.1,24.35,24.95,3206
2022-03-28 00:00:00+05:30,25.8,25.8,23.75,23.75,5751
2022-03-29 00:00:00+05:30,24.75,24.75,22.6,22.6,13829
2022-03-30 00:00:00+05:30,22.85,23.55,21.5,21.55,11273
2022-03-31 00:00:00+05:30,22,22.6,20.5,20.7,31362
2022-04-01 00:00:00+05:30,21.15,21.7,20.35,21.7,8454
2022-04-04 00:00:00+05:30,21.7,22.75,21.05,22,28188
2022-04-05 00:00:00+05:30,22.8,23.1,21.75,23.1,12934
2022-04-06 00:00:00+05:30,24,24.25,22.3,24.2,20364
2022-04-07 00:00:00+05:30,24.5,26.6,23.8,25.9,28238
2022-04-08 00:00:00+05:30,26.3,28.2,25.05,26.45,54055
