date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,365,372.5,358,367.45,14496
2022-01-04 00:00:00+05:30,363.75,372,363.75,367.75,25183
2022-01-05 00:00:00+05:30,374.7,421,367.1,396.2,130560
2022-01-06 00:00:00+05:30,395.35,475.4,390,475.4,440402
2022-01-07 00:00:00+05:30,486,503.7,442.1,458.85,335495
2022-01-10 00:00:00+05:30,458,458.5,444,445.8,61512
2022-01-11 00:00:00+05:30,445.8,458,426.45,430.9,50283
2022-01-12 00:00:00+05:30,429.5,433.15,414,415.1,29604
2022-01-13 00:00:00+05:30,429.9,430,405.1,411.05,21494
2022-01-14 00:00:00+05:30,411.05,423,411.05,420.2,19582
2022-01-17 00:00:00+05:30,425.95,451,421.45,438.95,36403
2022-01-18 00:00:00+05:30,443.3,449.8,421.2,424.45,15022
2022-01-19 00:00:00+05:30,415.2,429.9,415.2,421.95,15999
2022-01-20 00:00:00+05:30,425.35,443.95,423.25,434.5,25801
2022-01-21 00:00:00+05:30,443,444.05,407.6,417.3,22514
2022-01-24 00:00:00+05:30,429,429,390,394.15,21181
2022-01-25 00:00:00+05:30,390,420,384,417.65,14800
2022-01-27 00:00:00+05:30,414.95,421.05,402.1,417.15,9819
2022-01-28 00:00:00+05:30,420,435,414,418.15,7558
2022-01-31 00:00:00+05:30,428.95,429.5,413.75,415.9,11047
2022-02-01 00:00:00+05:30,416,427.15,412,416.75,9721
2022-02-02 00:00:00+05:30,423.75,500.1,414,500.1,206203
2022-02-03 00:00:00+05:30,507.9,507.9,468.6,471.7,107404
2022-02-04 00:00:00+05:30,498,566,482,560.65,407313
2022-02-07 00:00:00+05:30,559,565.2,527,535.5,175084
2022-02-08 00:00:00+05:30,541.4,588,541.4,550.35,201934
2022-02-09 00:00:00+05:30,557.9,564,519.25,529.15,71865
2022-02-10 00:00:00+05:30,530,563.05,500,533.6,92137
2022-02-11 00:00:00+05:30,522.6,543.25,513.6,524.6,34987
2022-02-14 00:00:00+05:30,518.7,530,463.6,475.9,55147
2022-02-15 00:00:00+05:30,470.2,496,462.45,486.9,34662
2022-02-16 00:00:00+05:30,498,522.9,477.55,503.65,50417
2022-02-17 00:00:00+05:30,506.5,518,490.4,493.6,22601
2022-02-18 00:00:00+05:30,488,498.7,481,482.35,14977
2022-02-21 00:00:00+05:30,482,482,450,452.85,25063
2022-02-22 00:00:00+05:30,425,442.55,420.35,434.6,31811
2022-02-23 00:00:00+05:30,442,463,435.5,443.85,26583
2022-02-24 00:00:00+05:30,412,429.9,402,405.7,60411
2022-02-25 00:00:00+05:30,419,449,419,438.4,32244
2022-02-28 00:00:00+05:30,438,444.55,423.6,437,36096
2022-03-02 00:00:00+05:30,430,448.4,430,433.4,13491
2022-03-03 00:00:00+05:30,450,512.5,441.05,499.5,190720
2022-03-04 00:00:00+05:30,502,533.55,476,485.15,164628
2022-03-07 00:00:00+05:30,476.95,505.4,461.3,495.35,66988
2022-03-08 00:00:00+05:30,495,524.15,495,503.4,52925
2022-03-09 00:00:00+05:30,513,518,499,503.95,32014
2022-03-10 00:00:00+05:30,522.5,534.8,506,508.3,31752
2022-03-11 00:00:00+05:30,505,565,504.15,534.15,144034
2022-03-14 00:00:00+05:30,540.05,547,519,524.3,51575
2022-03-15 00:00:00+05:30,528,629.15,525.9,625.8,444926
2022-03-16 00:00:00+05:30,647,654.8,592,599.2,335593
2022-03-17 00:00:00+05:30,615,634.8,597.95,602.6,119043
2022-03-21 00:00:00+05:30,605,617.45,590.9,599.7,73075
2022-03-22 00:00:00+05:30,600.2,618.9,595,603.85,43540
2022-03-23 00:00:00+05:30,612.7,643.1,603.9,609.7,73288
2022-03-24 00:00:00+05:30,617.8,617.8,587,592.65,35122
2022-03-25 00:00:00+05:30,594.9,608,570,575.7,39717
2022-03-28 00:00:00+05:30,580.9,591.05,557.3,567.1,30962
2022-03-29 00:00:00+05:30,569,573,541.15,545.8,29298
2022-03-30 00:00:00+05:30,556,623,555.75,604.35,120507
2022-03-31 00:00:00+05:30,612,617,575.2,592.85,49124
2022-04-01 00:00:00+05:30,598,660,583.6,633.75,125540
2022-04-04 00:00:00+05:30,638,647,616.75,623.75,31866
2022-04-05 00:00:00+05:30,629.95,639.9,616.2,623.4,25577
2022-04-06 00:00:00+05:30,631,631,603.6,615.55,24438
2022-04-07 00:00:00+05:30,622,667,606,610.75,31492
2022-04-08 00:00:00+05:30,618,618,583,600.15,52682
