date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,88.9,89.5,87,87.95,269650
2022-01-04 00:00:00+05:30,88.95,89.9,87.1,87.6,176384
2022-01-05 00:00:00+05:30,87.1,87.95,86.05,86.75,307281
2022-01-06 00:00:00+05:30,87.45,87.45,85.25,85.8,428414
2022-01-07 00:00:00+05:30,85.85,87.2,84.5,85.3,295657
2022-01-10 00:00:00+05:30,86.6,87.55,85.1,85.45,431601
2022-01-11 00:00:00+05:30,86,86.85,84.75,85.4,385384
2022-01-12 00:00:00+05:30,86,89.9,85,85.35,1241695
2022-01-13 00:00:00+05:30,85.85,87.95,85.55,87.5,309634
2022-01-14 00:00:00+05:30,88.45,89.4,86.9,88.85,419145
2022-01-17 00:00:00+05:30,89.8,96.5,88.95,95.5,1582742
2022-01-18 00:00:00+05:30,95.7,96.3,90.6,91.35,610871
2022-01-19 00:00:00+05:30,91.1,93,89.75,91.85,253385
2022-01-20 00:00:00+05:30,92.3,96.9,90.2,94.75,772422
2022-01-21 00:00:00+05:30,95,97.5,92.4,92.95,1375191
2022-01-24 00:00:00+05:30,94.25,94.8,90.6,91.35,447779
2022-01-25 00:00:00+05:30,90.25,93.7,89,90.55,256817
2022-01-27 00:00:00+05:30,92.35,93.5,89.3,93.05,378658
2022-01-28 00:00:00+05:30,93.05,96,92.5,92.65,163544
2022-01-31 00:00:00+05:30,94.3,101.7,89.5,98,3567096
2022-02-01 00:00:00+05:30,99.9,100,92.15,93.45,691851
2022-02-02 00:00:00+05:30,93.6,94.95,92.4,92.9,293794
2022-02-03 00:00:00+05:30,92.95,95,90,90.6,725507
2022-02-04 00:00:00+05:30,91.05,97.9,88.5,95.35,1178324
2022-02-07 00:00:00+05:30,95.3,97,92.2,93.1,275069
2022-02-08 00:00:00+05:30,93.4,94.3,90.95,92.65,245638
2022-02-09 00:00:00+05:30,93.4,93.4,90.75,91.2,192030
2022-02-10 00:00:00+05:30,91.75,92.35,89.5,90.9,303878
2022-02-11 00:00:00+05:30,90.5,91.15,88.8,89.1,248528
2022-02-14 00:00:00+05:30,88.25,88.55,85.25,85.85,318320
2022-02-15 00:00:00+05:30,88,89.5,86.05,89.1,142507
2022-02-16 00:00:00+05:30,88.45,90.65,88.2,88.55,186862
2022-02-17 00:00:00+05:30,88.5,91,88.5,88.95,460328
2022-02-18 00:00:00+05:30,89.8,89.8,87.25,87.85,115509
2022-02-21 00:00:00+05:30,88.6,88.8,84.9,85.2,137375
2022-02-22 00:00:00+05:30,83.9,88,82,85.65,236819
2022-02-23 00:00:00+05:30,85.75,88.5,85.75,86.75,116849
2022-02-24 00:00:00+05:30,85.9,85.9,81,83.15,292465
2022-02-25 00:00:00+05:30,87,87.35,83.7,83.95,496938
2022-02-28 00:00:00+05:30,83,83.85,82.1,82.7,144776
2022-03-02 00:00:00+05:30,83.5,83.85,82.25,83.25,110841
2022-03-03 00:00:00+05:30,83.35,88.5,83.35,86.85,174913
2022-03-04 00:00:00+05:30,85.55,88.2,83.3,84.55,334328
2022-03-07 00:00:00+05:30,83,85.3,82.3,83.45,167950
2022-03-08 00:00:00+05:30,84.45,85.5,82.5,83.45,124729
2022-03-09 00:00:00+05:30,84.7,90.9,84,85.6,717591
2022-03-10 00:00:00+05:30,88,90,83.9,85.1,357201
2022-03-11 00:00:00+05:30,84.1,85.65,84.1,85.2,221251
2022-03-14 00:00:00+05:30,85.1,88.2,84.5,86.8,322045
2022-03-15 00:00:00+05:30,87.45,87.65,85.05,85.75,259944
2022-03-16 00:00:00+05:30,86.75,88.4,85.55,86.15,277402
2022-03-17 00:00:00+05:30,86.9,88.6,86.8,87.55,308770
2022-03-21 00:00:00+05:30,87.95,92.05,87,90.95,600475
2022-03-22 00:00:00+05:30,91.95,94.6,91,92.55,871124
2022-03-23 00:00:00+05:30,93.35,95,90.15,91.4,619990
2022-03-24 00:00:00+05:30,90.8,92.5,89,89.95,342737
2022-03-25 00:00:00+05:30,90.75,91.4,88.7,89.05,342611
2022-03-28 00:00:00+05:30,89,90.4,86.9,87.15,163487
2022-03-29 00:00:00+05:30,89.3,90.9,86.3,89.25,308474
2022-03-30 00:00:00+05:30,90.8,93,89.9,90.6,203755
2022-03-31 00:00:00+05:30,90.1,93.4,89.15,89.4,173221
2022-04-01 00:00:00+05:30,91.2,94.5,90.4,93.85,315762
2022-04-04 00:00:00+05:30,95,99.5,94.6,97.15,688548
2022-04-05 00:00:00+05:30,98.25,99.9,96.75,97.95,291220
2022-04-06 00:00:00+05:30,97.75,101.9,97.65,100.55,283822
2022-04-07 00:00:00+05:30,101,108,100.65,105.9,823782
2022-04-08 00:00:00+05:30,106.8,110.85,103.3,107.7,709578
