date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,40,41.65,39.2,40.5,585369
2022-01-04 00:00:00+05:30,40.5,43.65,39.9,41.05,1097940
2022-01-05 00:00:00+05:30,41,43,41,41.9,355803
2022-01-06 00:00:00+05:30,41.6,42.6,41,41.75,646110
2022-01-07 00:00:00+05:30,42,43.3,41.75,41.95,430080
2022-01-10 00:00:00+05:30,42.35,44.95,41.55,44.1,1005141
2022-01-11 00:00:00+05:30,44.45,46.35,44.2,45.95,1424796
2022-01-12 00:00:00+05:30,46.25,50.55,45.6,50.55,7294563
2022-01-13 00:00:00+05:30,50.95,51.9,49.35,49.85,1564125
2022-01-14 00:00:00+05:30,49.35,54,48.85,52.75,1266867
2022-01-17 00:00:00+05:30,53.3,55.05,51.9,52.75,1081857
2022-01-18 00:00:00+05:30,53.5,56,48.35,54.4,1232823
2022-01-19 00:00:00+05:30,56.15,56.5,54.5,55.4,543000
2022-01-20 00:00:00+05:30,55.5,57.35,55.35,56.25,587511
2022-01-21 00:00:00+05:30,56.25,56.4,54.3,55.2,533028
2022-01-24 00:00:00+05:30,55.2,55.65,52.45,52.45,221559
2022-01-25 00:00:00+05:30,49.85,53,49.85,51.35,575943
2022-01-27 00:00:00+05:30,50.65,50.65,48.75,48.9,247947
2022-01-28 00:00:00+05:30,49,51.35,48.9,49.45,259113
2022-01-31 00:00:00+05:30,49.45,50.15,47,47,281886
2022-02-01 00:00:00+05:30,46.5,46.75,45.1,45.9,294678
2022-02-02 00:00:00+05:30,46.35,48.15,46,48.15,146610
2022-02-03 00:00:00+05:30,50.5,50.55,49.5,50.55,232095
2022-02-04 00:00:00+05:30,50.85,52.7,50.55,51.5,226551
2022-02-07 00:00:00+05:30,52.65,53.1,49.45,49.75,229317
2022-02-08 00:00:00+05:30,50.35,51.8,47.25,49.5,223620
2022-02-09 00:00:00+05:30,50.35,51.3,48.35,48.75,133848
2022-02-10 00:00:00+05:30,47,51,46.4,48.95,267270
2022-02-11 00:00:00+05:30,49.95,51.3,48.35,49.45,336414
2022-02-14 00:00:00+05:30,48.65,48.65,46.95,46.95,408729
2022-02-15 00:00:00+05:30,47.3,47.65,44.65,45,243126
2022-02-16 00:00:00+05:30,45.25,47.2,45.25,46.25,191853
2022-02-17 00:00:00+05:30,46.6,48.55,45.35,48.3,472122
2022-02-18 00:00:00+05:30,47,48.25,46.15,46.35,120129
2022-02-21 00:00:00+05:30,44.8,46.35,44.35,45.1,190524
2022-02-22 00:00:00+05:30,43.45,47.35,42.85,47.3,615669
2022-02-23 00:00:00+05:30,48.4,49.6,44.95,46.3,303894
2022-02-24 00:00:00+05:30,46.3,46.35,44,44,279420
2022-02-25 00:00:00+05:30,44,46.15,42.4,46.15,978420
2022-02-28 00:00:00+05:30,46.4,48.35,45.95,48.05,530271
2022-03-02 00:00:00+05:30,49,50.45,45.7,50.25,1695132
2022-03-03 00:00:00+05:30,50.9,52.2,49.5,49.9,308865
2022-03-04 00:00:00+05:30,51.3,51.3,47.65,48.85,316707
2022-03-07 00:00:00+05:30,48.4,51,47.5,48.7,321393
2022-03-08 00:00:00+05:30,49.5,50.8,49.2,50.4,249285
2022-03-09 00:00:00+05:30,50.4,51.65,49.65,51.15,487161
2022-03-10 00:00:00+05:30,51.3,53.65,51,53.15,587061
2022-03-11 00:00:00+05:30,54.15,54.15,52.7,53.15,215265
2022-03-14 00:00:00+05:30,54.05,55.55,54.05,55.15,468411
2022-03-15 00:00:00+05:30,55.45,56.25,52.7,53.85,286356
2022-03-16 00:00:00+05:30,54.5,56.35,53.45,55.2,593463
2022-03-17 00:00:00+05:30,56.5,57,55.45,55.6,326829
2022-03-21 00:00:00+05:30,57.65,57.65,54.7,56.3,904950
2022-03-22 00:00:00+05:30,56.65,58.75,55.6,58.15,881769
2022-03-23 00:00:00+05:30,59,60.7,57.45,60.15,3471111
2022-03-24 00:00:00+05:30,59.9,63.15,57.15,60.75,990968
2022-03-25 00:00:00+05:30,61.05,63.75,57.75,63.15,1203919
2022-03-28 00:00:00+05:30,62.95,62.95,60,60,407345
2022-03-29 00:00:00+05:30,57,63,57,63,1296153
2022-03-30 00:00:00+05:30,63,65.5,59.85,63.8,795348
2022-03-31 00:00:00+05:30,64.9,65,62.35,62.7,193518
2022-04-01 00:00:00+05:30,62.5,65.8,62,65.4,309818
2022-04-04 00:00:00+05:30,65.45,68.35,65.45,66.2,240714
2022-04-05 00:00:00+05:30,68.45,69.45,67,67.85,864628
2022-04-06 00:00:00+05:30,67.85,68.7,64.75,65.35,736728
2022-04-07 00:00:00+05:30,65.35,68.6,62.1,68.5,2243905
2022-04-08 00:00:00+05:30,68,70,65.4,65.75,454163
