date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1657.25,1682.55,1638.4,1668.4,37138
2022-01-04 00:00:00+05:30,1678,1930,1672.75,1908.45,916902
2022-01-05 00:00:00+05:30,1905,1922,1827,1834.8,268912
2022-01-06 00:00:00+05:30,1835,1874,1790.8,1838.5,158520
2022-01-07 00:00:00+05:30,1850,1898,1848,1866.3,104246
2022-01-10 00:00:00+05:30,1887,1910,1838.35,1862.3,84850
2022-01-11 00:00:00+05:30,1880,1899.55,1795.2,1820.85,80009
2022-01-12 00:00:00+05:30,1812.7,1854.8,1770,1786.45,59521
2022-01-13 00:00:00+05:30,1805,1818.35,1788.05,1794.85,30225
2022-01-14 00:00:00+05:30,1794.85,1846.45,1780.55,1803.55,49797
2022-01-17 00:00:00+05:30,1810,1815.7,1760,1777.35,31385
2022-01-18 00:00:00+05:30,1774.95,1795.4,1736.55,1747.05,45607
2022-01-19 00:00:00+05:30,1747,1752.6,1680.75,1700.55,79942
2022-01-20 00:00:00+05:30,1716.9,1730.95,1676.5,1692.25,43474
2022-01-21 00:00:00+05:30,1690,1717.75,1659.9,1675.2,55488
2022-01-24 00:00:00+05:30,1670,1682.4,1555.45,1602.95,77850
2022-01-25 00:00:00+05:30,1565.15,1690.45,1507,1652.15,56479
2022-01-27 00:00:00+05:30,1671.25,1713.6,1657,1695.25,53639
2022-01-28 00:00:00+05:30,1705.25,1718.1,1677.7,1691.65,32335
2022-01-31 00:00:00+05:30,1685,1686.4,1651.05,1659.9,42455
2022-02-01 00:00:00+05:30,1675,1721.95,1655.8,1677.2,48761
2022-02-02 00:00:00+05:30,1680,1767.95,1680,1740.65,113808
2022-02-03 00:00:00+05:30,1780,1800,1730.65,1741.4,58813
2022-02-04 00:00:00+05:30,1741,1748.85,1701,1718.95,25300
2022-02-07 00:00:00+05:30,1717.8,1719,1628.75,1642.95,61786
2022-02-08 00:00:00+05:30,1631,1651.2,1585,1590.3,43207
2022-02-09 00:00:00+05:30,1594.95,1600,1557,1573.55,31701
2022-02-10 00:00:00+05:30,1582,1599.95,1570.05,1587.25,20527
2022-02-11 00:00:00+05:30,1579,1584,1541,1547.85,25906
2022-02-14 00:00:00+05:30,1333.7,1529.95,1333.7,1444.35,67984
2022-02-15 00:00:00+05:30,1460,1565,1364.9,1472.35,43088
2022-02-16 00:00:00+05:30,1479.9,1503.7,1431.5,1454.1,33284
2022-02-17 00:00:00+05:30,1458,1551,1451.7,1538.15,63499
2022-02-18 00:00:00+05:30,1538.15,1569.85,1527.55,1550.4,75974
2022-02-21 00:00:00+05:30,1543.25,1590.95,1523.3,1578.15,53357
2022-02-22 00:00:00+05:30,1490,1557.8,1480.1,1541.4,56055
2022-02-23 00:00:00+05:30,1555,1584.65,1543.95,1552.65,16377
2022-02-24 00:00:00+05:30,1489,1545.05,1470,1498.35,65266
2022-02-25 00:00:00+05:30,1525,1597,1520.25,1540.15,33872
2022-02-28 00:00:00+05:30,1540.15,1568.95,1501.15,1531.9,31201
2022-03-02 00:00:00+05:30,1510.05,1641.9,1510,1602.05,57793
2022-03-03 00:00:00+05:30,1623,1645.05,1590,1602.45,25721
2022-03-04 00:00:00+05:30,1580.15,1642.85,1574.45,1602.05,30471
2022-03-07 00:00:00+05:30,1580,1619.8,1540,1605.45,47547
2022-03-08 00:00:00+05:30,1597,1658.35,1584.85,1627.6,40736
2022-03-09 00:00:00+05:30,1650,1673.4,1620.05,1656.45,30700
2022-03-10 00:00:00+05:30,1697,1735,1661,1681.05,34978
2022-03-11 00:00:00+05:30,1689.25,1737,1681.1,1711.5,42307
2022-03-14 00:00:00+05:30,1701.6,1725,1651.15,1662.95,19000
2022-03-15 00:00:00+05:30,1673.2,1673.25,1557.15,1579.25,91084
2022-03-16 00:00:00+05:30,1589.9,1609.95,1588,1602,17544
2022-03-17 00:00:00+05:30,1624.25,1632.35,1590.5,1605.35,20315
2022-03-21 00:00:00+05:30,1606.25,1702,1606.25,1657.15,60654
2022-03-22 00:00:00+05:30,1670,1687,1638.95,1664.85,17148
2022-03-23 00:00:00+05:30,1683.25,1699,1633,1644.9,29482
2022-03-24 00:00:00+05:30,1647,1658,1610,1625.3,14880
2022-03-25 00:00:00+05:30,1658,1658,1593.05,1599.25,26519
2022-03-28 00:00:00+05:30,1615,1660,1587.05,1646.8,56607
2022-03-29 00:00:00+05:30,1689,1689,1605.5,1649.3,24919
2022-03-30 00:00:00+05:30,1669,1676.65,1642.75,1654.9,20082
2022-03-31 00:00:00+05:30,1654.9,1771,1654.9,1744.4,102672
2022-04-01 00:00:00+05:30,1758,1795,1711.55,1736.95,88301
2022-04-04 00:00:00+05:30,1740.05,1769,1692.55,1713.1,34734
2022-04-05 00:00:00+05:30,1717,1735,1608.15,1637.7,130998
2022-04-06 00:00:00+05:30,1638,1684.95,1638,1657.05,46284
2022-04-07 00:00:00+05:30,1657.05,1701.55,1622.45,1679.9,45687
2022-04-08 00:00:00+05:30,1684,1699.9,1655,1663.8,19687
