date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,161.8,177.8,161.8,172.35,1089417
2022-01-04 00:00:00+05:30,174,174,167.1,169.75,276919
2022-01-05 00:00:00+05:30,169.95,186.75,165.75,183.5,1977730
2022-01-06 00:00:00+05:30,184,186.9,179,181.8,929180
2022-01-07 00:00:00+05:30,183.2,189.7,181.9,183.15,977044
2022-01-10 00:00:00+05:30,184.6,185.2,180.5,181.4,320651
2022-01-11 00:00:00+05:30,181.8,183.2,176,176.9,227304
2022-01-12 00:00:00+05:30,178.3,184.4,177.5,178.45,340225
2022-01-13 00:00:00+05:30,179.65,186,176.3,182.2,476586
2022-01-14 00:00:00+05:30,183.6,183.75,178,179.4,218047
2022-01-17 00:00:00+05:30,180.6,184.5,180,180.65,305751
2022-01-18 00:00:00+05:30,180,184.2,170.1,171.65,365728
2022-01-19 00:00:00+05:30,172,175.8,168.5,170.25,499277
2022-01-20 00:00:00+05:30,170.95,172,167.2,168.25,310925
2022-01-21 00:00:00+05:30,166.05,173.25,166,169.1,207090
2022-01-24 00:00:00+05:30,173,174.3,150.35,159.25,431936
2022-01-25 00:00:00+05:30,158,166.4,153.2,164.2,306819
2022-01-27 00:00:00+05:30,162.85,163.95,159,161.5,166079
2022-01-28 00:00:00+05:30,163.9,167.3,157.85,159.15,256570
2022-01-31 00:00:00+05:30,163,167.4,162.6,163.9,213755
2022-02-01 00:00:00+05:30,164.5,164.7,159,159.95,188986
2022-02-02 00:00:00+05:30,161.25,167,160.7,165.5,231073
2022-02-03 00:00:00+05:30,165.8,172.4,164,170.3,364197
2022-02-04 00:00:00+05:30,170.9,171.9,165.5,166.55,182159
2022-02-07 00:00:00+05:30,166.8,166.8,160.05,161.35,126194
2022-02-08 00:00:00+05:30,161.9,163.25,157.9,160.75,155389
2022-02-09 00:00:00+05:30,162.2,163.45,159.65,161.9,116043
2022-02-10 00:00:00+05:30,162.95,165.65,160.65,163.4,113517
2022-02-11 00:00:00+05:30,163.7,163.7,159.75,160.7,92437
2022-02-14 00:00:00+05:30,158.75,158.75,149,149.75,227536
2022-02-15 00:00:00+05:30,144.2,146,134,138.15,834444
2022-02-16 00:00:00+05:30,140,144,137.3,139.65,302549
2022-02-17 00:00:00+05:30,141,141.95,136.5,137.1,192080
2022-02-18 00:00:00+05:30,133,135,128.25,129.3,494008
2022-02-21 00:00:00+05:30,123.2,125.95,120,121.25,640565
2022-02-22 00:00:00+05:30,118,121.95,116.1,118.8,290456
2022-02-23 00:00:00+05:30,122,124.05,117.6,118.9,302587
2022-02-24 00:00:00+05:30,116,118,115,115.15,374147
2022-02-25 00:00:00+05:30,120,120.7,117,117.65,202813
2022-02-28 00:00:00+05:30,118.9,121,114.2,119.15,193986
2022-03-02 00:00:00+05:30,118.5,122,117.9,119.95,188295
2022-03-03 00:00:00+05:30,123,123.55,116.7,117.55,164187
2022-03-04 00:00:00+05:30,118.45,118.45,115,116.45,152773
2022-03-07 00:00:00+05:30,116.9,116.9,112,112.65,308609
2022-03-08 00:00:00+05:30,113,127.3,112,113.05,193234
2022-03-09 00:00:00+05:30,114.55,116,113.8,115.15,175517
2022-03-10 00:00:00+05:30,119.75,119.85,113.95,115.55,283894
2022-03-11 00:00:00+05:30,115.55,117.7,114.7,116.75,166800
2022-03-14 00:00:00+05:30,116.75,118.45,112.85,113.7,202220
2022-03-15 00:00:00+05:30,113.55,116.6,113.25,114.1,262429
2022-03-16 00:00:00+05:30,116.6,116.6,114.1,115,129180
2022-03-17 00:00:00+05:30,116.25,120.5,116.25,118.4,308072
2022-03-21 00:00:00+05:30,118,120.3,117.6,118.45,176016
2022-03-22 00:00:00+05:30,119.9,119.9,117.05,117.6,107904
2022-03-23 00:00:00+05:30,118.6,125,118.1,122.85,521720
2022-03-24 00:00:00+05:30,121.85,123,119.2,119.9,238201
2022-03-25 00:00:00+05:30,120.35,122,116.1,116.85,241135
2022-03-28 00:00:00+05:30,116.5,119,113.8,114.3,260116
2022-03-29 00:00:00+05:30,115.4,116.9,113,114.2,164351
2022-03-30 00:00:00+05:30,116,117.75,112.65,114.55,236434
2022-03-31 00:00:00+05:30,115.85,117.1,114.05,115,156139
2022-04-01 00:00:00+05:30,115.25,121.25,115.25,120.2,190496
2022-04-04 00:00:00+05:30,121.3,124,120.8,123.35,209075
2022-04-05 00:00:00+05:30,125,127.95,123.35,126.55,271434
2022-04-06 00:00:00+05:30,127.8,128.3,124.55,126.45,191654
2022-04-07 00:00:00+05:30,126.75,136.4,125.5,128.05,627186
2022-04-08 00:00:00+05:30,129.45,130.85,128.05,128.8,212215
