date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,39.9,41.2,37.9,38.5,972291
2022-01-04 00:00:00+05:30,38.95,39.75,37.9,38.2,385551
2022-01-05 00:00:00+05:30,38.25,39.05,38,38.25,227741
2022-01-06 00:00:00+05:30,38.05,40,37.9,39.35,408059
2022-01-07 00:00:00+05:30,39.8,39.8,37.55,38.05,400815
2022-01-10 00:00:00+05:30,38.6,39.8,38.5,39.35,371605
2022-01-11 00:00:00+05:30,39.65,43.6,38.5,42.65,2488458
2022-01-12 00:00:00+05:30,43.5,44,41.2,42.05,974340
2022-01-13 00:00:00+05:30,42.2,42.2,39.6,39.95,508614
2022-01-14 00:00:00+05:30,39.75,40.4,39,39.7,413498
2022-01-17 00:00:00+05:30,40,41.05,38.9,40.25,422018
2022-01-18 00:00:00+05:30,40.8,41.5,39.45,40.1,524547
2022-01-19 00:00:00+05:30,40.5,42.75,39.4,41.5,689713
2022-01-20 00:00:00+05:30,41.85,42.85,41.3,41.55,476564
2022-01-21 00:00:00+05:30,41.3,42.45,39.55,40.2,391655
2022-01-24 00:00:00+05:30,40.2,40.7,36.5,37,488492
2022-01-25 00:00:00+05:30,36,38,35.75,37.4,197914
2022-01-27 00:00:00+05:30,36.4,37.6,36.35,37.1,167274
2022-01-28 00:00:00+05:30,37.45,38.55,35,36.9,220641
2022-01-31 00:00:00+05:30,37.2,37.45,36.5,37,148863
2022-02-01 00:00:00+05:30,37,37.5,36.4,37,125816
2022-02-02 00:00:00+05:30,38,41,37.8,39.5,1370037
2022-02-03 00:00:00+05:30,40.95,44.55,39.85,43.4,3364178
2022-02-04 00:00:00+05:30,43.4,44.4,42.15,42.6,989624
2022-02-07 00:00:00+05:30,42.7,43,40.7,41,439380
2022-02-08 00:00:00+05:30,41.1,41.3,39.1,40.35,340378
2022-02-09 00:00:00+05:30,40.85,41.85,39.55,39.85,159828
2022-02-10 00:00:00+05:30,40.15,41.25,39.3,40.05,260608
2022-02-11 00:00:00+05:30,39.85,40.5,37.5,38.05,381775
2022-02-14 00:00:00+05:30,37,38.85,35.55,36.65,398137
2022-02-15 00:00:00+05:30,36.75,37.6,34.9,37.05,309921
2022-02-16 00:00:00+05:30,37.25,38.5,36.7,37.1,245807
2022-02-17 00:00:00+05:30,37.5,38,36.2,36.5,171557
2022-02-18 00:00:00+05:30,36.75,37,35.05,35.6,156213
2022-02-21 00:00:00+05:30,35.05,36.9,33.5,34.3,383978
2022-02-22 00:00:00+05:30,33.85,35,32.8,33.8,228261
2022-02-23 00:00:00+05:30,34.3,36.05,34.3,34.9,154091
2022-02-24 00:00:00+05:30,33.65,33.7,31,31.15,343021
2022-02-25 00:00:00+05:30,32.2,33.5,31.85,32.9,253803
2022-02-28 00:00:00+05:30,32.6,34.95,32.05,33.75,249113
2022-03-02 00:00:00+05:30,33.1,34.7,32.95,34.3,168435
2022-03-03 00:00:00+05:30,34.45,34.9,34.05,34.2,211072
2022-03-04 00:00:00+05:30,33.95,34.75,33.35,33.8,82074
2022-03-07 00:00:00+05:30,33,33.85,32.75,32.9,117219
2022-03-08 00:00:00+05:30,33.2,33.8,32.4,33.05,100715
2022-03-09 00:00:00+05:30,33.65,35.2,33.1,34.7,186672
2022-03-10 00:00:00+05:30,35.55,35.6,34.6,34.9,114200
2022-03-11 00:00:00+05:30,35.25,35.9,34.7,35.25,116699
2022-03-14 00:00:00+05:30,35.35,35.4,34.65,34.95,77112
2022-03-15 00:00:00+05:30,35.4,35.4,34.1,34.3,62986
2022-03-16 00:00:00+05:30,35,35,34.15,34.25,69558
2022-03-17 00:00:00+05:30,34.35,34.9,34.1,34.4,88278
2022-03-21 00:00:00+05:30,34.7,35.55,34.2,34.6,83925
2022-03-22 00:00:00+05:30,35.3,35.3,34,34.9,157454
2022-03-23 00:00:00+05:30,35,35.55,34.1,34.2,86694
2022-03-24 00:00:00+05:30,34.8,34.8,33.3,33.45,87306
2022-03-25 00:00:00+05:30,34,34,33,33.15,54403
2022-03-28 00:00:00+05:30,33.1,33.3,32,32.2,168730
2022-03-29 00:00:00+05:30,32.25,32.8,31,31.25,192607
2022-03-30 00:00:00+05:30,31.3,33.2,31.3,31.95,119829
2022-03-31 00:00:00+05:30,32,32.4,31,31.4,101581
2022-04-01 00:00:00+05:30,32.2,33.45,31.4,33.1,117528
2022-04-04 00:00:00+05:30,33.45,34.5,33.35,33.95,126681
2022-04-05 00:00:00+05:30,34.9,35,34,34.5,122097
2022-04-06 00:00:00+05:30,34.5,36.1,34.4,35.15,217750
2022-04-07 00:00:00+05:30,35.65,36.5,34.5,34.75,244214
2022-04-08 00:00:00+05:30,34.6,38.4,34.6,37.6,1191372
