date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,11.1,13.1,11.1,13.1,2926927
2022-01-04 00:00:00+05:30,13.9,13.9,11.25,12.1,1283256
2022-01-05 00:00:00+05:30,12,12.95,11.75,12.3,621833
2022-01-06 00:00:00+05:30,12.45,13.5,12,12.95,790998
2022-01-07 00:00:00+05:30,13.35,14.75,12.35,14.15,2497233
2022-01-10 00:00:00+05:30,16.3,16.95,15.05,16.05,4674745
2022-01-11 00:00:00+05:30,16.05,16.05,14.45,14.45,1704614
2022-01-12 00:00:00+05:30,14.75,15.15,13.05,13.05,1329069
2022-01-13 00:00:00+05:30,13.35,13.5,12.4,13.1,281639
2022-01-14 00:00:00+05:30,13,13.75,12.45,13.6,381013
2022-01-17 00:00:00+05:30,13.55,13.7,12.95,13.05,361590
2022-01-18 00:00:00+05:30,12.5,13.35,12.5,12.55,120138
2022-01-19 00:00:00+05:30,12.1,12.85,12,12.1,166630
2022-01-20 00:00:00+05:30,12.35,12.7,12,12.7,203885
2022-01-21 00:00:00+05:30,12.95,13.1,12.5,12.65,248374
2022-01-24 00:00:00+05:30,12.8,12.8,12.05,12.05,162587
2022-01-25 00:00:00+05:30,11.55,12.4,11.45,11.8,142888
2022-01-27 00:00:00+05:30,11.25,12.1,11.25,11.85,83348
2022-01-28 00:00:00+05:30,12.1,12.4,11.85,12.4,991987
2022-01-31 00:00:00+05:30,13,13,12.5,13,1044179
2022-02-01 00:00:00+05:30,13.4,13.4,12.6,12.95,99812
2022-02-02 00:00:00+05:30,12.95,13.15,12.55,12.7,108374
2022-02-03 00:00:00+05:30,12.65,13,12.4,12.75,138968
2022-02-04 00:00:00+05:30,12.35,12.9,12.35,12.4,87074
2022-02-07 00:00:00+05:30,12.2,13,12.2,12.6,198535
2022-02-08 00:00:00+05:30,12.85,12.9,12.35,12.6,75517
2022-02-09 00:00:00+05:30,12.8,12.8,12.2,12.4,35231
2022-02-10 00:00:00+05:30,12.4,12.85,12.05,12.75,99051
2022-02-11 00:00:00+05:30,12.75,12.8,12.25,12.35,61053
2022-02-14 00:00:00+05:30,12.5,12.5,11.75,11.95,110168
2022-02-15 00:00:00+05:30,12,12.35,11.55,11.8,87819
2022-02-16 00:00:00+05:30,12.05,12.15,11.55,11.85,59068
2022-02-17 00:00:00+05:30,11.85,12.15,11.5,11.65,24656
2022-02-18 00:00:00+05:30,11.65,12,11.25,11.8,31335
2022-02-21 00:00:00+05:30,11.35,12.35,11.35,11.5,57529
2022-02-22 00:00:00+05:30,10.95,11.9,10.95,11.2,29580
2022-02-23 00:00:00+05:30,11.75,11.75,10.75,11.15,63034
2022-02-24 00:00:00+05:30,11.6,11.6,10.6,10.75,51067
2022-02-25 00:00:00+05:30,10.35,11.25,10.35,11.2,133486
2022-02-28 00:00:00+05:30,11.5,11.75,10.85,11.75,98649
2022-03-02 00:00:00+05:30,11.3,12.3,11.3,12.05,83188
2022-03-03 00:00:00+05:30,12.35,12.4,11.55,12.05,16703
2022-03-04 00:00:00+05:30,12.15,12.2,11.6,11.85,32144
2022-03-07 00:00:00+05:30,12.1,12.1,11.3,11.5,35542
2022-03-08 00:00:00+05:30,11.35,12.05,11.35,12.05,74358
2022-03-09 00:00:00+05:30,12.25,12.5,11.55,12.25,35556
2022-03-10 00:00:00+05:30,12.6,12.65,11.8,12.15,26575
2022-03-11 00:00:00+05:30,12.3,12.6,11.8,12.25,67049
2022-03-14 00:00:00+05:30,12.1,12.6,11.85,11.95,48271
2022-03-15 00:00:00+05:30,11.85,12.4,11.5,12,20550
2022-03-16 00:00:00+05:30,11.55,12.3,11.45,11.9,54798
2022-03-17 00:00:00+05:30,11.9,12,11.5,11.65,93087
2022-03-21 00:00:00+05:30,11.85,12.1,11.5,11.6,48936
2022-03-22 00:00:00+05:30,11.9,11.9,11.2,11.2,43143
2022-03-23 00:00:00+05:30,11.45,11.75,11,11.65,101205
2022-03-24 00:00:00+05:30,11.7,11.9,11.3,11.35,54585
2022-03-25 00:00:00+05:30,11.65,11.75,11.1,11.25,22985
2022-03-28 00:00:00+05:30,11.1,11.4,10.7,10.85,121298
2022-03-29 00:00:00+05:30,10.6,11.35,10.6,10.85,117919
2022-03-30 00:00:00+05:30,11.35,11.35,10.65,11.3,43923
2022-03-31 00:00:00+05:30,11.55,11.85,11.2,11.85,66358
2022-04-01 00:00:00+05:30,12.25,12.4,11.7,12.35,149256
2022-04-04 00:00:00+05:30,12.15,12.6,11.9,12,83802
2022-04-05 00:00:00+05:30,12,12.6,11.9,12.35,187066
2022-04-06 00:00:00+05:30,12.5,12.5,12,12.3,105407
2022-04-07 00:00:00+05:30,12.35,13.3,12,13.05,226910
2022-04-08 00:00:00+05:30,12.9,14.25,12.85,13.05,581521
