date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,15.75,16.2,15.05,16.2,246815
2022-01-04 00:00:00+05:30,16.9,17,16,16.45,301428
2022-01-05 00:00:00+05:30,16.35,16.35,15.65,15.7,314193
2022-01-06 00:00:00+05:30,15.9,15.9,14.95,15.45,251634
2022-01-07 00:00:00+05:30,15.7,15.75,15,15.15,184602
2022-01-10 00:00:00+05:30,14.4,15.9,14.4,15.9,524419
2022-01-11 00:00:00+05:30,16,16,15.15,15.3,414750
2022-01-12 00:00:00+05:30,15,15.65,15,15.2,215668
2022-01-13 00:00:00+05:30,15.05,15.5,15,15.15,112364
2022-01-14 00:00:00+05:30,15,15.9,14.9,15.85,270490
2022-01-17 00:00:00+05:30,16,16,15.15,15.3,175828
2022-01-18 00:00:00+05:30,15.7,15.8,14.85,15.1,247439
2022-01-19 00:00:00+05:30,14.8,15.35,14.8,15,96077
2022-01-20 00:00:00+05:30,15.55,15.65,14.55,14.8,103051
2022-01-21 00:00:00+05:30,15,15.2,14.5,14.75,122327
2022-01-24 00:00:00+05:30,14.55,14.7,14.05,14.05,239871
2022-01-25 00:00:00+05:30,14,14.25,13.35,13.45,268253
2022-01-27 00:00:00+05:30,13.45,13.9,12.85,13.75,124281
2022-01-28 00:00:00+05:30,14.1,14.3,13.75,13.8,135504
2022-01-31 00:00:00+05:30,14.35,14.35,13.3,13.55,98789
2022-02-01 00:00:00+05:30,13.55,14.2,13.1,13.7,170130
2022-02-02 00:00:00+05:30,13.6,14.1,13.25,13.75,322975
2022-02-03 00:00:00+05:30,14,14.4,13.7,14.4,207501
2022-02-04 00:00:00+05:30,14.75,15.1,14.1,15.1,247026
2022-02-07 00:00:00+05:30,15.8,15.8,14.45,14.8,165262
2022-02-08 00:00:00+05:30,15,15.5,15,15.5,283548
2022-02-09 00:00:00+05:30,16.2,16.25,15.35,16.1,417534
2022-02-10 00:00:00+05:30,16,16,15.35,15.7,177060
2022-02-11 00:00:00+05:30,15.7,16,15.1,15.7,240164
2022-02-14 00:00:00+05:30,15.5,15.5,14.95,14.95,188492
2022-02-15 00:00:00+05:30,14.8,15.45,14.25,14.8,102744
2022-02-16 00:00:00+05:30,14.5,15,14.25,14.75,58064
2022-02-17 00:00:00+05:30,15.05,15.1,14.15,14.35,122262
2022-02-18 00:00:00+05:30,14.35,14.65,14,14,33808
2022-02-21 00:00:00+05:30,14.25,14.25,13.3,13.5,233669
2022-02-22 00:00:00+05:30,13.4,13.4,12.85,12.9,210338
2022-02-23 00:00:00+05:30,12.65,13.5,12.65,13.45,51024
2022-02-24 00:00:00+05:30,12.8,12.8,12.8,12.8,67231
2022-02-25 00:00:00+05:30,12.2,13.4,12.2,12.35,156720
2022-02-28 00:00:00+05:30,12.35,12.75,11.75,12.45,106082
2022-03-02 00:00:00+05:30,11.85,12.9,11.85,12.3,122172
2022-03-03 00:00:00+05:30,12.55,12.65,11.9,12.1,234378
2022-03-04 00:00:00+05:30,12,12.5,12,12.4,112747
2022-03-07 00:00:00+05:30,12.55,12.55,11.8,11.85,152228
2022-03-08 00:00:00+05:30,11.65,12.3,11.5,11.75,100982
2022-03-09 00:00:00+05:30,11.95,12.3,11.6,12.25,182936
2022-03-10 00:00:00+05:30,12.55,12.85,12.5,12.85,101144
2022-03-11 00:00:00+05:30,12.85,13.25,12.5,12.7,47564
2022-03-14 00:00:00+05:30,12.5,12.8,12.2,12.25,68429
2022-03-15 00:00:00+05:30,12.5,12.85,12.1,12.2,124215
2022-03-16 00:00:00+05:30,12.6,12.65,12.2,12.25,116205
2022-03-17 00:00:00+05:30,12.55,12.85,12.2,12.25,82291
2022-03-21 00:00:00+05:30,12.5,12.8,12.05,12.25,96585
2022-03-22 00:00:00+05:30,12.65,12.65,11.9,12.05,83569
2022-03-23 00:00:00+05:30,12.5,12.5,11.7,11.75,128741
2022-03-24 00:00:00+05:30,11.95,12.2,11.6,11.85,113459
2022-03-25 00:00:00+05:30,11.85,12.2,11.3,11.45,104922
2022-03-28 00:00:00+05:30,11.45,11.7,11,11.2,182982
2022-03-29 00:00:00+05:30,11.2,11.45,10.65,10.95,378894
2022-03-30 00:00:00+05:30,11.25,11.45,11,11.2,187662
2022-03-31 00:00:00+05:30,11.45,11.75,11.15,11.25,213984
2022-04-01 00:00:00+05:30,11.4,11.7,10.9,11.6,125921
2022-04-04 00:00:00+05:30,12,12.15,11.65,12.15,156445
2022-04-05 00:00:00+05:30,12.45,12.75,12.35,12.75,96283
2022-04-06 00:00:00+05:30,13.05,13.35,12.5,13.35,137592
2022-04-07 00:00:00+05:30,14.5,14.65,13.85,14.2,331136
2022-04-08 00:00:00+05:30,14.95,15,14,14.4,173107
