date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,475,491.5,470.55,472.45,840412
2022-01-04 00:00:00+05:30,474.7,486,470,472.45,810008
2022-01-05 00:00:00+05:30,472.6,476.05,465.45,470.95,334060
2022-01-06 00:00:00+05:30,469,473.95,460.2,463.95,344516
2022-01-07 00:00:00+05:30,467.5,472.7,460.3,462.45,341095
2022-01-10 00:00:00+05:30,467,474.2,461.5,464.75,606162
2022-01-11 00:00:00+05:30,466.95,479.1,455.3,461.7,1351549
2022-01-12 00:00:00+05:30,467.55,501.65,466.95,471.15,4424048
2022-01-13 00:00:00+05:30,474.6,495,467,491.4,1524993
2022-01-14 00:00:00+05:30,489.6,510,479,504.45,3965540
2022-01-17 00:00:00+05:30,504.5,530.2,504.5,512.45,2699621
2022-01-18 00:00:00+05:30,537.1,554.9,522,526.65,4939545
2022-01-19 00:00:00+05:30,528,528,505.1,517.8,2255323
2022-01-20 00:00:00+05:30,521.5,533.7,510,514.2,1255610
2022-01-21 00:00:00+05:30,507.2,515.25,498.8,504.7,1236234
2022-01-24 00:00:00+05:30,503,504.5,451.45,480.75,1935645
2022-01-25 00:00:00+05:30,470,505.45,469.35,500.35,1279187
2022-01-27 00:00:00+05:30,488,496.9,478.15,491.95,921118
2022-01-28 00:00:00+05:30,496.85,499.45,472,478.7,643136
2022-01-31 00:00:00+05:30,483.45,497.45,480.05,488.3,646257
2022-02-01 00:00:00+05:30,492,501.75,479,484.3,984060
2022-02-02 00:00:00+05:30,488.95,494.8,487,491.7,475691
2022-02-03 00:00:00+05:30,493.8,498,483.55,491.15,391341
2022-02-04 00:00:00+05:30,492.5,493.8,467.3,469.95,589399
2022-02-07 00:00:00+05:30,467,473.85,453.35,458.25,683285
2022-02-08 00:00:00+05:30,458,466.65,455.5,459.55,490462
2022-02-09 00:00:00+05:30,463,465.85,458,463.2,252056
2022-02-10 00:00:00+05:30,464.95,467.5,455.05,460.95,406057
2022-02-11 00:00:00+05:30,457,462.95,450,454.1,496072
2022-02-14 00:00:00+05:30,444.55,450,432.3,436.95,609391
2022-02-15 00:00:00+05:30,436.95,444.7,427.5,439.8,529844
2022-02-16 00:00:00+05:30,445,453,439.5,443.15,554731
2022-02-17 00:00:00+05:30,446,457,442.55,445.75,576086
2022-02-18 00:00:00+05:30,444.45,455.4,444.05,445.5,386680
2022-02-21 00:00:00+05:30,445.5,451.8,438.95,446.35,801460
2022-02-22 00:00:00+05:30,435,446.35,425.75,429.4,726924
2022-02-23 00:00:00+05:30,437.45,459.6,435,450.25,1192777
2022-02-24 00:00:00+05:30,432.65,444.1,428,433.45,1687387
2022-02-25 00:00:00+05:30,438.5,450.35,438.5,440.55,741923
2022-02-28 00:00:00+05:30,435,457.45,430.5,453.7,853386
2022-03-02 00:00:00+05:30,441,456.7,440.15,442.75,208897
2022-03-03 00:00:00+05:30,445.55,451.05,435.35,438.15,342451
2022-03-04 00:00:00+05:30,435,442.45,427.5,433.35,768102
2022-03-07 00:00:00+05:30,426,426.15,401.15,405.8,777113
2022-03-08 00:00:00+05:30,406.5,420,389,409.5,800731
2022-03-09 00:00:00+05:30,413.1,432,407.6,423.2,447485
2022-03-10 00:00:00+05:30,430,447.95,430,432.85,618401
2022-03-11 00:00:00+05:30,434.8,436.45,424.75,430.85,346453
2022-03-14 00:00:00+05:30,432.9,438.5,418.9,422.35,758321
2022-03-15 00:00:00+05:30,424.85,444.5,424.85,436.25,633800
2022-03-16 00:00:00+05:30,441.5,465.95,440.05,459.8,937986
2022-03-17 00:00:00+05:30,463.95,486,463,483.2,1421968
2022-03-21 00:00:00+05:30,490,490,471.35,474.8,416564
2022-03-22 00:00:00+05:30,471,477.2,460.6,470.3,321879
2022-03-23 00:00:00+05:30,472.95,481.9,461.1,463.5,291275
2022-03-24 00:00:00+05:30,463.8,479.9,456.9,461.55,458066
2022-03-25 00:00:00+05:30,465.5,477.8,465,475.25,512120
2022-03-28 00:00:00+05:30,480,499.5,467.6,490.45,1157834
2022-03-29 00:00:00+05:30,490.45,496,483.35,492.85,472508
2022-03-30 00:00:00+05:30,501,504.95,475.55,481.35,1167658
2022-03-31 00:00:00+05:30,478.1,499.35,478.1,493.8,453002
2022-04-01 00:00:00+05:30,492,511.85,488.5,505,651994
2022-04-04 00:00:00+05:30,505.6,506.65,495.9,503.45,539653
2022-04-05 00:00:00+05:30,504.65,511.15,496.15,498.25,431683
2022-04-06 00:00:00+05:30,498.8,504.5,485.9,488.85,791705
2022-04-07 00:00:00+05:30,493,502,482.2,485.6,712710
2022-04-08 00:00:00+05:30,489.95,519,488.9,516.4,1410536
