date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1831.25,1902,1824.05,1896.75,31206
2022-01-04 00:00:00+05:30,1913.25,2060.1,1885.7,1938.2,91028
2022-01-05 00:00:00+05:30,1945,1957,1912.2,1929.25,16316
2022-01-06 00:00:00+05:30,1940,1940,1898.5,1908.9,15346
2022-01-07 00:00:00+05:30,1910.5,1945.15,1891.5,1899.7,22792
2022-01-10 00:00:00+05:30,1903,2119.8,1903,2090.65,250520
2022-01-11 00:00:00+05:30,2110.65,2174,2096.9,2151.7,99110
2022-01-12 00:00:00+05:30,2173.25,2225,2153.4,2187.15,60783
2022-01-13 00:00:00+05:30,2220,2229,2158.25,2192.45,31401
2022-01-14 00:00:00+05:30,2199,2225,2167,2203.3,18931
2022-01-17 00:00:00+05:30,2219.25,2249,2189.7,2227.75,24500
2022-01-18 00:00:00+05:30,2227.75,2247.75,2200,2206.9,26163
2022-01-19 00:00:00+05:30,2181.05,2224.1,2150.05,2210.75,26304
2022-01-20 00:00:00+05:30,2227.25,2227.25,2160,2174.05,24873
2022-01-21 00:00:00+05:30,2187.25,2219,2172.4,2208,18808
2022-01-24 00:00:00+05:30,2202,2223.25,2001,2053.65,48644
2022-01-25 00:00:00+05:30,2007,2135,2000,2105.7,19959
2022-01-27 00:00:00+05:30,2075,2179.7,1990,2023.5,50664
2022-01-28 00:00:00+05:30,2025,2055,1867.1,1884,66761
2022-01-31 00:00:00+05:30,1905,2047,1896,2028.05,48125
2022-02-01 00:00:00+05:30,2079.95,2079.95,1950,1994.75,23468
2022-02-02 00:00:00+05:30,2018.25,2054.25,1965.3,1981.3,18947
2022-02-03 00:00:00+05:30,1954.8,2047.5,1954.8,2014.15,14246
2022-02-04 00:00:00+05:30,2002,2042.15,1963.75,2014.45,16516
2022-02-07 00:00:00+05:30,2001,2029.25,1950,1951.25,15581
2022-02-08 00:00:00+05:30,1952,1998.9,1933.85,1976.45,20162
2022-02-09 00:00:00+05:30,1994.25,2029,1973.3,1995,12658
2022-02-10 00:00:00+05:30,1980,2138.8,1980,1994.7,12671
2022-02-11 00:00:00+05:30,1994.7,2034.05,1850,1874.9,44903
2022-02-14 00:00:00+05:30,1850,1930.15,1812.05,1842.8,28579
2022-02-15 00:00:00+05:30,1806.35,1891.45,1805.9,1855.3,24083
2022-02-16 00:00:00+05:30,1871.25,1970.95,1870.25,1902.3,23043
2022-02-17 00:00:00+05:30,1923.25,1968.7,1910.95,1954.1,11263
2022-02-18 00:00:00+05:30,1954.1,1968,1894,1914.75,12944
2022-02-21 00:00:00+05:30,1896,1942.45,1785.05,1815.65,26692
2022-02-22 00:00:00+05:30,1690,1809.35,1658.95,1779.2,31731
2022-02-23 00:00:00+05:30,1779.2,1854.4,1779.2,1843.5,11535
2022-02-24 00:00:00+05:30,1782,1820,1750,1767.35,38410
2022-02-25 00:00:00+05:30,1802,1867.6,1801.5,1837.9,12553
2022-02-28 00:00:00+05:30,1853.25,1875,1809.8,1872.65,9923
2022-03-02 00:00:00+05:30,1851,1900,1822,1869.1,15267
2022-03-03 00:00:00+05:30,1890,1921.95,1881.15,1896.65,14145
2022-03-04 00:00:00+05:30,1884.4,1920,1859.75,1898.05,13448
2022-03-07 00:00:00+05:30,1790,1874.9,1786.9,1805.25,17757
2022-03-08 00:00:00+05:30,1805.75,1899.85,1805.75,1830.6,14985
2022-03-09 00:00:00+05:30,1874.85,1880,1830,1877.25,12532
2022-03-10 00:00:00+05:30,1905.9,1911.25,1880,1900.75,14450
2022-03-11 00:00:00+05:30,1905,1962,1850.1,1864.65,18284
2022-03-14 00:00:00+05:30,1870,1897.85,1816.1,1877.95,18632
2022-03-15 00:00:00+05:30,1889.25,1897,1851,1878.75,30675
2022-03-16 00:00:00+05:30,1900,1900,1852.6,1881.4,14593
2022-03-17 00:00:00+05:30,1937.95,1942,1842,1872.2,26525
2022-03-21 00:00:00+05:30,1919.95,1931.7,1849,1902.3,28428
2022-03-22 00:00:00+05:30,1899.95,1910,1860.8,1900.25,17606
2022-03-23 00:00:00+05:30,1910,1965,1872,1904.1,16749
2022-03-24 00:00:00+05:30,1885.1,1910,1870.05,1900.2,7264
2022-03-25 00:00:00+05:30,1914.25,1914.25,1875,1880.9,11650
2022-03-28 00:00:00+05:30,1875.1,1893.25,1809.6,1823.85,32499
2022-03-29 00:00:00+05:30,1823.85,1846.25,1800,1815.1,16519
2022-03-30 00:00:00+05:30,1842,1880,1810,1876.8,38713
2022-03-31 00:00:00+05:30,1911,1911,1860.55,1875.15,7081
2022-04-01 00:00:00+05:30,1870,1946,1865.2,1897.35,15109
2022-04-04 00:00:00+05:30,1912,2095,1884.5,1995.45,80330
2022-04-05 00:00:00+05:30,2018,2083.15,1985.5,2013.15,31886
2022-04-06 00:00:00+05:30,1999.25,2093.9,1993,2078.4,16661
2022-04-07 00:00:00+05:30,2098,2135.9,2002.9,2090.75,26320
2022-04-08 00:00:00+05:30,2120,2125,2077.3,2097.45,14509
