date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,496,504.4,490,495.25,92260
2022-01-04 00:00:00+05:30,491,499.35,485.75,491.25,68215
2022-01-05 00:00:00+05:30,492,493.8,482,488.35,57589
2022-01-06 00:00:00+05:30,483.7,504.15,481.6,490.3,134097
2022-01-07 00:00:00+05:30,488,499.5,484.8,488.95,82752
2022-01-10 00:00:00+05:30,488,518,487.4,500.45,262956
2022-01-11 00:00:00+05:30,505.95,511.85,500,503.7,106733
2022-01-12 00:00:00+05:30,505.8,511,495,497.05,77141
2022-01-13 00:00:00+05:30,503,504.35,493.35,496.8,65145
2022-01-14 00:00:00+05:30,497,509.9,493.95,505.8,85282
2022-01-17 00:00:00+05:30,509.95,517,503.35,514.7,124426
2022-01-18 00:00:00+05:30,516,531.9,488,500.3,328294
2022-01-19 00:00:00+05:30,499.3,523.85,498,522.1,165588
2022-01-20 00:00:00+05:30,520.65,527.95,512.35,518.45,83545
2022-01-21 00:00:00+05:30,517,523.95,500,506.2,92459
2022-01-24 00:00:00+05:30,510,514.75,490,495.3,147131
2022-01-25 00:00:00+05:30,496,523.9,483.55,514.45,253256
2022-01-27 00:00:00+05:30,519,587.7,505.4,578.05,2327482
2022-01-28 00:00:00+05:30,593,624.45,560.55,575.35,2374939
2022-01-31 00:00:00+05:30,590,627.9,589.3,610.25,1426537
2022-02-01 00:00:00+05:30,619.9,639.3,601.05,625.05,1076865
2022-02-02 00:00:00+05:30,630,633,606.65,614.25,388623
2022-02-03 00:00:00+05:30,610.5,613,590,597.5,361524
2022-02-04 00:00:00+05:30,601.4,604.95,583,586.15,147978
2022-02-07 00:00:00+05:30,589.35,609.8,580,592.9,215440
2022-02-08 00:00:00+05:30,598,604.95,568.2,572.55,154929
2022-02-09 00:00:00+05:30,579.2,585.05,570.1,574.6,83575
2022-02-10 00:00:00+05:30,576.8,589.9,570,576,105512
2022-02-11 00:00:00+05:30,571.7,578.4,557.55,560,138322
2022-02-14 00:00:00+05:30,550,554.9,525,527.35,221264
2022-02-15 00:00:00+05:30,538,552.35,518.4,545.9,302294
2022-02-16 00:00:00+05:30,553,559,540.1,543.35,117235
2022-02-17 00:00:00+05:30,554,556.3,525.5,530.8,69206
2022-02-18 00:00:00+05:30,530,553.7,528,538,148606
2022-02-21 00:00:00+05:30,538,539.95,511.2,518.6,122786
2022-02-22 00:00:00+05:30,510,514.45,492.35,497.15,138776
2022-02-23 00:00:00+05:30,508,522.5,505.4,512.25,98646
2022-02-24 00:00:00+05:30,497,499,465.15,474.6,287698
2022-02-25 00:00:00+05:30,481,499,479.5,483.8,137234
2022-02-28 00:00:00+05:30,466.35,488.4,461.35,486.25,245209
2022-03-02 00:00:00+05:30,488.5,499.8,486.25,494.75,117274
2022-03-03 00:00:00+05:30,501,510.55,499.2,499.8,82325
2022-03-04 00:00:00+05:30,497,507.15,489.2,499.5,86172
2022-03-07 00:00:00+05:30,485,497,479,481.25,100687
2022-03-08 00:00:00+05:30,480,497,477.1,494.1,103929
2022-03-09 00:00:00+05:30,504,521.15,498.25,511.8,245320
2022-03-10 00:00:00+05:30,522.05,531.8,503.3,513,160932
2022-03-11 00:00:00+05:30,510.9,519.9,506.95,512.95,87127
2022-03-14 00:00:00+05:30,522.5,541.8,513.6,516.65,250306
2022-03-15 00:00:00+05:30,520,527.2,515.05,520.15,74607
2022-03-16 00:00:00+05:30,524,533.65,515.2,519,97878
2022-03-17 00:00:00+05:30,523.55,527.7,515.05,521.15,119258
2022-03-21 00:00:00+05:30,524.9,534.9,516.45,518.05,113364
2022-03-22 00:00:00+05:30,519.75,557.7,518.55,553,281715
2022-03-23 00:00:00+05:30,563,563,538.2,541.9,138101
2022-03-24 00:00:00+05:30,540,544.65,533.9,536.4,93134
2022-03-25 00:00:00+05:30,537,546.55,530.15,532.25,61126
2022-03-28 00:00:00+05:30,530,545.35,521.6,536.9,113984
2022-03-29 00:00:00+05:30,539,547.9,534.2,540.9,98224
2022-03-30 00:00:00+05:30,547,554.4,540.55,546.5,83653
2022-03-31 00:00:00+05:30,541.15,556.9,535.5,539.15,57886
2022-04-01 00:00:00+05:30,539.95,554.95,538.15,548.25,62771
2022-04-04 00:00:00+05:30,552.75,564.4,538.1,550.55,127698
2022-04-05 00:00:00+05:30,550.55,569.7,550.55,561.95,142957
2022-04-06 00:00:00+05:30,561,574.3,551.95,555.95,102438
2022-04-07 00:00:00+05:30,555,562,528,533.25,131884
2022-04-08 00:00:00+05:30,536.1,563.95,536.1,558,134790
