date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1455,1499,1424.7,1462.9,19108
2022-01-04 00:00:00+05:30,1475,1525,1473.95,1513.2,26042
2022-01-05 00:00:00+05:30,1513,1563.3,1494.5,1501.1,30139
2022-01-06 00:00:00+05:30,1515,1515,1476.25,1501.25,10710
2022-01-07 00:00:00+05:30,1486,1530,1486,1504.4,5619
2022-01-10 00:00:00+05:30,1525,1595,1499.7,1586.15,35765
2022-01-11 00:00:00+05:30,1597.4,1625.45,1526.55,1550.35,20914
2022-01-12 00:00:00+05:30,1569,1569,1513.8,1549.45,17001
2022-01-13 00:00:00+05:30,1565.15,1574,1500,1525.65,13440
2022-01-14 00:00:00+05:30,1528,1543.25,1504.25,1516.35,10591
2022-01-17 00:00:00+05:30,1570,1616,1523.85,1606,37038
2022-01-18 00:00:00+05:30,1610,1614.9,1533,1544.8,12383
2022-01-19 00:00:00+05:30,1544,1570,1510.1,1550.3,15111
2022-01-20 00:00:00+05:30,1564.8,1566,1540,1549.15,6080
2022-01-21 00:00:00+05:30,1517,1550,1476,1532.75,13723
2022-01-24 00:00:00+05:30,1495,1528.15,1454.3,1491.1,19114
2022-01-25 00:00:00+05:30,1441,1550,1441,1535.55,14396
2022-01-27 00:00:00+05:30,1554,1589.95,1498,1544.15,33585
2022-01-28 00:00:00+05:30,1573.9,1583,1500,1504.85,16965
2022-01-31 00:00:00+05:30,1548,1566,1510.25,1543.25,59534
2022-02-01 00:00:00+05:30,1545,1563.2,1501.55,1519.95,6277
2022-02-02 00:00:00+05:30,1538.25,1545.1,1511,1526.05,7313
2022-02-03 00:00:00+05:30,1520.75,1541.85,1477.35,1518.85,13158
2022-02-04 00:00:00+05:30,1503.15,1517.25,1480.15,1489.05,7279
2022-02-07 00:00:00+05:30,1489,1537.7,1465.1,1479.2,5659
2022-02-08 00:00:00+05:30,1492.8,1492.8,1444,1445.7,8184
2022-02-09 00:00:00+05:30,1474.8,1491,1428.3,1477.95,8674
2022-02-10 00:00:00+05:30,1509.35,1525,1463.8,1519.8,14255
2022-02-11 00:00:00+05:30,1490.15,1500.35,1472.1,1476.65,5055
2022-02-14 00:00:00+05:30,1410.1,1470,1398.9,1436.95,8052
2022-02-15 00:00:00+05:30,1442.5,1498,1400.75,1475.1,4743
2022-02-16 00:00:00+05:30,1484.2,1492.75,1447.15,1453.45,5929
2022-02-17 00:00:00+05:30,1445,1459.15,1420,1427.85,4839
2022-02-18 00:00:00+05:30,1420,1438,1410,1422,4470
2022-02-21 00:00:00+05:30,1405.1,1427.9,1389.65,1400.8,6659
2022-02-22 00:00:00+05:30,1352.85,1435,1352.35,1424.15,10699
2022-02-23 00:00:00+05:30,1418,1448,1410.1,1419.5,4351
2022-02-24 00:00:00+05:30,1410,1410,1350,1364.15,14433
2022-02-25 00:00:00+05:30,1376,1419.95,1360.85,1385.4,5190
2022-02-28 00:00:00+05:30,1345,1398,1345,1392.9,8811
2022-03-02 00:00:00+05:30,1370.65,1407,1370,1398.15,10292
2022-03-03 00:00:00+05:30,1407.3,1407.3,1365,1379.05,11538
2022-03-04 00:00:00+05:30,1400,1412,1344.4,1389.6,13129
2022-03-07 00:00:00+05:30,1334,1399.9,1325,1347.35,18661
2022-03-08 00:00:00+05:30,1359.9,1393,1332.05,1380.7,7619
2022-03-09 00:00:00+05:30,1375.75,1405,1367.15,1394.35,9276
2022-03-10 00:00:00+05:30,1405,1412,1378,1388.45,10352
2022-03-11 00:00:00+05:30,1380.75,1401,1370.3,1388.5,6235
2022-03-14 00:00:00+05:30,1399.75,1399.75,1374.95,1385.85,5858
2022-03-15 00:00:00+05:30,1386,1393,1350.55,1358.35,5528
2022-03-16 00:00:00+05:30,1374,1374.9,1334.65,1345.05,18262
2022-03-17 00:00:00+05:30,1350,1372,1340,1351.1,19724
2022-03-21 00:00:00+05:30,1353.6,1366,1350,1352.3,6974
2022-03-22 00:00:00+05:30,1350.25,1372.95,1340.05,1361.5,11691
2022-03-23 00:00:00+05:30,1365.5,1424,1357.45,1382.15,43348
2022-03-24 00:00:00+05:30,1362.8,1460,1362,1411.15,26058
2022-03-25 00:00:00+05:30,1413,1430.85,1348,1399.45,19742
2022-03-28 00:00:00+05:30,1428,1428,1366.85,1386.75,5551
2022-03-29 00:00:00+05:30,1387.65,1522.95,1386.5,1480.2,101656
2022-03-30 00:00:00+05:30,1518,1539.95,1480.5,1505.7,21593
2022-03-31 00:00:00+05:30,1520,1520,1450,1459.35,8901
2022-04-01 00:00:00+05:30,1477,1498.9,1404.95,1443.8,14956
2022-04-04 00:00:00+05:30,1456.35,1490,1451,1455.7,10461
2022-04-05 00:00:00+05:30,1450.1,1471,1429.55,1441.15,13611
2022-04-06 00:00:00+05:30,1450,1468.95,1435.5,1443.5,10658
2022-04-07 00:00:00+05:30,1460,1493,1445,1460.6,10912
2022-04-08 00:00:00+05:30,1484,1484,1451,1467.4,7321
