date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,40,44.45,39.65,44.45,74718
2022-01-04 00:00:00+05:30,47.5,47.55,42.5,44,111352
2022-01-05 00:00:00+05:30,42.1,45.55,41.3,44,11524
2022-01-06 00:00:00+05:30,44.9,48.4,43.3,48.4,104586
2022-01-07 00:00:00+05:30,49.85,52,48.5,49.15,92728
2022-01-10 00:00:00+05:30,50,53.25,48.8,52.2,59520
2022-01-11 00:00:00+05:30,53.35,53.75,49.6,49.6,36894
2022-01-12 00:00:00+05:30,49.6,51.2,47.15,47.6,40107
2022-01-13 00:00:00+05:30,48.4,48.4,45.25,45.45,9407
2022-01-14 00:00:00+05:30,46.35,47.7,43.25,47.5,11891
2022-01-17 00:00:00+05:30,45.5,49.85,45.5,47.3,11545
2022-01-18 00:00:00+05:30,47.3,48.4,46.55,47,7075
2022-01-19 00:00:00+05:30,47,47.5,45.5,45.7,2464
2022-01-20 00:00:00+05:30,45.5,47.75,44.15,44.65,5568
2022-01-21 00:00:00+05:30,45,45.9,44.5,44.95,5649
2022-01-24 00:00:00+05:30,46.8,46.8,42.8,43,3833
2022-01-25 00:00:00+05:30,42.15,44.7,41,43,10164
2022-01-27 00:00:00+05:30,40.85,44,40.85,43.1,3387
2022-01-28 00:00:00+05:30,42.25,44,42.25,42.4,4075
2022-01-31 00:00:00+05:30,43.25,43.4,41.4,41.55,5902
2022-02-01 00:00:00+05:30,41.55,43,40.05,42.6,4060
2022-02-02 00:00:00+05:30,42.6,43,41.7,41.8,1285
2022-02-03 00:00:00+05:30,42.65,42.65,40.6,42.4,6322
2022-02-04 00:00:00+05:30,41.15,42.05,41.15,41.6,3210
2022-02-07 00:00:00+05:30,42.5,43.65,42.1,42.5,8429
2022-02-08 00:00:00+05:30,44.4,44.4,41.2,42.15,1588
2022-02-09 00:00:00+05:30,42.1,42.5,41.15,42.35,3485
2022-02-10 00:00:00+05:30,42.35,43.8,40.95,42.55,2196
2022-02-11 00:00:00+05:30,43.4,44.1,41,42.75,5681
2022-02-14 00:00:00+05:30,42.7,42.7,40.65,40.7,1433
2022-02-15 00:00:00+05:30,42.65,42.65,38.8,40.95,2511
2022-02-16 00:00:00+05:30,42.95,42.95,39.8,40.65,2283
2022-02-17 00:00:00+05:30,38.95,42.65,38.95,42.65,9115
2022-02-18 00:00:00+05:30,44.75,44.75,40.65,41.7,4205
2022-02-21 00:00:00+05:30,39.9,42.8,39.7,40.05,3302
2022-02-22 00:00:00+05:30,38.1,40.3,38.1,40,6268
2022-02-23 00:00:00+05:30,40,41.6,39.7,39.75,1747
2022-02-24 00:00:00+05:30,38,40.8,37.8,37.8,2271
2022-02-25 00:00:00+05:30,36.3,39.65,36.25,39.65,3057
2022-02-28 00:00:00+05:30,38.9,41.6,38.55,40.6,4593
2022-03-02 00:00:00+05:30,41.45,42.6,41.45,42.6,5386
2022-03-03 00:00:00+05:30,44.65,44.65,41.55,43.5,4936
2022-03-04 00:00:00+05:30,41.5,44.45,41.5,42,2598
2022-03-07 00:00:00+05:30,42,42.8,40.35,41.95,4458
2022-03-08 00:00:00+05:30,41.15,43.3,40.1,43.05,4954
2022-03-09 00:00:00+05:30,41.95,43.55,40.9,41.1,10071
2022-03-10 00:00:00+05:30,42.95,43.15,41,42,4784
2022-03-11 00:00:00+05:30,42.85,42.85,41.75,42.75,682
2022-03-14 00:00:00+05:30,42.75,44,40.8,41.4,3213
2022-03-15 00:00:00+05:30,43,43.1,41.2,41.55,3829
2022-03-16 00:00:00+05:30,41,42.9,41,41.4,1835
2022-03-17 00:00:00+05:30,42.9,42.9,41.2,41.85,1698
2022-03-21 00:00:00+05:30,40.05,42.5,40.05,40.85,1683
2022-03-22 00:00:00+05:30,42.65,42.65,40,41,2759
2022-03-23 00:00:00+05:30,41.85,42,40,40.85,5005
2022-03-24 00:00:00+05:30,40.85,42.7,40.1,41.6,4807
2022-03-25 00:00:00+05:30,40.8,42,40.2,40.85,6545
2022-03-28 00:00:00+05:30,39.35,41.75,39.35,40.6,1074
2022-03-29 00:00:00+05:30,39.4,42.2,38.75,39.2,9472
2022-03-30 00:00:00+05:30,39.2,40.85,39.2,39.75,1718
2022-03-31 00:00:00+05:30,41,41.6,39.05,39.15,4970
2022-04-01 00:00:00+05:30,39.05,40.05,39.05,39.8,4393
2022-04-04 00:00:00+05:30,39.25,41.3,39.25,40.6,6221
2022-04-05 00:00:00+05:30,41.45,41.7,39.35,40.1,4533
2022-04-06 00:00:00+05:30,41,41,40,40.4,11247
2022-04-07 00:00:00+05:30,42.25,42.25,39.8,40.4,18768
2022-04-08 00:00:00+05:30,40.65,41.75,40.4,40.95,6097
