date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,252,273,251,268.3,294672
2022-01-04 00:00:00+05:30,272.3,275.9,267.55,268.25,150561
2022-01-05 00:00:00+05:30,268.25,271.5,265.3,267.15,77961
2022-01-06 00:00:00+05:30,267.15,267.15,262.05,263.85,38677
2022-01-07 00:00:00+05:30,265.2,275,260.3,271.45,187975
2022-01-10 00:00:00+05:30,272.1,275.3,269,271.2,82500
2022-01-11 00:00:00+05:30,272.6,275,268,269.3,134742
2022-01-12 00:00:00+05:30,270.65,273.55,267,268.9,51640
2022-01-13 00:00:00+05:30,271.9,273.2,267.1,268.15,51183
2022-01-14 00:00:00+05:30,269.5,272,266.55,269.4,68634
2022-01-17 00:00:00+05:30,270.75,281,270,276.3,147124
2022-01-18 00:00:00+05:30,278.95,291,273.05,279,358445
2022-01-19 00:00:00+05:30,279.1,283.7,274,278.55,95651
2022-01-20 00:00:00+05:30,280,283.5,277.75,281.45,63649
2022-01-21 00:00:00+05:30,280,281,269.5,271.65,84075
2022-01-24 00:00:00+05:30,260.5,261.25,248.1,249.35,263865
2022-01-25 00:00:00+05:30,243.35,253.55,241.45,243.8,88643
2022-01-27 00:00:00+05:30,244,245.95,240.25,243.65,44108
2022-01-28 00:00:00+05:30,244.9,251,244,245.15,37389
2022-01-31 00:00:00+05:30,244.55,249.6,244,244.8,28077
2022-02-01 00:00:00+05:30,246.05,249.25,244.4,247.75,48440
2022-02-02 00:00:00+05:30,251.8,259.75,248.9,255.4,89904
2022-02-03 00:00:00+05:30,257.95,261.05,253.5,258.45,55626
2022-02-04 00:00:00+05:30,259.75,262.35,244.95,248.55,131812
2022-02-07 00:00:00+05:30,249.8,257.25,245.05,247.75,50412
2022-02-08 00:00:00+05:30,249,249.85,241,243.55,38295
2022-02-09 00:00:00+05:30,244.8,246.9,242.3,244.45,26180
2022-02-10 00:00:00+05:30,245.7,247.4,243.8,245.05,21989
2022-02-11 00:00:00+05:30,242,243.65,235.1,239,50582
2022-02-14 00:00:00+05:30,235.1,236.4,225,226.5,62855
2022-02-15 00:00:00+05:30,228.1,237.85,223.3,234.8,54988
2022-02-16 00:00:00+05:30,237.3,239.4,234,237.95,38408
2022-02-17 00:00:00+05:30,239.15,241.55,229.35,231.3,36472
2022-02-18 00:00:00+05:30,230,253.4,229.4,238.65,451716
2022-02-21 00:00:00+05:30,239.85,244.6,225,226.95,65794
2022-02-22 00:00:00+05:30,215.1,228.85,215.1,221.5,57631
2022-02-23 00:00:00+05:30,220.25,229.5,220.25,223.6,48645
2022-02-24 00:00:00+05:30,218.1,222,205.05,207,99091
2022-02-25 00:00:00+05:30,210.25,223.1,210.25,217.65,46218
2022-02-28 00:00:00+05:30,220.9,224.05,209.65,220.5,43846
2022-03-02 00:00:00+05:30,219.95,225,217.9,223.05,36290
2022-03-03 00:00:00+05:30,224.2,225,217.25,218.9,72136
2022-03-04 00:00:00+05:30,218.8,219.8,212,215.75,53497
2022-03-07 00:00:00+05:30,212.5,214.45,205.1,206.85,75188
2022-03-08 00:00:00+05:30,209.95,212.35,206,209.45,80512
2022-03-09 00:00:00+05:30,210.5,218.35,210.5,215.85,37551
2022-03-10 00:00:00+05:30,225,225,213.05,216.1,82179
2022-03-11 00:00:00+05:30,216.25,221.1,215.6,219.15,48134
2022-03-14 00:00:00+05:30,219.4,221.65,215.8,217.7,50058
2022-03-15 00:00:00+05:30,215.55,220,215.1,217.05,35938
2022-03-16 00:00:00+05:30,220,223.15,217.65,221,73608
2022-03-17 00:00:00+05:30,224.8,227.95,221.9,223.15,50145
2022-03-21 00:00:00+05:30,225,227.5,220.05,220.65,44922
2022-03-22 00:00:00+05:30,222.5,222.5,217.05,220.3,64728
2022-03-23 00:00:00+05:30,221.45,222.65,215.9,216.6,73262
2022-03-24 00:00:00+05:30,215.05,218.95,215,216.3,66066
2022-03-25 00:00:00+05:30,216.65,219.85,210.95,212.05,95081
2022-03-28 00:00:00+05:30,210,212.45,206.65,207.95,226112
2022-03-29 00:00:00+05:30,209,212.1,200,201.1,182665
2022-03-30 00:00:00+05:30,203,209,203,207.75,72983
2022-03-31 00:00:00+05:30,208,219.8,208,210.8,120799
2022-04-01 00:00:00+05:30,211.85,222.7,211.85,219.65,55878
2022-04-04 00:00:00+05:30,228.95,244.7,227.1,234.9,400531
2022-04-05 00:00:00+05:30,239,240.05,235.6,237.95,110957
2022-04-06 00:00:00+05:30,241,246,236.6,241.2,121608
2022-04-07 00:00:00+05:30,244.75,245.6,234.1,237.3,67884
2022-04-08 00:00:00+05:30,238.5,246.85,237.3,239.9,84320
