date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,621.4,623.1,610,612.2,25811
2022-01-04 00:00:00+05:30,615.3,620.3,602.1,606.95,24158
2022-01-05 00:00:00+05:30,609,618.95,604.85,608.85,15738
2022-01-06 00:00:00+05:30,607,614,597,602.35,23138
2022-01-07 00:00:00+05:30,609.7,609.7,589.95,592.85,31064
2022-01-10 00:00:00+05:30,592.85,603.05,591.95,593.3,23349
2022-01-11 00:00:00+05:30,593.3,600.1,581.5,583.95,38694
2022-01-12 00:00:00+05:30,591,591,581.55,585,23067
2022-01-13 00:00:00+05:30,585.45,617.1,585.45,604.2,38540
2022-01-14 00:00:00+05:30,611.9,625,596.5,615.75,37580
2022-01-17 00:00:00+05:30,619.95,620.9,612.05,615.75,21605
2022-01-18 00:00:00+05:30,615.75,644.55,614.1,628.25,105029
2022-01-19 00:00:00+05:30,629.65,666,628.25,652.95,120621
2022-01-20 00:00:00+05:30,655.15,668.15,639.25,641.3,40327
2022-01-21 00:00:00+05:30,643,644,611.9,624.55,26184
2022-01-24 00:00:00+05:30,627.65,633.7,601.1,608.5,48215
2022-01-25 00:00:00+05:30,601,635.05,601,626.85,28235
2022-01-27 00:00:00+05:30,618.5,631.55,592,596.45,53287
2022-01-28 00:00:00+05:30,597,616.8,597,598.3,27453
2022-01-31 00:00:00+05:30,615,615,592,592.95,23352
2022-02-01 00:00:00+05:30,606.95,606.95,588.05,590.55,14460
2022-02-02 00:00:00+05:30,590.55,602.8,590.5,593.9,11321
2022-02-03 00:00:00+05:30,597,602.9,594.6,596.35,10131
2022-02-04 00:00:00+05:30,599.35,601.7,590,593.15,9446
2022-02-07 00:00:00+05:30,589.1,596.15,577,578.75,19179
2022-02-08 00:00:00+05:30,581.65,592.95,568.8,580.35,18175
2022-02-09 00:00:00+05:30,583.2,584,575.75,577.3,7841
2022-02-10 00:00:00+05:30,580.2,586.25,574,575.25,8759
2022-02-11 00:00:00+05:30,571,582.95,565.1,577.75,18513
2022-02-14 00:00:00+05:30,552,570,545.55,548.95,21316
2022-02-15 00:00:00+05:30,551.7,564.45,542,560.25,14127
2022-02-16 00:00:00+05:30,563.1,566.15,552,553.6,8941
2022-02-17 00:00:00+05:30,556.3,568.8,553,559.45,12147
2022-02-18 00:00:00+05:30,558.25,562.25,551,555.6,6850
2022-02-21 00:00:00+05:30,548,553.45,531.1,534.2,15242
2022-02-22 00:00:00+05:30,531.1,534.2,482.35,485.85,92045
2022-02-23 00:00:00+05:30,489,512,489,499.35,33329
2022-02-24 00:00:00+05:30,482,499.9,482,486.1,40393
2022-02-25 00:00:00+05:30,483,508.85,483,502.35,15350
2022-02-28 00:00:00+05:30,505,509.4,486.9,497.45,14604
2022-03-02 00:00:00+05:30,491.1,507.95,491.1,504,9182
2022-03-03 00:00:00+05:30,506.55,520.9,498.75,502.3,13324
2022-03-04 00:00:00+05:30,497,503.95,488.5,496.3,16393
2022-03-07 00:00:00+05:30,489,508.8,481.75,494.8,11134
2022-03-08 00:00:00+05:30,497.3,504.25,484.8,497.8,26661
2022-03-09 00:00:00+05:30,500.15,527,496.95,517.5,18021
2022-03-10 00:00:00+05:30,523,534.4,519.6,527,18797
2022-03-11 00:00:00+05:30,525.95,540.05,516.1,526.55,22125
2022-03-14 00:00:00+05:30,526.55,535.85,517.15,520.65,19302
2022-03-15 00:00:00+05:30,522,523.3,515,519,13737
2022-03-16 00:00:00+05:30,521.6,524.45,497.65,500.9,23114
2022-03-17 00:00:00+05:30,523,601.05,516.2,601.05,263863
2022-03-21 00:00:00+05:30,640,641.2,581.1,588.7,470134
2022-03-22 00:00:00+05:30,587,618.05,582.5,598.35,206711
2022-03-23 00:00:00+05:30,606.15,629.9,592,598.9,150421
2022-03-24 00:00:00+05:30,599,607.85,573.6,582.5,40215
2022-03-25 00:00:00+05:30,583,601.2,566.1,574.95,36289
2022-03-28 00:00:00+05:30,570,584,560.05,565,34197
2022-03-29 00:00:00+05:30,567.85,592.05,554.5,559.85,47484
2022-03-30 00:00:00+05:30,563.9,580,560.1,561.8,23957
2022-03-31 00:00:00+05:30,559.1,569.9,555.3,560.45,18514
2022-04-01 00:00:00+05:30,563,589.8,563,586,30061
2022-04-04 00:00:00+05:30,592.7,604.45,576.85,583,39821
2022-04-05 00:00:00+05:30,583,593.4,583,589.05,13001
2022-04-06 00:00:00+05:30,587,596.45,585,587.6,15940
2022-04-07 00:00:00+05:30,587.6,595.9,585,587.1,17256
2022-04-08 00:00:00+05:30,587.1,615.8,587.1,598.25,36792
