date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,853.1,857.15,845.7,853.15,16988
2022-01-04 00:00:00+05:30,862,862,855,856.8,12014
2022-01-05 00:00:00+05:30,856.8,860,849,852.1,12772
2022-01-06 00:00:00+05:30,852.1,856.8,846.1,849.45,9874
2022-01-07 00:00:00+05:30,851.05,860.5,850,852.15,18003
2022-01-10 00:00:00+05:30,859.45,859.45,848.15,853.55,20645
2022-01-11 00:00:00+05:30,857,858,852.2,853.75,15730
2022-01-12 00:00:00+05:30,858,944.8,853.2,908,129394
2022-01-13 00:00:00+05:30,915,945,900.9,909.25,41554
2022-01-14 00:00:00+05:30,902,915,899,900.7,17522
2022-01-17 00:00:00+05:30,909,912.95,893,896.7,12935
2022-01-18 00:00:00+05:30,907.95,909.7,885.1,889.35,13982
2022-01-19 00:00:00+05:30,885.55,894.95,880,882.9,13670
2022-01-20 00:00:00+05:30,888,888,873.95,875.95,12824
2022-01-21 00:00:00+05:30,875.95,876.95,864,869.6,11212
2022-01-24 00:00:00+05:30,869.6,875.5,842.2,846.75,13523
2022-01-25 00:00:00+05:30,850,874.2,825,845.25,12357
2022-01-27 00:00:00+05:30,847,848.05,831.25,836.75,13057
2022-01-28 00:00:00+05:30,840,845.75,837.15,840.7,15137
2022-01-31 00:00:00+05:30,849,869.95,839.9,841.65,13050
2022-02-01 00:00:00+05:30,850,853.8,835,843.05,16064
2022-02-02 00:00:00+05:30,848,848,839.85,840.7,15555
2022-02-03 00:00:00+05:30,841.65,843.6,838.15,839.7,11813
2022-02-04 00:00:00+05:30,840,841.95,835,839.85,9684
2022-02-07 00:00:00+05:30,843.5,843.95,800,822.25,14568
2022-02-08 00:00:00+05:30,820.5,840,798.15,809.4,20909
2022-02-09 00:00:00+05:30,810.05,825.05,807.15,813.25,9733
2022-02-10 00:00:00+05:30,814.9,820.75,801,810.2,13584
2022-02-11 00:00:00+05:30,830,843.25,811.8,823.15,20408
2022-02-14 00:00:00+05:30,839,908.5,820.55,832.8,244202
2022-02-15 00:00:00+05:30,836.15,868.8,836.15,844.95,32311
2022-02-16 00:00:00+05:30,849.9,898,841,882.9,55265
2022-02-17 00:00:00+05:30,899,899,852,858.6,19459
2022-02-18 00:00:00+05:30,868.05,874.4,859.05,860.6,10226
2022-02-21 00:00:00+05:30,861,861.05,821.1,828.4,16216
2022-02-22 00:00:00+05:30,805.2,819,732.6,810.75,22415
2022-02-23 00:00:00+05:30,810.75,839.3,807,823.8,12051
2022-02-24 00:00:00+05:30,807,807,711,759,39939
2022-02-25 00:00:00+05:30,759.5,910.8,700.05,787.95,39237
2022-02-28 00:00:00+05:30,788,850.45,780,832.95,39174
2022-03-02 00:00:00+05:30,825,838.95,805.4,819.55,21294
2022-03-03 00:00:00+05:30,860,860,830,832.4,18247
2022-03-04 00:00:00+05:30,837.95,837.95,810.75,820.85,12534
2022-03-07 00:00:00+05:30,816.3,816.3,787.65,798.7,16669
2022-03-08 00:00:00+05:30,797.55,807,788,798.4,12037
2022-03-09 00:00:00+05:30,808,816,792.05,803.55,13372
2022-03-10 00:00:00+05:30,811.5,837.1,798.1,802.75,26296
2022-03-11 00:00:00+05:30,817,817.25,786.55,803.15,22111
2022-03-14 00:00:00+05:30,887.7,963.75,855,963.75,339728
2022-03-15 00:00:00+05:30,1061,1144.7,1044.2,1090.75,961637
2022-03-16 00:00:00+05:30,1117,1125,1055.3,1071.35,282103
2022-03-17 00:00:00+05:30,1070,1100,911.25,1004.35,185965
2022-03-21 00:00:00+05:30,845,943.7,805,910.15,551032
2022-03-22 00:00:00+05:30,910,943.7,900,913.6,269834
2022-03-23 00:00:00+05:30,915,935,888,897.6,157426
2022-03-24 00:00:00+05:30,897.5,897.5,850,872.8,159197
2022-03-25 00:00:00+05:30,885,890.3,860.7,867.6,151848
2022-03-28 00:00:00+05:30,867.6,870,781.1,814.3,411018
2022-03-29 00:00:00+05:30,801,977.15,791.1,943.05,3500105
2022-03-30 00:00:00+05:30,970,1009.2,960.05,979.1,2156521
2022-03-31 00:00:00+05:30,987.95,992.45,945,957.85,900968
2022-04-01 00:00:00+05:30,954,954.45,892,937,1556034
2022-04-04 00:00:00+05:30,922.15,945,907.1,938.6,1245408
2022-04-05 00:00:00+05:30,930,932.4,866.85,875.4,2479616
2022-04-06 00:00:00+05:30,714.5,815,714.5,755.25,13181107
2022-04-07 00:00:00+05:30,770,839.9,770,817.7,12081878
2022-04-08 00:00:00+05:30,855,938.7,825.75,923.45,40371923
