date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,925,931.8,922.6,928,717440
2022-01-04 00:00:00+05:30,934,937,927.05,934.5,778643
2022-01-05 00:00:00+05:30,937.65,941.8,931.05,935.4,692890
2022-01-06 00:00:00+05:30,925,937.4,924,932.95,578377
2022-01-07 00:00:00+05:30,932.7,937.9,925.1,926.95,404067
2022-01-10 00:00:00+05:30,923,923,897,904.55,2004623
2022-01-11 00:00:00+05:30,897,901.95,884,884.8,1889273
2022-01-12 00:00:00+05:30,895,898.55,885.05,893.7,1411418
2022-01-13 00:00:00+05:30,891,899,891,896.05,808463
2022-01-14 00:00:00+05:30,896.5,897.15,890,893.95,538419
2022-01-17 00:00:00+05:30,893,898.65,883.05,886.55,867313
2022-01-18 00:00:00+05:30,890,892.3,875,877.55,885485
2022-01-19 00:00:00+05:30,878.9,878.9,865,870.35,891919
2022-01-20 00:00:00+05:30,873,874.85,857.1,860.75,974864
2022-01-21 00:00:00+05:30,860.75,860.75,845,850.1,1089183
2022-01-24 00:00:00+05:30,851.1,851.9,800,814.9,2574253
2022-01-25 00:00:00+05:30,802.5,854.85,781.2,850,4184737
2022-01-27 00:00:00+05:30,848,850.2,826.55,844.4,1423748
2022-01-28 00:00:00+05:30,841.4,875.55,841.4,868.25,1267768
2022-01-31 00:00:00+05:30,880,883.5,871.1,879.5,1070345
2022-02-01 00:00:00+05:30,885,886.9,870.55,881.55,834265
2022-02-02 00:00:00+05:30,883,899,880.7,896,868260
2022-02-03 00:00:00+05:30,899,899,882.25,884.55,771285
2022-02-04 00:00:00+05:30,883,884,850.1,854.9,1566360
2022-02-07 00:00:00+05:30,860,860,831.75,835.05,1299577
2022-02-08 00:00:00+05:30,835.5,842.9,816,819.35,1175450
2022-02-09 00:00:00+05:30,825,866.7,825,863.7,2729856
2022-02-10 00:00:00+05:30,868,873.1,854.35,869.7,1248047
2022-02-11 00:00:00+05:30,852,860,843,846.75,739551
2022-02-14 00:00:00+05:30,816,840.75,812.25,824,761734
2022-02-15 00:00:00+05:30,835,840,815.05,838.5,699684
2022-02-16 00:00:00+05:30,840,848.5,835,836.4,542546
2022-02-17 00:00:00+05:30,834.35,840.95,825.8,831.7,849437
2022-02-18 00:00:00+05:30,824,836.15,819.8,826.4,629787
2022-02-21 00:00:00+05:30,826.4,826.4,801,802.45,1151625
2022-02-22 00:00:00+05:30,793.55,794,776,790.5,1972549
2022-02-23 00:00:00+05:30,799.8,806.95,794,797.8,1321164
2022-02-24 00:00:00+05:30,777.7,784,750,753.75,2301066
2022-02-25 00:00:00+05:30,762,791.45,762,782.8,1052529
2022-02-28 00:00:00+05:30,785,788.05,766.25,785.55,891610
2022-03-02 00:00:00+05:30,785,785,763.05,767.25,1496067
2022-03-03 00:00:00+05:30,781.05,782,750.1,752.7,1169814
2022-03-04 00:00:00+05:30,753,763.25,712.65,744.25,2604676
2022-03-07 00:00:00+05:30,720,736,712.25,730.55,1268569
2022-03-08 00:00:00+05:30,735.15,788.95,731.65,781.9,2186728
2022-03-09 00:00:00+05:30,781.9,804,772.25,793.55,1862288
2022-03-10 00:00:00+05:30,809.45,816.45,802.05,804.85,1358515
2022-03-11 00:00:00+05:30,801,809.45,772.45,806.3,674047
2022-03-14 00:00:00+05:30,806,818.5,803.7,816.7,965820
2022-03-15 00:00:00+05:30,818.2,829,811,819.15,956998
2022-03-16 00:00:00+05:30,828.9,837.6,822.8,836.4,835701
2022-03-17 00:00:00+05:30,845,859.95,840.45,854.45,1453002
2022-03-21 00:00:00+05:30,854.4,854.4,840.05,842.15,752292
2022-03-22 00:00:00+05:30,842.3,853.5,825.1,847.3,1302597
2022-03-23 00:00:00+05:30,856.1,865,852,863.3,1293684
2022-03-24 00:00:00+05:30,860,862.5,840.05,843.55,938300
2022-03-25 00:00:00+05:30,848,872,837.4,863.05,1123865
2022-03-28 00:00:00+05:30,872,874.8,838.5,846.5,1305167
2022-03-29 00:00:00+05:30,851.05,860,840.1,854.8,930687
2022-03-30 00:00:00+05:30,859.8,882.9,855,868.9,1860593
2022-03-31 00:00:00+05:30,865,870,849.1,851.7,789954
2022-04-01 00:00:00+05:30,855,873.8,850.4,871.45,549430
2022-04-04 00:00:00+05:30,871,889.7,870,876.15,777486
2022-04-05 00:00:00+05:30,859,864.95,836,839,42706728
2022-04-06 00:00:00+05:30,838,856.5,828.9,854.1,5034995
2022-04-07 00:00:00+05:30,852,870,847.6,856.85,3097445
2022-04-08 00:00:00+05:30,856,857.95,847.55,854.35,3516031
