date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,109,112.95,109,110.35,32759
2022-01-04 00:00:00+05:30,111,111.7,107.8,108.35,50185
2022-01-05 00:00:00+05:30,109.75,109.95,106.75,107.05,102752
2022-01-06 00:00:00+05:30,106.5,107.7,104.5,106.15,108041
2022-01-07 00:00:00+05:30,106.05,109.95,106,107.55,75260
2022-01-10 00:00:00+05:30,109.85,113.1,107.7,109.25,80576
2022-01-11 00:00:00+05:30,110.5,111.5,104.3,107.55,68978
2022-01-12 00:00:00+05:30,108,109.55,106.5,107.15,51755
2022-01-13 00:00:00+05:30,108.75,108.9,105.7,105.9,58331
2022-01-14 00:00:00+05:30,107.8,107.8,105.9,106.7,49475
2022-01-17 00:00:00+05:30,106.85,110.95,105.85,109.85,147054
2022-01-18 00:00:00+05:30,110.85,115.75,110.7,112.3,230512
2022-01-19 00:00:00+05:30,110.7,111.85,108.05,109.65,48600
2022-01-20 00:00:00+05:30,110.45,119.9,109.65,117.65,544875
2022-01-21 00:00:00+05:30,117.7,121.9,114.2,115,312468
2022-01-24 00:00:00+05:30,115,116.3,107.1,108.85,122789
2022-01-25 00:00:00+05:30,108,112.4,106.35,111.4,78090
2022-01-27 00:00:00+05:30,111.9,114.7,109.05,113.7,60769
2022-01-28 00:00:00+05:30,116.95,116.95,112.8,113.4,59755
2022-01-31 00:00:00+05:30,114.1,115.25,110.1,110.85,40532
2022-02-01 00:00:00+05:30,111.95,114.4,109.75,113.35,47930
2022-02-02 00:00:00+05:30,111.4,118.8,111.4,116.15,90187
2022-02-03 00:00:00+05:30,115.3,119.3,114.2,116.4,90986
2022-02-04 00:00:00+05:30,118.95,126.9,114,120.55,474493
2022-02-07 00:00:00+05:30,115,119.8,114.05,118.55,157050
2022-02-08 00:00:00+05:30,119.5,122,115.25,116.4,58314
2022-02-09 00:00:00+05:30,119.5,121.45,114.05,117.15,79896
2022-02-10 00:00:00+05:30,119.3,119.5,115.7,117.35,42558
2022-02-11 00:00:00+05:30,116,117.15,113.65,114.3,54488
2022-02-14 00:00:00+05:30,112,113.25,106.1,106.75,98340
2022-02-15 00:00:00+05:30,108.5,110.6,104,109.35,79654
2022-02-16 00:00:00+05:30,109.7,113,108.9,111.15,51905
2022-02-17 00:00:00+05:30,114.5,114.6,110.05,111.55,49489
2022-02-18 00:00:00+05:30,111.1,112.2,108.2,109.7,30651
2022-02-21 00:00:00+05:30,108,109.3,105.35,106.2,45610
2022-02-22 00:00:00+05:30,104,108.9,101.2,107.65,49541
2022-02-23 00:00:00+05:30,108.9,112,105.05,110.75,54570
2022-02-24 00:00:00+05:30,108,108,95.25,99.8,102460
2022-02-25 00:00:00+05:30,100.1,107.15,100.1,105.6,48104
2022-02-28 00:00:00+05:30,103,107.45,102.8,106.15,29484
2022-03-02 00:00:00+05:30,105.95,108.9,101.3,107.6,48958
2022-03-03 00:00:00+05:30,108.6,109.95,107,108.6,23571
2022-03-04 00:00:00+05:30,108.05,109.75,105.8,106.15,42100
2022-03-07 00:00:00+05:30,104.2,104.95,101.8,103,57680
2022-03-08 00:00:00+05:30,103,105.9,102.7,104,71022
2022-03-09 00:00:00+05:30,104.8,110.3,104.8,106.35,87544
2022-03-10 00:00:00+05:30,109.7,109.75,104.2,105.6,89354
2022-03-11 00:00:00+05:30,104.05,106.55,104,104.75,69529
2022-03-14 00:00:00+05:30,105,107.85,105,106,51009
2022-03-15 00:00:00+05:30,107.25,107.25,104.4,104.85,195864
2022-03-16 00:00:00+05:30,107,107.05,103.05,104.85,51097
2022-03-17 00:00:00+05:30,106.4,106.65,103.4,103.9,146302
2022-03-21 00:00:00+05:30,103.5,105.7,102.5,102.95,74363
2022-03-22 00:00:00+05:30,104.45,104.45,100.7,100.95,163499
2022-03-23 00:00:00+05:30,102.35,102.4,97.5,98.05,128393
2022-03-24 00:00:00+05:30,98.05,99.3,95,95.65,129803
2022-03-25 00:00:00+05:30,95.05,103.5,95.05,101.15,247924
2022-03-28 00:00:00+05:30,101.15,102.5,97.85,98.55,99229
2022-03-29 00:00:00+05:30,99.05,100.4,94,94.95,241664
2022-03-30 00:00:00+05:30,95.25,98,93.65,93.85,186198
2022-03-31 00:00:00+05:30,94.9,99.2,93.85,96.85,381640
2022-04-01 00:00:00+05:30,98.65,103.1,98.35,102.55,134623
2022-04-04 00:00:00+05:30,104.5,105.9,102.65,105.35,82925
2022-04-05 00:00:00+05:30,104.9,115.45,104.25,111.1,433621
2022-04-06 00:00:00+05:30,110.9,118.4,108.5,115.85,379912
2022-04-07 00:00:00+05:30,115.45,118.2,113,114,88658
2022-04-08 00:00:00+05:30,115.35,116.2,113.1,114.3,43077
