date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,72.75,77,72.3,75.35,694826
2022-01-04 00:00:00+05:30,75.65,75.65,73.5,73.85,201728
2022-01-05 00:00:00+05:30,73.85,79.45,73.55,77.6,1528437
2022-01-06 00:00:00+05:30,77,78,76.15,76.8,432936
2022-01-07 00:00:00+05:30,77.35,82.3,76.4,80.2,2936338
2022-01-10 00:00:00+05:30,80.8,81.6,79.2,80.4,500676
2022-01-11 00:00:00+05:30,80.35,80.8,77.55,78,487257
2022-01-12 00:00:00+05:30,78.6,79.4,77.05,77.75,245035
2022-01-13 00:00:00+05:30,78,79.7,77.55,78.75,227520
2022-01-14 00:00:00+05:30,78.7,82.45,78.2,81,830293
2022-01-17 00:00:00+05:30,81.45,82.1,78.1,78.95,605778
2022-01-18 00:00:00+05:30,79.2,80.5,77.8,78.5,268919
2022-01-19 00:00:00+05:30,78.5,79.05,77,77.8,245584
2022-01-20 00:00:00+05:30,78.3,78.95,77.8,78.35,150780
2022-01-21 00:00:00+05:30,78.75,79.15,76.5,77,209387
2022-01-24 00:00:00+05:30,76.5,76.8,73,73.85,295465
2022-01-25 00:00:00+05:30,73.5,75.95,71.55,74.85,205579
2022-01-27 00:00:00+05:30,74.85,76.6,70,70.9,742071
2022-01-28 00:00:00+05:30,70,72.5,69.75,71.3,314748
2022-01-31 00:00:00+05:30,72.9,72.9,71.65,72.05,133436
2022-02-01 00:00:00+05:30,73.5,74,72.25,73.45,345765
2022-02-02 00:00:00+05:30,74.7,74.7,72.2,72.75,172756
2022-02-03 00:00:00+05:30,72.75,73.3,71.5,71.75,188233
2022-02-04 00:00:00+05:30,71.55,74.45,71.35,74,819383
2022-02-07 00:00:00+05:30,74,74.45,72.2,72.7,187620
2022-02-08 00:00:00+05:30,73,73.15,71,71.35,183786
2022-02-09 00:00:00+05:30,71.85,72.1,71,71.4,111800
2022-02-10 00:00:00+05:30,71.95,71.95,70.6,70.85,164286
2022-02-11 00:00:00+05:30,70.5,70.8,69.5,70,170118
2022-02-14 00:00:00+05:30,69.4,69.4,65.55,66.3,248695
2022-02-15 00:00:00+05:30,65.5,67.45,65.2,66.5,374908
2022-02-16 00:00:00+05:30,67.65,69.8,67.15,68.6,184163
2022-02-17 00:00:00+05:30,68.6,69.15,67.5,68.1,107366
2022-02-18 00:00:00+05:30,67.1,67.85,65,65.75,185707
2022-02-21 00:00:00+05:30,66.7,66.7,63.05,63.8,194995
2022-02-22 00:00:00+05:30,60,62.45,59.95,61.7,279765
2022-02-23 00:00:00+05:30,65.5,65.5,62.55,63.65,140056
2022-02-24 00:00:00+05:30,61,62.85,58,58.65,408281
2022-02-25 00:00:00+05:30,63,64.15,47.1,63.3,489769
2022-02-28 00:00:00+05:30,63.3,66,61.6,65.3,233828
2022-03-02 00:00:00+05:30,65,65.6,64.1,65.05,178387
2022-03-03 00:00:00+05:30,66.45,67.2,63.5,64,165828
2022-03-04 00:00:00+05:30,63.1,65.55,62.25,63.95,123585
2022-03-07 00:00:00+05:30,61.95,62.95,60.9,61.55,217202
2022-03-08 00:00:00+05:30,62.5,63.55,61.5,62.95,119815
2022-03-09 00:00:00+05:30,64.95,65.2,63.2,64.35,161525
2022-03-10 00:00:00+05:30,66,66.85,64.55,65.3,134827
2022-03-11 00:00:00+05:30,65.9,65.9,64.3,64.75,123506
2022-03-14 00:00:00+05:30,64.75,65.3,63.75,64.25,113084
2022-03-15 00:00:00+05:30,64.8,67,64.5,65.25,231473
2022-03-16 00:00:00+05:30,65.75,72.8,65.5,71.75,1858691
2022-03-17 00:00:00+05:30,71.9,72.75,70,70.3,385166
2022-03-21 00:00:00+05:30,70.7,70.7,68.85,69.35,196604
2022-03-22 00:00:00+05:30,69.95,71,68.65,69.2,161634
2022-03-23 00:00:00+05:30,69.95,71,68.1,68.25,211152
2022-03-24 00:00:00+05:30,68.2,68.85,66.3,67.4,292367
2022-03-25 00:00:00+05:30,67.65,70,67.5,68,279227
2022-03-28 00:00:00+05:30,68.5,68.75,64.3,64.65,289400
2022-03-29 00:00:00+05:30,64.85,67.45,64.15,65.2,312970
2022-03-30 00:00:00+05:30,66.65,69.6,66.05,68.8,506058
2022-03-31 00:00:00+05:30,69.35,70.9,67.3,69.2,305582
2022-04-01 00:00:00+05:30,69.45,71.6,69.05,71.2,366063
2022-04-04 00:00:00+05:30,71.2,75.75,70,74.35,1076668
2022-04-05 00:00:00+05:30,75.5,77.3,74,74.85,602186
2022-04-06 00:00:00+05:30,74.7,75.45,73.2,73.9,288264
2022-04-07 00:00:00+05:30,74.45,77.9,73.5,75.15,690474
2022-04-08 00:00:00+05:30,76.05,76.7,75,75.95,297491
