date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,31.25,31.25,30.9,30.95,3325751
2022-01-04 00:00:00+05:30,31.3,31.35,30.1,30.4,4554961
2022-01-05 00:00:00+05:30,30.5,30.5,29.85,29.95,2687534
2022-01-06 00:00:00+05:30,29.7,31.1,29.6,30.45,3889882
2022-01-07 00:00:00+05:30,30.8,31.1,30.05,30.2,5224580
2022-01-10 00:00:00+05:30,30.9,32.4,30.65,31.8,23661820
2022-01-11 00:00:00+05:30,32,32.5,31.45,31.6,12853934
2022-01-12 00:00:00+05:30,31.95,32.3,31.6,31.8,5878122
2022-01-13 00:00:00+05:30,31.9,32.05,31.2,31.35,5388079
2022-01-14 00:00:00+05:30,31.25,31.55,31.1,31.3,2821577
2022-01-17 00:00:00+05:30,31.6,32.1,31.2,31.4,4870046
2022-01-18 00:00:00+05:30,31.6,31.75,30.9,31,3172663
2022-01-19 00:00:00+05:30,31,31.2,30.6,30.95,3311650
2022-01-20 00:00:00+05:30,31.1,31.2,30.85,30.9,2277103
2022-01-21 00:00:00+05:30,30.15,30.9,30.15,30.4,2080357
2022-01-24 00:00:00+05:30,30.2,30.4,29.2,29.35,3998306
2022-01-25 00:00:00+05:30,29.1,30.15,29.1,30,3325260
2022-01-27 00:00:00+05:30,29.95,30.3,29.75,29.9,3009022
2022-01-28 00:00:00+05:30,30.3,30.55,30,30.05,2038425
2022-01-31 00:00:00+05:30,31.05,31.2,30.35,30.65,2749870
2022-02-01 00:00:00+05:30,30.85,30.95,30.5,30.7,1785054
2022-02-02 00:00:00+05:30,30.9,31.1,30.8,30.95,1566381
2022-02-03 00:00:00+05:30,30.85,31.6,30.85,31.45,3492756
2022-02-04 00:00:00+05:30,31.6,31.7,31.2,31.25,1658162
2022-02-07 00:00:00+05:30,31.4,31.6,31.2,31.3,1942712
2022-02-08 00:00:00+05:30,31.4,31.55,30.55,30.85,2126047
2022-02-09 00:00:00+05:30,31.3,31.4,31.05,31.25,1832191
2022-02-10 00:00:00+05:30,31.35,31.95,31.1,31.75,3005956
2022-02-11 00:00:00+05:30,30.95,31.25,30.6,30.75,3007513
2022-02-14 00:00:00+05:30,30.35,30.5,29.6,29.7,3073621
2022-02-15 00:00:00+05:30,30.5,30.5,29.35,30.05,1868362
2022-02-16 00:00:00+05:30,30.2,30.6,30.15,30.4,1625943
2022-02-17 00:00:00+05:30,30.65,30.75,30.15,30.45,1691639
2022-02-18 00:00:00+05:30,30.35,30.5,30.2,30.3,1479119
2022-02-21 00:00:00+05:30,29.3,29.6,29,29,2405203
2022-02-22 00:00:00+05:30,28.7,28.7,28.25,28.5,2755717
2022-02-23 00:00:00+05:30,28.5,29.1,28.3,28.6,1624134
2022-02-24 00:00:00+05:30,28,28.35,27.15,27.3,3195126
2022-02-25 00:00:00+05:30,27.6,28.3,27.55,28.15,2523125
2022-02-28 00:00:00+05:30,28.6,28.8,27.9,28.65,2654368
2022-03-02 00:00:00+05:30,28.5,29.15,28.45,29,2869207
2022-03-03 00:00:00+05:30,29.35,29.35,28.9,29,1558101
2022-03-04 00:00:00+05:30,28.9,29,28.4,28.6,1259425
2022-03-07 00:00:00+05:30,28.6,28.6,27.8,28,3037640
2022-03-08 00:00:00+05:30,28.05,29.15,28.05,28.9,2068885
2022-03-09 00:00:00+05:30,29,29.2,28.7,28.8,1595805
2022-03-10 00:00:00+05:30,29.1,29.25,28.9,28.95,2119506
2022-03-11 00:00:00+05:30,29,29.1,28.6,28.75,1847000
2022-03-14 00:00:00+05:30,28.9,29,28.2,28.25,1748856
2022-03-15 00:00:00+05:30,28.5,28.5,27.65,27.9,3484042
2022-03-16 00:00:00+05:30,28.25,28.3,27.65,27.75,3693655
2022-03-17 00:00:00+05:30,28,28.15,27.45,27.5,5383269
2022-03-21 00:00:00+05:30,27.95,28.05,27.5,27.55,3025058
2022-03-22 00:00:00+05:30,27.65,27.75,27.35,27.5,2792952
2022-03-23 00:00:00+05:30,27.65,27.7,27.35,27.5,3319594
2022-03-24 00:00:00+05:30,27.45,27.7,27.2,27.25,3726055
2022-03-25 00:00:00+05:30,27.4,27.45,27.25,27.3,1772922
2022-03-28 00:00:00+05:30,27.45,27.45,27.1,27.2,2800248
2022-03-29 00:00:00+05:30,27.3,27.4,27.2,27.25,1456086
2022-03-30 00:00:00+05:30,27.4,27.6,27.25,27.3,1297773
2022-03-31 00:00:00+05:30,27.45,27.95,27.3,27.45,2614895
2022-04-01 00:00:00+05:30,27.5,28.05,27.4,27.95,2142185
2022-04-04 00:00:00+05:30,28.3,28.45,27.9,28,6372791
2022-04-05 00:00:00+05:30,28.15,28.95,27.85,28.75,6205914
2022-04-06 00:00:00+05:30,28.8,29.25,28.4,28.8,6139079
2022-04-07 00:00:00+05:30,28.9,29.65,28.7,29.15,7067210
2022-04-08 00:00:00+05:30,29.4,29.5,28.8,28.9,3786018
