date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,101.95,105.6,100.45,104.4,93931
2022-01-04 00:00:00+05:30,105.45,106.5,102.5,103.15,38656
2022-01-05 00:00:00+05:30,102.2,108.8,102.2,104.7,91635
2022-01-06 00:00:00+05:30,104.8,107.2,102,104.95,59532
2022-01-07 00:00:00+05:30,105,109.95,104.05,106.45,116966
2022-01-10 00:00:00+05:30,108.9,108.9,105,106.1,49306
2022-01-11 00:00:00+05:30,106.95,111.45,105.3,106.5,136852
2022-01-12 00:00:00+05:30,107.5,109.5,104.25,105.65,53459
2022-01-13 00:00:00+05:30,106,107.4,105.35,106.5,19051
2022-01-14 00:00:00+05:30,106.45,107.2,103.55,105.8,34378
2022-01-17 00:00:00+05:30,107,109.6,105.8,107.7,57117
2022-01-18 00:00:00+05:30,109.4,109.4,105.3,106,33015
2022-01-19 00:00:00+05:30,107,107,102.2,103.65,39337
2022-01-20 00:00:00+05:30,104,104.85,102.8,103.15,24669
2022-01-21 00:00:00+05:30,103,103,100,100.3,47306
2022-01-24 00:00:00+05:30,100.6,101,94.6,95.6,43599
2022-01-25 00:00:00+05:30,95.9,100.55,92.85,97.6,38322
2022-01-27 00:00:00+05:30,98.9,99,95.7,96.75,21623
2022-01-28 00:00:00+05:30,97.2,103.95,97.2,98.8,45974
2022-01-31 00:00:00+05:30,99.9,101.75,98.4,99.15,20340
2022-02-01 00:00:00+05:30,100,101.1,97.05,98.95,24827
2022-02-02 00:00:00+05:30,101.25,106.7,100.05,102.9,40480
2022-02-03 00:00:00+05:30,105.7,112.3,102.1,108.4,450818
2022-02-04 00:00:00+05:30,108.5,111,106.05,106.35,167573
2022-02-07 00:00:00+05:30,107.5,108.2,91.55,101.1,125673
2022-02-08 00:00:00+05:30,102.8,103.9,97.75,98.9,73853
2022-02-09 00:00:00+05:30,99.1,103.35,99.1,102,33126
2022-02-10 00:00:00+05:30,103,103.5,100.25,102.55,50186
2022-02-11 00:00:00+05:30,100.1,103.5,97.55,98.8,45285
2022-02-14 00:00:00+05:30,97.75,100.7,95.4,96,51410
2022-02-15 00:00:00+05:30,98,100.4,94,96.85,36837
2022-02-16 00:00:00+05:30,98,102.65,95,100.25,67525
2022-02-17 00:00:00+05:30,102.5,102.5,100.1,101.25,20266
2022-02-18 00:00:00+05:30,102,102.25,95.1,96.85,54798
2022-02-21 00:00:00+05:30,98,98.1,83.35,86,158558
2022-02-22 00:00:00+05:30,83,84.9,78,80.75,222723
2022-02-23 00:00:00+05:30,82,93.55,75,80,454055
2022-02-24 00:00:00+05:30,75.6,78.9,67.55,70.2,106342
2022-02-25 00:00:00+05:30,73,77.2,73,77.2,76779
2022-02-28 00:00:00+05:30,78.75,84,76.85,81.1,95579
2022-03-02 00:00:00+05:30,81.9,83.75,78,81.1,56327
2022-03-03 00:00:00+05:30,83,85,80.1,81.05,44039
2022-03-04 00:00:00+05:30,81.05,81.9,79.6,79.95,29994
2022-03-07 00:00:00+05:30,75.6,78.4,75.6,76.35,34025
2022-03-08 00:00:00+05:30,77.8,78.45,71.55,74.5,87563
2022-03-09 00:00:00+05:30,77,81.8,75.05,80.6,62884
2022-03-10 00:00:00+05:30,83.8,84.9,80.2,81.65,48556
2022-03-11 00:00:00+05:30,82.75,82.95,80.1,80.55,29955
2022-03-14 00:00:00+05:30,81.75,81.9,78.2,79.15,43467
2022-03-15 00:00:00+05:30,79,82.6,78,78.45,35496
2022-03-16 00:00:00+05:30,80,81.45,78.55,79.1,23850
2022-03-17 00:00:00+05:30,80,80.95,79.45,80.05,32703
2022-03-21 00:00:00+05:30,81.4,81.7,79.1,79.5,22619
2022-03-22 00:00:00+05:30,79.95,80,77.55,78.2,51270
2022-03-23 00:00:00+05:30,80.1,80.2,73.25,75.35,110303
2022-03-24 00:00:00+05:30,75.7,79.5,75.1,78.4,97204
2022-03-25 00:00:00+05:30,77.95,84.75,77.55,79.9,224716
2022-03-28 00:00:00+05:30,82.7,82.7,76.4,77,54374
2022-03-29 00:00:00+05:30,77.1,78.05,72,72.55,111962
2022-03-30 00:00:00+05:30,75,75,72.9,73,194510
2022-03-31 00:00:00+05:30,73,74.5,70,70.25,81588
2022-04-01 00:00:00+05:30,71.7,74.8,70,74.55,57647
2022-04-04 00:00:00+05:30,75,76,74.05,74.8,63121
2022-04-05 00:00:00+05:30,75.8,77,74.5,75.85,113095
2022-04-06 00:00:00+05:30,75.45,81.9,75,79.8,153572
2022-04-07 00:00:00+05:30,80.4,84.7,80.4,82.85,138963
2022-04-08 00:00:00+05:30,83,84.85,81.7,82.55,51779
