date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1118.55,1145,1112,1133.55,17926
2022-01-04 00:00:00+05:30,1120,1145,1120,1135.55,9738
2022-01-05 00:00:00+05:30,1135.55,1190,1123.45,1174.85,44686
2022-01-06 00:00:00+05:30,1155,1220,1155,1199.3,40802
2022-01-07 00:00:00+05:30,1205,1219.1,1184,1190.6,21963
2022-01-10 00:00:00+05:30,1198.8,1250,1198.8,1239.1,34294
2022-01-11 00:00:00+05:30,1239.1,1259.8,1226,1238.3,22674
2022-01-12 00:00:00+05:30,1259,1281,1230,1240.6,32715
2022-01-13 00:00:00+05:30,1251.7,1259.25,1222.65,1225.3,18782
2022-01-14 00:00:00+05:30,1205.1,1237,1205.1,1214,14377
2022-01-17 00:00:00+05:30,1235,1256,1224.95,1229.35,23147
2022-01-18 00:00:00+05:30,1235,1242,1210,1214.15,13133
2022-01-19 00:00:00+05:30,1202.65,1231.15,1200,1220.75,13887
2022-01-20 00:00:00+05:30,1215.55,1229.75,1194.5,1200.45,13694
2022-01-21 00:00:00+05:30,1190,1200.05,1149.3,1167.15,16733
2022-01-24 00:00:00+05:30,1175,1175,1101,1126,12861
2022-01-25 00:00:00+05:30,1101.05,1190,1086.6,1179.95,19370
2022-01-27 00:00:00+05:30,1175,1175,1132,1138.4,11701
2022-01-28 00:00:00+05:30,1170,1216.5,1155.15,1165.15,22039
2022-01-31 00:00:00+05:30,1180,1189.85,1169.55,1177.25,7698
2022-02-01 00:00:00+05:30,1190,1197,1155.05,1168.35,12744
2022-02-02 00:00:00+05:30,1179.85,1187.15,1168.45,1176.75,5015
2022-02-03 00:00:00+05:30,1180.5,1180.5,1150,1156.7,7571
2022-02-04 00:00:00+05:30,1160,1171.25,1152.1,1160.1,6142
2022-02-07 00:00:00+05:30,1154.5,1170,1133.1,1136.75,6123
2022-02-08 00:00:00+05:30,1133,1155.8,1110.3,1125.95,5667
2022-02-09 00:00:00+05:30,1154,1161.4,1133.95,1153.7,8732
2022-02-10 00:00:00+05:30,1154.25,1174,1141.85,1151.55,7045
2022-02-11 00:00:00+05:30,1146.8,1159.9,1101,1116.3,7134
2022-02-14 00:00:00+05:30,1116.3,1129.3,1081.25,1105.3,12191
2022-02-15 00:00:00+05:30,1105,1105,1045,1060.05,35794
2022-02-16 00:00:00+05:30,1095,1135,1066.1,1093.8,14415
2022-02-17 00:00:00+05:30,1100,1113.4,1075,1085.95,4298
2022-02-18 00:00:00+05:30,1065,1080.25,1058.9,1069.7,8019
2022-02-21 00:00:00+05:30,1069.7,1069.7,1015.5,1026.75,15521
2022-02-22 00:00:00+05:30,1029.9,1029.9,990,998.4,11943
2022-02-23 00:00:00+05:30,995,1029,995,1012.05,5672
2022-02-24 00:00:00+05:30,1000,1000,951,958.95,21735
2022-02-25 00:00:00+05:30,958.95,1026,958,995.05,17202
2022-02-28 00:00:00+05:30,990,995,964.9,973.6,28289
2022-03-02 00:00:00+05:30,942,981.45,940,968.25,37369
2022-03-03 00:00:00+05:30,970.05,1016.55,970.05,995.6,15591
2022-03-04 00:00:00+05:30,986.45,1005.7,974.75,986.3,7995
2022-03-07 00:00:00+05:30,989,989,932,949.3,22553
2022-03-08 00:00:00+05:30,949.3,977,945.1,970,10601
2022-03-09 00:00:00+05:30,970,1004,970,997.6,8494
2022-03-10 00:00:00+05:30,1014.4,1044.8,1006,1020.25,14536
2022-03-11 00:00:00+05:30,1030,1040,1012.75,1031.15,9995
2022-03-14 00:00:00+05:30,1031.4,1070.95,1020,1030.8,31839
2022-03-15 00:00:00+05:30,1031,1055,1022,1030.5,11961
2022-03-16 00:00:00+05:30,1040,1048.75,1018,1029.75,11113
2022-03-17 00:00:00+05:30,1039,1065,1030,1043.5,20690
2022-03-21 00:00:00+05:30,1060,1188,1051.65,1131.15,126172
2022-03-22 00:00:00+05:30,1142,1199,1142,1184.8,74801
2022-03-23 00:00:00+05:30,1196,1196,1120.05,1136.25,33068
2022-03-24 00:00:00+05:30,1117.05,1186.75,1117.05,1143.4,22420
2022-03-25 00:00:00+05:30,1143.4,1161.45,1120,1124.8,10677
2022-03-28 00:00:00+05:30,1137.25,1137.25,1076,1082.55,12448
2022-03-29 00:00:00+05:30,1092.2,1092.95,1045,1051.4,23602
2022-03-30 00:00:00+05:30,1059.9,1089.85,1057.7,1070.1,14367
2022-03-31 00:00:00+05:30,1075,1079.3,1046,1051,16610
2022-04-01 00:00:00+05:30,1060,1099.95,1060,1098.55,9275
2022-04-04 00:00:00+05:30,1099,1129.5,1099,1124.05,8339
2022-04-05 00:00:00+05:30,1134.25,1149.95,1116.1,1134.15,8605
2022-04-06 00:00:00+05:30,1131.65,1150,1128.65,1140.75,9490
2022-04-07 00:00:00+05:30,1144.75,1170,1135.4,1158.8,13158
2022-04-08 00:00:00+05:30,1160.1,1196,1157.15,1180.25,14275
