date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,448,463.4,447.05,456.25,998126
2022-01-04 00:00:00+05:30,458,461.8,448.25,449.35,560895
2022-01-05 00:00:00+05:30,450.7,458.45,445.4,447.85,929293
2022-01-06 00:00:00+05:30,447.85,452.65,442.05,447.85,587313
2022-01-07 00:00:00+05:30,452.25,452.25,443.05,445.05,403158
2022-01-10 00:00:00+05:30,447,457.5,444.4,451.75,877451
2022-01-11 00:00:00+05:30,452.9,464.6,451.6,455.15,909327
2022-01-12 00:00:00+05:30,458,459.4,450,453.25,408162
2022-01-13 00:00:00+05:30,454,466.5,450.7,456.5,804553
2022-01-14 00:00:00+05:30,456.95,461.25,452.9,455.75,363054
2022-01-17 00:00:00+05:30,455.95,457.4,440.75,444.55,700140
2022-01-18 00:00:00+05:30,452.05,466.9,420.5,426.45,3026064
2022-01-19 00:00:00+05:30,426.4,430.95,411,421.95,1056282
2022-01-20 00:00:00+05:30,424.1,429,413.2,420.9,772501
2022-01-21 00:00:00+05:30,419,420.45,399.05,400.85,1228003
2022-01-24 00:00:00+05:30,400,402.05,374,378.1,1275791
2022-01-25 00:00:00+05:30,373.1,389.7,367.1,385.3,613853
2022-01-27 00:00:00+05:30,383.35,387,371.25,373.75,866391
2022-01-28 00:00:00+05:30,375,400.9,375,393.45,1589026
2022-01-31 00:00:00+05:30,397,401.55,392.55,394.35,626929
2022-02-01 00:00:00+05:30,397.5,402.9,394.05,399.35,475950
2022-02-02 00:00:00+05:30,403,409.35,400.7,407.3,584946
2022-02-03 00:00:00+05:30,406.85,413.75,404.8,408.5,447980
2022-02-04 00:00:00+05:30,409,410.1,401.05,403.85,284385
2022-02-07 00:00:00+05:30,401,404.45,384.6,389.7,743965
2022-02-08 00:00:00+05:30,393,395.05,385,394.2,617840
2022-02-09 00:00:00+05:30,396.2,399.45,390.5,395,385863
2022-02-10 00:00:00+05:30,387.25,401.85,381.5,390.8,2980051
2022-02-11 00:00:00+05:30,385,400,382.15,386.7,1337726
2022-02-14 00:00:00+05:30,382,383.05,353,358.5,745871
2022-02-15 00:00:00+05:30,358.5,366.45,344.15,363.55,1163448
2022-02-16 00:00:00+05:30,363,381.95,362.85,374.85,1170918
2022-02-17 00:00:00+05:30,375,375.95,368,371.3,479331
2022-02-18 00:00:00+05:30,369.6,371,362,364.2,357184
2022-02-21 00:00:00+05:30,364.2,367.35,353,354.55,354049
2022-02-22 00:00:00+05:30,348,350.25,338,341.4,724787
2022-02-23 00:00:00+05:30,341.9,351,341.9,348,505786
2022-02-24 00:00:00+05:30,332,338.45,308.8,313.9,1496499
2022-02-25 00:00:00+05:30,318.05,333.3,318.05,330.75,1000162
2022-02-28 00:00:00+05:30,326.8,327,312.4,319.9,1246271
2022-03-02 00:00:00+05:30,319.9,324.3,317.2,320.3,1024860
2022-03-03 00:00:00+05:30,323,325.65,306,308.4,962930
2022-03-04 00:00:00+05:30,308.45,325,304.2,319.6,2306258
2022-03-07 00:00:00+05:30,315,319.25,309.5,317.9,743651
2022-03-08 00:00:00+05:30,317.9,329.15,316.5,324.65,799461
2022-03-09 00:00:00+05:30,329,335.5,326.9,328.8,994879
2022-03-10 00:00:00+05:30,337,337.8,325.1,329.45,766501
2022-03-11 00:00:00+05:30,328,333.5,323,328.6,2105875
2022-03-14 00:00:00+05:30,328.1,330.95,319,323.05,1151771
2022-03-15 00:00:00+05:30,329,335.75,312,314.7,1486406
2022-03-16 00:00:00+05:30,318,330.9,314.4,329.4,1065714
2022-03-17 00:00:00+05:30,334,342,330.55,333.35,1119891
2022-03-21 00:00:00+05:30,340,357.35,336,352.1,2986018
2022-03-22 00:00:00+05:30,355,356.35,343.6,350,1700576
2022-03-23 00:00:00+05:30,352,369,351.05,359.55,3025805
2022-03-24 00:00:00+05:30,357.1,367.8,355.9,362.7,1171951
2022-03-25 00:00:00+05:30,365.9,372,361.8,363.6,946184
2022-03-28 00:00:00+05:30,361.15,368.8,355.95,357.6,757213
2022-03-29 00:00:00+05:30,358.4,363.2,351.65,352.9,829951
2022-03-30 00:00:00+05:30,358,359.8,350.5,356.5,750006
2022-03-31 00:00:00+05:30,356.2,358.85,344.9,346.6,636531
2022-04-01 00:00:00+05:30,346.6,353.45,346.6,351.65,674074
2022-04-04 00:00:00+05:30,352,362.8,352,359.9,598524
2022-04-05 00:00:00+05:30,363.6,376.75,358.1,366.6,1254402
2022-04-06 00:00:00+05:30,366.6,388.6,366.55,377.1,2512870
2022-04-07 00:00:00+05:30,380,387.1,372,377.35,893019
2022-04-08 00:00:00+05:30,378,382.4,372.65,380.1,492532
