date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,789,797.6,774,779.5,231314
2022-01-04 00:00:00+05:30,783,792,770.35,773.6,232422
2022-01-05 00:00:00+05:30,774,779.5,753.85,761.7,427959
2022-01-06 00:00:00+05:30,755,787,755,780.4,695515
2022-01-07 00:00:00+05:30,765,771.15,762.55,766.95,1692011
2022-01-10 00:00:00+05:30,767,804,767,794.8,377827
2022-01-11 00:00:00+05:30,800,800,781.05,787.65,464034
2022-01-12 00:00:00+05:30,790,833,784.15,820.05,629256
2022-01-13 00:00:00+05:30,823,833.7,811.05,822.35,170775
2022-01-14 00:00:00+05:30,823.7,831.5,816.6,829.25,259710
2022-01-17 00:00:00+05:30,834,861,821.15,858.6,423845
2022-01-18 00:00:00+05:30,861,865.65,835.7,843.65,289772
2022-01-19 00:00:00+05:30,840,840,818,819.1,123509
2022-01-20 00:00:00+05:30,818.75,825.75,811.05,815.45,104577
2022-01-21 00:00:00+05:30,811.05,828.75,802.3,817.3,232980
2022-01-24 00:00:00+05:30,819.85,819.85,775,779.35,218959
2022-01-25 00:00:00+05:30,770,791.95,762.4,776.5,148007
2022-01-27 00:00:00+05:30,775,804.75,774.05,788.55,211217
2022-01-28 00:00:00+05:30,797,809.7,793.1,797.85,116479
2022-01-31 00:00:00+05:30,809,810,761,768,160188
2022-02-01 00:00:00+05:30,784,799,776.75,788.1,145061
2022-02-02 00:00:00+05:30,788.1,799.8,775.15,779.1,105867
2022-02-03 00:00:00+05:30,788.9,788.9,772,776.35,83573
2022-02-04 00:00:00+05:30,777,782.1,768,772.2,154012
2022-02-07 00:00:00+05:30,772,780.9,771.55,772.6,109545
2022-02-08 00:00:00+05:30,775.05,783.95,770,773.35,170347
2022-02-09 00:00:00+05:30,776,788.95,771.25,774.85,803081
2022-02-10 00:00:00+05:30,780.9,794.95,773,788.55,84144
2022-02-11 00:00:00+05:30,781.1,810,768.05,772.35,86601
2022-02-14 00:00:00+05:30,755,759.95,728.15,735.35,1158504
2022-02-15 00:00:00+05:30,743,744,712.15,729.35,109225
2022-02-16 00:00:00+05:30,743.7,745.15,728,735.15,124234
2022-02-17 00:00:00+05:30,748.85,748.85,730,733.85,102268
2022-02-18 00:00:00+05:30,727.1,737.15,725,727.4,52797
2022-02-21 00:00:00+05:30,727,732,708,726,211196
2022-02-22 00:00:00+05:30,707.85,718,700,702.95,103346
2022-02-23 00:00:00+05:30,706.95,714,675,679.25,167272
2022-02-24 00:00:00+05:30,657.65,668.45,633,637.3,272531
2022-02-25 00:00:00+05:30,635.55,669,635.55,661.5,1476539
2022-02-28 00:00:00+05:30,661.7,703.5,645.75,699.3,116281
2022-03-02 00:00:00+05:30,699,701.95,686,693.9,99662
2022-03-03 00:00:00+05:30,703.9,703.9,678.1,686.6,75147
2022-03-04 00:00:00+05:30,686.6,698.95,583.6,652.05,183244
2022-03-07 00:00:00+05:30,647,648.4,610.5,620.8,296551
2022-03-08 00:00:00+05:30,620,634.85,604.65,610.45,405943
2022-03-09 00:00:00+05:30,612,638,610.5,631.9,443379
2022-03-10 00:00:00+05:30,645,647.95,625.9,635.9,199923
2022-03-11 00:00:00+05:30,644,644,630,636.55,94736
2022-03-14 00:00:00+05:30,637.5,641.95,620.2,631.45,184707
2022-03-15 00:00:00+05:30,637.8,638.5,615,618.9,163014
2022-03-16 00:00:00+05:30,630,630.85,602.5,608.8,324517
2022-03-17 00:00:00+05:30,612.5,644,612.1,638.05,626413
2022-03-21 00:00:00+05:30,655.9,664,644.15,655.8,268917
2022-03-22 00:00:00+05:30,664,664,643,655,237440
2022-03-23 00:00:00+05:30,662.6,666.8,648.05,660.15,180465
2022-03-24 00:00:00+05:30,661,705,655,697.45,435650
2022-03-25 00:00:00+05:30,707.3,721.55,685.05,709.4,400776
2022-03-28 00:00:00+05:30,715,723,690,695,309369
2022-03-29 00:00:00+05:30,702,706.9,682.45,688,416685
2022-03-30 00:00:00+05:30,697.9,706.8,690.9,700.7,236800
2022-03-31 00:00:00+05:30,702,714.85,698,710.45,314946
2022-04-01 00:00:00+05:30,715.95,748,712.05,742.7,352780
2022-04-04 00:00:00+05:30,749,749,731.95,738.3,249900
2022-04-05 00:00:00+05:30,744.2,760.2,738,744.85,239426
2022-04-06 00:00:00+05:30,735,757,728.05,753,183984
2022-04-07 00:00:00+05:30,759.75,759.75,730.3,740.7,226386
2022-04-08 00:00:00+05:30,746.6,753,736.7,748.35,131136
