date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,105.5,107.3,102.95,103.65,93583
2022-01-04 00:00:00+05:30,104.35,109,101.7,104.95,165491
2022-01-05 00:00:00+05:30,105.2,114.9,103.75,107.95,449706
2022-01-06 00:00:00+05:30,107.35,111,106.05,109.25,93049
2022-01-07 00:00:00+05:30,110,112.6,107.6,108.1,78171
2022-01-10 00:00:00+05:30,108.5,114,107.5,109.75,107332
2022-01-11 00:00:00+05:30,110.55,119.4,109.85,112.75,292939
2022-01-12 00:00:00+05:30,113.65,114.9,109,110.2,81356
2022-01-13 00:00:00+05:30,110.35,113.05,109.45,110.4,54260
2022-01-14 00:00:00+05:30,110.4,116.8,109.5,111.55,82832
2022-01-17 00:00:00+05:30,112.4,116.4,109.55,113.55,222212
2022-01-18 00:00:00+05:30,114.45,114.75,107.9,108.8,73380
2022-01-19 00:00:00+05:30,108.1,110.5,107,108.35,79537
2022-01-20 00:00:00+05:30,109,113.7,108.7,111.6,105271
2022-01-21 00:00:00+05:30,110.85,113.4,106.1,107,70144
2022-01-24 00:00:00+05:30,107.05,107.75,100,101.8,44940
2022-01-25 00:00:00+05:30,101,112,98.2,108.45,96651
2022-01-27 00:00:00+05:30,105.2,111.95,105.2,107.85,119951
2022-01-28 00:00:00+05:30,111.5,113.5,108,108.45,99609
2022-01-31 00:00:00+05:30,109,119.4,108,113.35,280579
2022-02-01 00:00:00+05:30,114.2,114.25,109.8,110.6,78188
2022-02-02 00:00:00+05:30,110.95,117.65,110.15,114.2,214310
2022-02-03 00:00:00+05:30,112.35,114.7,110.5,110.8,51050
2022-02-04 00:00:00+05:30,111.6,114,109.4,110,56501
2022-02-07 00:00:00+05:30,110.9,112.3,108.05,108.75,32825
2022-02-08 00:00:00+05:30,108.75,110.05,106.45,107.25,32714
2022-02-09 00:00:00+05:30,108.1,111.05,106.15,106.75,60320
2022-02-10 00:00:00+05:30,108.3,110.9,106.55,107.7,43437
2022-02-11 00:00:00+05:30,106.45,107.2,103.9,104.55,22871
2022-02-14 00:00:00+05:30,107.5,107.5,94.05,95.9,46627
2022-02-15 00:00:00+05:30,98.25,103,97.85,99.6,80998
2022-02-16 00:00:00+05:30,101.95,104.05,99.6,100.3,53638
2022-02-17 00:00:00+05:30,102,103.9,99.6,100.2,78572
2022-02-18 00:00:00+05:30,100,101.9,99,99.15,17386
2022-02-21 00:00:00+05:30,99,101.1,93.35,95.2,26349
2022-02-22 00:00:00+05:30,90.65,95,90.65,93.3,37388
2022-02-23 00:00:00+05:30,96,97,95,95.5,20163
2022-02-24 00:00:00+05:30,95,95,81.6,84.05,56028
2022-02-25 00:00:00+05:30,86,93.35,86,89.6,46466
2022-02-28 00:00:00+05:30,90.8,92.25,88.6,91.5,26148
2022-03-02 00:00:00+05:30,91.5,92.8,90.1,91.05,17588
2022-03-03 00:00:00+05:30,92,109.25,92,109.25,583112
2022-03-04 00:00:00+05:30,112,116.5,100.35,102.45,771107
2022-03-07 00:00:00+05:30,99.9,101.95,96,97.05,103161
2022-03-08 00:00:00+05:30,97.8,102.6,97.35,98.15,118314
2022-03-09 00:00:00+05:30,99.1,105.45,99.05,101.8,156012
2022-03-10 00:00:00+05:30,103.05,105.05,101,101.35,67887
2022-03-11 00:00:00+05:30,101,104.85,100.55,102.15,52369
2022-03-14 00:00:00+05:30,102.5,103.2,100,100.6,41436
2022-03-15 00:00:00+05:30,101.3,103.15,97.25,98.3,50550
2022-03-16 00:00:00+05:30,99.75,103.25,99.75,100.2,47960
2022-03-17 00:00:00+05:30,101.1,102.8,101.1,101.75,39907
2022-03-21 00:00:00+05:30,101,104.35,101,102.05,48635
2022-03-22 00:00:00+05:30,102.05,104.6,100.7,102.25,51209
2022-03-23 00:00:00+05:30,102.25,103,100.1,100.8,34951
2022-03-24 00:00:00+05:30,101,101.85,99.7,100.05,21221
2022-03-25 00:00:00+05:30,100.05,103.5,100.05,100.4,74556
2022-03-28 00:00:00+05:30,100.8,101.05,96.5,97.2,69445
2022-03-29 00:00:00+05:30,97.95,99.9,96.1,97.35,57094
2022-03-30 00:00:00+05:30,98.1,100.8,96.8,97.3,52180
2022-03-31 00:00:00+05:30,98.1,99.4,96.65,97.15,25054
2022-04-01 00:00:00+05:30,97.85,101.25,97.85,99.95,63418
2022-04-04 00:00:00+05:30,99.95,103.4,99.95,102.55,55113
2022-04-05 00:00:00+05:30,104.8,108.5,102.5,107.7,233068
2022-04-06 00:00:00+05:30,107,114,105.55,111.2,312998
2022-04-07 00:00:00+05:30,110.55,110.95,105.6,106.4,90622
2022-04-08 00:00:00+05:30,107.2,110.75,105.05,107.75,95638
