date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,294.5,299.95,292.8,296.3,4344
2022-01-04 00:00:00+05:30,301,301,285.5,290.75,4987
2022-01-05 00:00:00+05:30,293,296.95,281.45,284.7,2105
2022-01-06 00:00:00+05:30,287.05,289.95,280,285.35,8242
2022-01-07 00:00:00+05:30,285.95,289.85,282.5,284.55,1132
2022-01-10 00:00:00+05:30,283.2,291.95,282.15,290.7,4289
2022-01-11 00:00:00+05:30,285.25,303,285.2,298.65,5488
2022-01-12 00:00:00+05:30,305,305,293,294.9,1554
2022-01-13 00:00:00+05:30,285,299.25,283.6,291.4,2835
2022-01-14 00:00:00+05:30,300,331.05,287.9,322.4,59312
2022-01-17 00:00:00+05:30,330,336,322.5,327.85,37260
2022-01-18 00:00:00+05:30,330,330.2,316.1,316.5,12094
2022-01-19 00:00:00+05:30,313.6,328.35,310,316,741
2022-01-20 00:00:00+05:30,311,322.4,310,311.55,2151
2022-01-21 00:00:00+05:30,299.75,308.4,295,304.4,3587
2022-01-24 00:00:00+05:30,299.05,302.35,280.1,289.8,2228
2022-01-25 00:00:00+05:30,288.95,312,277.4,283.4,1911
2022-01-27 00:00:00+05:30,279,324.8,275.05,300.6,2452
2022-01-28 00:00:00+05:30,309.05,341.05,298,314.5,63161
2022-01-31 00:00:00+05:30,312.8,314,303.35,310.25,11670
2022-02-01 00:00:00+05:30,305.95,313.65,300.35,309.35,5601
2022-02-02 00:00:00+05:30,315.45,315.45,305.05,310.4,1256
2022-02-03 00:00:00+05:30,308,315,303,304.2,2656
2022-02-04 00:00:00+05:30,307.9,311.8,300,301,6395
2022-02-07 00:00:00+05:30,303.45,307.15,293,299,4715
2022-02-08 00:00:00+05:30,289.3,307.05,289.3,303.15,2066
2022-02-09 00:00:00+05:30,302.4,315,290.2,298.05,2009
2022-02-10 00:00:00+05:30,294.4,314.9,291,296.15,6893
2022-02-11 00:00:00+05:30,296.9,304,291.95,295.4,912
2022-02-14 00:00:00+05:30,291.5,304.05,268.85,277.35,2110
2022-02-15 00:00:00+05:30,276.2,289.9,276.15,280.15,3045
2022-02-16 00:00:00+05:30,286.05,303.85,282.9,285.75,999
2022-02-17 00:00:00+05:30,285,293.9,280.95,289.15,1367
2022-02-18 00:00:00+05:30,303,303,280.1,285,1022
2022-02-21 00:00:00+05:30,283.7,294.9,280,280.15,1941
2022-02-22 00:00:00+05:30,238,294,238,291.3,3733
2022-02-23 00:00:00+05:30,291,291,278.05,287.05,1536
2022-02-24 00:00:00+05:30,290,290,270,274.85,2785
2022-02-25 00:00:00+05:30,281,289,270,274.9,565
2022-02-28 00:00:00+05:30,240.6,285.2,240.6,280.25,3449
2022-03-02 00:00:00+05:30,276.95,303,275.05,288.35,1433
2022-03-03 00:00:00+05:30,287.2,293.9,276.2,286,1735
2022-03-04 00:00:00+05:30,286.55,286.7,279.05,284.85,806
2022-03-07 00:00:00+05:30,284.9,285.85,270,271.95,1109
2022-03-08 00:00:00+05:30,296.4,296.4,277.8,280.35,1624
2022-03-09 00:00:00+05:30,284,288.65,280,280.4,1272
2022-03-10 00:00:00+05:30,295.8,305.95,276.4,282.85,9551
2022-03-11 00:00:00+05:30,279.45,288.05,279.45,280.75,1557
2022-03-14 00:00:00+05:30,283.95,287.25,281.45,285.05,1395
2022-03-15 00:00:00+05:30,280.3,305.5,280.3,285.3,17397
2022-03-16 00:00:00+05:30,287,292.85,283,285.75,1606
2022-03-17 00:00:00+05:30,291.6,292.05,286,289.45,3297
2022-03-21 00:00:00+05:30,298.95,298.95,280,296.95,4588
2022-03-22 00:00:00+05:30,291.4,305,285.55,301.85,3847
2022-03-23 00:00:00+05:30,300.7,304.75,299.9,303.9,3325
2022-03-24 00:00:00+05:30,300,305,289.9,300.4,7426
2022-03-25 00:00:00+05:30,301,306,295.05,300.8,5667
2022-03-28 00:00:00+05:30,320.15,329.95,302,305,3502
2022-03-29 00:00:00+05:30,311.95,322.75,306.05,308.75,4910
2022-03-30 00:00:00+05:30,329.95,334,300.95,321.8,11533
2022-03-31 00:00:00+05:30,324,354.35,323.5,348.4,22146
2022-04-01 00:00:00+05:30,359.95,368.95,345.3,353.2,6931
2022-04-04 00:00:00+05:30,353.5,372.6,339.9,344.95,7568
2022-04-05 00:00:00+05:30,359.95,359.95,342.05,345.15,7762
2022-04-06 00:00:00+05:30,347.9,350.05,342.05,349.6,5876
2022-04-07 00:00:00+05:30,352.55,352.6,340.05,349.6,37192
2022-04-08 00:00:00+05:30,343,352,343,350,5677
