date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,652.95,690,652.95,681.55,3514
2022-01-04 00:00:00+05:30,666.65,694.5,666.65,673.5,2973
2022-01-05 00:00:00+05:30,660,674.15,660,663.55,1558
2022-01-06 00:00:00+05:30,669.55,669.55,654,659.7,2555
2022-01-07 00:00:00+05:30,655.1,683.8,655.1,675.45,3760
2022-01-10 00:00:00+05:30,694,694,672.45,682,4903
2022-01-11 00:00:00+05:30,667.7,682.5,667.7,676.25,3007
2022-01-12 00:00:00+05:30,678.05,683.5,675,677.2,992
2022-01-13 00:00:00+05:30,693.9,694,668.1,692.7,4768
2022-01-14 00:00:00+05:30,695,700,686.15,697.35,4414
2022-01-17 00:00:00+05:30,709,709,685.05,694.4,3716
2022-01-18 00:00:00+05:30,694.3,700.15,680,682.55,2534
2022-01-19 00:00:00+05:30,680.05,689,664.65,666.9,2986
2022-01-20 00:00:00+05:30,675,675,652,659.8,3899
2022-01-21 00:00:00+05:30,654.65,655.5,640,646.2,6031
2022-01-24 00:00:00+05:30,649,651.15,622,627.5,6210
2022-01-25 00:00:00+05:30,632.5,655,615.1,647,4147
2022-01-27 00:00:00+05:30,645,650.9,632.35,643.45,4156
2022-01-28 00:00:00+05:30,683.8,765,672.2,693.55,145625
2022-01-31 00:00:00+05:30,718,805,717.9,795.3,119069
2022-02-01 00:00:00+05:30,840,874,782.3,804.5,212749
2022-02-02 00:00:00+05:30,810,818,770.25,777.05,30580
2022-02-03 00:00:00+05:30,784,787,702.65,730.55,31004
2022-02-04 00:00:00+05:30,735.1,824,730.85,766.2,70008
2022-02-07 00:00:00+05:30,779,784,731,751.05,20418
2022-02-08 00:00:00+05:30,774,775,750,752.3,14101
2022-02-09 00:00:00+05:30,752.5,770,736.4,746.5,11796
2022-02-10 00:00:00+05:30,748,760,732,735.2,6939
2022-02-11 00:00:00+05:30,715,725,705,709.8,10865
2022-02-14 00:00:00+05:30,672,715,672,688.05,14903
2022-02-15 00:00:00+05:30,682.05,730.9,678,690.85,7782
2022-02-16 00:00:00+05:30,683,709,683,700.75,5033
2022-02-17 00:00:00+05:30,719,719,670,676.25,8913
2022-02-18 00:00:00+05:30,661,687.45,661,678.35,4909
2022-02-21 00:00:00+05:30,658,715,658,672.85,11089
2022-02-22 00:00:00+05:30,652.2,662.35,635.5,644,11675
2022-02-23 00:00:00+05:30,644.1,665,644.1,651.6,2102
2022-02-24 00:00:00+05:30,650,650,586.8,593.55,22997
2022-02-25 00:00:00+05:30,594.1,650,594.1,621.15,7481
2022-02-28 00:00:00+05:30,635,640.45,602.1,633.7,3978
2022-03-02 00:00:00+05:30,621,647.3,616.05,624.65,2701
2022-03-03 00:00:00+05:30,644.65,644.65,615.1,619.1,5823
2022-03-04 00:00:00+05:30,619.1,629.3,605,609.85,15257
2022-03-07 00:00:00+05:30,584.1,604,572.1,579.05,14479
2022-03-08 00:00:00+05:30,573,619,573,603.4,5371
2022-03-09 00:00:00+05:30,595.1,608.9,594.05,601.55,6092
2022-03-10 00:00:00+05:30,605.15,614.85,596.5,604.65,11721
2022-03-11 00:00:00+05:30,618,634,601.5,607.2,3719
2022-03-14 00:00:00+05:30,620,620,595.15,601.35,3946
2022-03-15 00:00:00+05:30,608,608,600.1,601.7,2324
2022-03-16 00:00:00+05:30,620.7,620.75,603,606.2,2979
2022-03-17 00:00:00+05:30,618,618,605,609.4,3388
2022-03-21 00:00:00+05:30,609.4,614.9,606,608.8,3124
2022-03-22 00:00:00+05:30,616.8,616.8,608,610.45,1253
2022-03-23 00:00:00+05:30,610.75,615.8,600,605.75,2958
2022-03-24 00:00:00+05:30,606.1,607.9,595.4,596.6,6605
2022-03-25 00:00:00+05:30,598,604,589.45,594.65,8066
2022-03-28 00:00:00+05:30,590.1,603.55,586.3,596.8,3902
2022-03-29 00:00:00+05:30,601.9,609,575.55,582.85,9415
2022-03-30 00:00:00+05:30,587.7,597.75,581.05,586.45,5823
2022-03-31 00:00:00+05:30,589.9,608.8,588.8,595.35,3017
2022-04-01 00:00:00+05:30,604.9,605,596.15,603.35,5336
2022-04-04 00:00:00+05:30,649.05,724,620,724,50713
2022-04-05 00:00:00+05:30,741.5,765,701,708.95,63246
2022-04-06 00:00:00+05:30,705,733,701,711.25,19125
2022-04-07 00:00:00+05:30,711.25,721.2,701,706.8,7191
2022-04-08 00:00:00+05:30,706.8,718,701.1,712.95,14577
