date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,146.5,148.9,145.05,146.85,109605
2022-01-04 00:00:00+05:30,146.9,147.95,143,144.85,85776
2022-01-05 00:00:00+05:30,145.9,146.7,144,144.2,114473
2022-01-06 00:00:00+05:30,144.2,147.4,144.2,145.25,110068
2022-01-07 00:00:00+05:30,145.5,147.7,145.5,145.95,65906
2022-01-10 00:00:00+05:30,145.95,153.95,145,151,393816
2022-01-11 00:00:00+05:30,152,152.95,145.85,147.35,108473
2022-01-12 00:00:00+05:30,148.05,149.5,145.15,146.35,82240
2022-01-13 00:00:00+05:30,147,147.9,146,146.45,62827
2022-01-14 00:00:00+05:30,145.5,146.4,144.1,145.7,62463
2022-01-17 00:00:00+05:30,146.2,150.95,146.2,149.15,117966
2022-01-18 00:00:00+05:30,149.95,151,145.3,146.15,79864
2022-01-19 00:00:00+05:30,145.1,146.9,145.05,146.25,29320
2022-01-20 00:00:00+05:30,146.95,146.95,144.1,145.15,45930
2022-01-21 00:00:00+05:30,145.95,145.95,140,141.9,62359
2022-01-24 00:00:00+05:30,142.05,143,138,138.5,62653
2022-01-25 00:00:00+05:30,138,140.5,136.5,138.3,61761
2022-01-27 00:00:00+05:30,138,141.3,137,138.95,42271
2022-01-28 00:00:00+05:30,140.45,140.9,138.05,138.25,57449
2022-01-31 00:00:00+05:30,139.95,142.45,138.55,138.75,66805
2022-02-01 00:00:00+05:30,139,141.95,137.75,138.8,48057
2022-02-02 00:00:00+05:30,141.25,144.5,139.3,140.35,149256
2022-02-03 00:00:00+05:30,142,142,139,140.55,73077
2022-02-04 00:00:00+05:30,141,144.65,139.2,139.8,147394
2022-02-07 00:00:00+05:30,140.15,141,137.65,138.35,46979
2022-02-08 00:00:00+05:30,137.65,139.9,134,135.3,69744
2022-02-09 00:00:00+05:30,136,137.5,134.1,135,37802
2022-02-10 00:00:00+05:30,136.45,136.45,133.75,134.3,49625
2022-02-11 00:00:00+05:30,134.3,134.85,132,132.15,52152
2022-02-14 00:00:00+05:30,130.05,131,126,126.8,82517
2022-02-15 00:00:00+05:30,128.9,128.9,124.05,127.75,44522
2022-02-16 00:00:00+05:30,131,131.75,128.1,128.85,29972
2022-02-17 00:00:00+05:30,130.95,130.95,129.15,129.5,26665
2022-02-18 00:00:00+05:30,129.5,129.5,126.45,126.7,26351
2022-02-21 00:00:00+05:30,125,128.95,123.85,124.15,29212
2022-02-22 00:00:00+05:30,123.35,123.35,101.8,118.45,88843
2022-02-23 00:00:00+05:30,118.7,121,118,118.65,34700
2022-02-24 00:00:00+05:30,117,117,108.65,110.45,79969
2022-02-25 00:00:00+05:30,111,115.65,110.85,113.55,55017
2022-02-28 00:00:00+05:30,113.4,119.2,111.05,117.6,57795
2022-03-02 00:00:00+05:30,116.4,119,115.95,118.25,55894
2022-03-03 00:00:00+05:30,119.85,121,114.45,115.6,40879
2022-03-04 00:00:00+05:30,115,119.35,114.35,118,51931
2022-03-07 00:00:00+05:30,118.9,119,114,114.8,81323
2022-03-08 00:00:00+05:30,116,116.95,115,116.6,14552
2022-03-09 00:00:00+05:30,115.3,118.9,112,113.05,120103
2022-03-10 00:00:00+05:30,116.75,118.5,112.8,113.4,145035
2022-03-11 00:00:00+05:30,113.4,115.85,112.5,113.15,47626
2022-03-14 00:00:00+05:30,113.15,114.95,112.25,112.95,37822
2022-03-15 00:00:00+05:30,113,113.7,112.5,112.7,43169
2022-03-16 00:00:00+05:30,114.7,114.7,111.5,112.3,70155
2022-03-17 00:00:00+05:30,113.25,113.5,112,112.3,92169
2022-03-21 00:00:00+05:30,114,114,111.3,111.65,161275
2022-03-22 00:00:00+05:30,111,113.2,109.7,111.1,72852
2022-03-23 00:00:00+05:30,111.5,112.65,108,108.45,70052
2022-03-24 00:00:00+05:30,108.45,108.55,105,105.4,92082
2022-03-25 00:00:00+05:30,106.6,106.9,101.1,101.65,172517
2022-03-28 00:00:00+05:30,103,103.3,95,95.65,499361
2022-03-29 00:00:00+05:30,96.05,99.9,90,92.25,685844
2022-03-30 00:00:00+05:30,91.1,94,89.75,91.25,269019
2022-03-31 00:00:00+05:30,92.2,93,87,87.75,414153
2022-04-01 00:00:00+05:30,88.05,95.8,87.7,93.8,778585
2022-04-04 00:00:00+05:30,94.85,111.7,94.65,105.4,1871529
2022-04-05 00:00:00+05:30,106.3,115.35,106.3,110.8,1834156
2022-04-06 00:00:00+05:30,107,110.35,107,108.3,324565
2022-04-07 00:00:00+05:30,109.25,114.9,108.25,113.65,730949
2022-04-08 00:00:00+05:30,114,128.95,112.7,127.4,1627732
