date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1115,1151,1115,1142.45,3865803
2022-01-04 00:00:00+05:30,1153,1159.7,1136.5,1148.8,5975731
2022-01-05 00:00:00+05:30,1147,1180.8,1141.25,1177.6,6186176
2022-01-06 00:00:00+05:30,1172,1183,1155.55,1163.25,5335400
2022-01-07 00:00:00+05:30,1165.2,1174,1147.85,1160.35,3973857
2022-01-10 00:00:00+05:30,1165,1173.4,1153.85,1169.05,3822500
2022-01-11 00:00:00+05:30,1158.65,1162.7,1113,1130.25,9697885
2022-01-12 00:00:00+05:30,1139.85,1150.8,1132.4,1147.2,5035843
2022-01-13 00:00:00+05:30,1154,1225.5,1152.15,1221.15,15723116
2022-01-14 00:00:00+05:30,1213,1226.3,1206.1,1213.6,5267907
2022-01-17 00:00:00+05:30,1215,1245,1190.35,1229.75,8969607
2022-01-18 00:00:00+05:30,1230,1233.75,1190,1194.85,5840897
2022-01-19 00:00:00+05:30,1196,1220.9,1183,1209.6,7304321
2022-01-20 00:00:00+05:30,1210.1,1224,1197,1206.7,5920597
2022-01-21 00:00:00+05:30,1200,1204.3,1156.35,1169.7,7166267
2022-01-24 00:00:00+05:30,1160,1163.65,1090,1099.2,8392076
2022-01-25 00:00:00+05:30,1094.7,1121,1087.05,1109.1,5733063
2022-01-27 00:00:00+05:30,1090,1103.45,1061.3,1088.35,9056656
2022-01-28 00:00:00+05:30,1105.85,1125.75,1080.95,1084.65,7864893
2022-01-31 00:00:00+05:30,1109.9,1114.6,1080.5,1085.55,5570939
2022-02-01 00:00:00+05:30,1104.9,1174.45,1086.4,1167.35,17075268
2022-02-02 00:00:00+05:30,1179.9,1179.9,1158.3,1167.5,7524734
2022-02-03 00:00:00+05:30,1153,1181.7,1146.3,1166.6,6514090
2022-02-04 00:00:00+05:30,1173.8,1197.75,1170.25,1176.3,9317418
2022-02-07 00:00:00+05:30,1168.3,1214.6,1161,1183,14510525
2022-02-08 00:00:00+05:30,1195,1222.4,1171.5,1219.6,14083984
2022-02-09 00:00:00+05:30,1231,1234,1208.15,1222.35,7352060
2022-02-10 00:00:00+05:30,1230,1254.25,1226,1248.35,9392057
2022-02-11 00:00:00+05:30,1239,1264.95,1233.1,1254.45,9676226
2022-02-14 00:00:00+05:30,1220.1,1227.75,1180.1,1186.85,8021613
2022-02-15 00:00:00+05:30,1196.85,1212,1151.55,1207.75,10188921
2022-02-16 00:00:00+05:30,1215,1217.9,1186.5,1191.8,6609214
2022-02-17 00:00:00+05:30,1201.1,1209.5,1186.15,1190.95,5655792
2022-02-18 00:00:00+05:30,1187,1205,1183,1190.8,4725120
2022-02-21 00:00:00+05:30,1188,1202,1174.4,1181.85,4978732
2022-02-22 00:00:00+05:30,1158,1166.65,1119.25,1138.7,9385857
2022-02-23 00:00:00+05:30,1148,1152.6,1134,1139,4960838
2022-02-24 00:00:00+05:30,1094,1119.95,1067.1,1074,12126867
2022-02-25 00:00:00+05:30,1097.7,1150.7,1095.6,1145.35,9212886
2022-02-28 00:00:00+05:30,1134,1225,1129.2,1220.75,17605446
2022-03-02 00:00:00+05:30,1220.75,1299.6,1218.55,1289.35,24847532
2022-03-03 00:00:00+05:30,1306,1328.65,1293.65,1303.3,17450338
2022-03-04 00:00:00+05:30,1302.4,1319.85,1273,1277.1,16282923
2022-03-07 00:00:00+05:30,1275.9,1301.8,1264,1291.9,11040001
2022-03-08 00:00:00+05:30,1293,1294,1244,1269.5,9107822
2022-03-09 00:00:00+05:30,1273.9,1276.8,1248.6,1255.35,6934888
2022-03-10 00:00:00+05:30,1257.85,1313.8,1241,1308.7,13674062
2022-03-11 00:00:00+05:30,1315,1339.9,1296.2,1301.7,11882299
2022-03-14 00:00:00+05:30,1305,1311.7,1277.7,1297,5278082
2022-03-15 00:00:00+05:30,1291.8,1293,1228,1233.75,9614313
2022-03-16 00:00:00+05:30,1245,1271.2,1240.2,1265.25,6302451
2022-03-17 00:00:00+05:30,1275,1317.8,1271.1,1303.45,10623976
2022-03-21 00:00:00+05:30,1308,1334,1294.5,1302.95,8422763
2022-03-22 00:00:00+05:30,1320,1330,1288.05,1302,8179588
2022-03-23 00:00:00+05:30,1324,1347.8,1292.35,1331,13055238
2022-03-24 00:00:00+05:30,1330.95,1359.5,1325.95,1350.55,9460527
2022-03-25 00:00:00+05:30,1354.9,1366,1333.55,1338.95,6945744
2022-03-28 00:00:00+05:30,1340,1355,1327.6,1338.95,4655491
2022-03-29 00:00:00+05:30,1344,1346.15,1327,1334.65,4320237
2022-03-30 00:00:00+05:30,1335,1335.55,1300,1308.05,5848316
2022-03-31 00:00:00+05:30,1308,1320.45,1300.1,1307.2,4006795
2022-04-01 00:00:00+05:30,1310,1340.9,1305.45,1317.1,5532159
2022-04-04 00:00:00+05:30,1317.1,1354,1314.45,1341.9,6967032
2022-04-05 00:00:00+05:30,1348.45,1358,1329.25,1344.9,6329642
2022-04-06 00:00:00+05:30,1350,1386.7,1346.8,1370.75,11409754
2022-04-07 00:00:00+05:30,1377,1381,1341,1349.5,5565064
2022-04-08 00:00:00+05:30,1360.95,1379.95,1356.25,1370.75,5228771
