date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,33.9,33.95,32.65,32.95,1598057
2022-01-04 00:00:00+05:30,33.25,33.25,31.85,32.7,1380554
2022-01-05 00:00:00+05:30,33,35.7,32.55,34.55,3970811
2022-01-06 00:00:00+05:30,33.6,35.5,33.6,35.05,1548005
2022-01-07 00:00:00+05:30,35.15,35.5,33.35,33.75,1744977
2022-01-10 00:00:00+05:30,34.4,36.8,34.05,36.45,4354134
2022-01-11 00:00:00+05:30,36.75,42.8,35.5,41.2,19784590
2022-01-12 00:00:00+05:30,41.5,41.65,39.55,39.75,3609832
2022-01-13 00:00:00+05:30,39.8,40.05,38.15,39.05,1925749
2022-01-14 00:00:00+05:30,39,40.75,38.25,39.6,2469090
2022-01-17 00:00:00+05:30,39.7,41.1,39.55,39.85,1943468
2022-01-18 00:00:00+05:30,40.15,40.2,37.65,38,1489809
2022-01-19 00:00:00+05:30,38.1,39.1,37.5,38.75,1205298
2022-01-20 00:00:00+05:30,38.95,40,38.8,39.45,1247666
2022-01-21 00:00:00+05:30,39.4,41.9,39,40.8,6760213
2022-01-24 00:00:00+05:30,40.5,41.35,36.3,37.9,3306835
2022-01-25 00:00:00+05:30,37.6,39.5,37.05,38.25,1584788
2022-01-27 00:00:00+05:30,37.6,40.7,37.5,40.3,2188748
2022-01-28 00:00:00+05:30,40.65,42.6,40.65,41.55,3947813
2022-01-31 00:00:00+05:30,42.5,42.85,40.85,41.7,2019911
2022-02-01 00:00:00+05:30,41.9,42,39,40.25,3384718
2022-02-02 00:00:00+05:30,40.4,44.95,39.85,44.65,11442026
2022-02-03 00:00:00+05:30,44.75,47.3,43.5,45.2,10580323
2022-02-04 00:00:00+05:30,45.2,49.25,45.2,48.75,12517632
2022-02-07 00:00:00+05:30,49,49.9,45.8,48,6337014
2022-02-08 00:00:00+05:30,44.5,45.2,41.35,41.8,10279472
2022-02-09 00:00:00+05:30,42.3,44.65,39.6,42.45,8718124
2022-02-10 00:00:00+05:30,42,43.9,41.25,43.4,3804462
2022-02-11 00:00:00+05:30,43.15,43.95,42.1,43.45,3177355
2022-02-14 00:00:00+05:30,42.55,42.55,38.05,38.45,2980216
2022-02-15 00:00:00+05:30,38.5,39.6,36.65,37.75,3338687
2022-02-16 00:00:00+05:30,38.15,38.7,36.45,36.7,2830850
2022-02-17 00:00:00+05:30,37,39,36.95,38.3,2333489
2022-02-18 00:00:00+05:30,37.65,38.55,36.75,37.05,1399684
2022-02-21 00:00:00+05:30,36.55,37.35,34.4,34.75,2057404
2022-02-22 00:00:00+05:30,33.6,34.25,32.75,33.45,1632197
2022-02-23 00:00:00+05:30,33.65,34.75,32.55,33,947968
2022-02-24 00:00:00+05:30,31.95,32.35,29.1,29.5,2171725
2022-02-25 00:00:00+05:30,30.85,35.4,30.5,34.95,4114401
2022-02-28 00:00:00+05:30,34.4,35.35,32.75,34.5,1650338
2022-03-02 00:00:00+05:30,34,34.45,33.3,34,1471920
2022-03-03 00:00:00+05:30,34.5,34.85,32,32.2,2414727
2022-03-04 00:00:00+05:30,31.5,33.25,31.2,32.45,1475931
2022-03-07 00:00:00+05:30,32.6,34.5,31.65,33.4,2615944
2022-03-08 00:00:00+05:30,33.8,34.4,33.4,34,868116
2022-03-09 00:00:00+05:30,34.3,35.5,34.25,34.6,976885
2022-03-10 00:00:00+05:30,35.25,36.7,35.25,35.45,1131284
2022-03-11 00:00:00+05:30,35.95,36.85,34.8,36.6,1394528
2022-03-14 00:00:00+05:30,37.3,38.75,36.65,37.95,2529533
2022-03-15 00:00:00+05:30,38.5,39.25,36.85,37.15,1800993
2022-03-16 00:00:00+05:30,37.6,38.15,37.15,37.35,2228235
2022-03-17 00:00:00+05:30,37.65,38.65,37.4,37.55,1454539
2022-03-21 00:00:00+05:30,37.85,37.9,36.6,37.55,1190425
2022-03-22 00:00:00+05:30,37.9,37.95,36.6,37.65,1055856
2022-03-23 00:00:00+05:30,37.95,39.4,37.55,38.15,1356042
2022-03-24 00:00:00+05:30,37.95,40,37.65,39,2301534
2022-03-25 00:00:00+05:30,39.3,46.4,39.1,42.75,10554470
2022-03-28 00:00:00+05:30,43.1,45.35,43.1,43.85,3661630
2022-03-29 00:00:00+05:30,43.6,45.15,42.1,42.6,2422174
2022-03-30 00:00:00+05:30,42.95,43.25,41.8,42.4,1354737
2022-03-31 00:00:00+05:30,42,42.9,41.5,41.7,1368750
2022-04-01 00:00:00+05:30,41.8,44.15,41.8,43.15,1607671
2022-04-04 00:00:00+05:30,43.75,44.5,42.5,43.05,1462259
2022-04-05 00:00:00+05:30,43.5,45.25,43.35,44.35,2616372
2022-04-06 00:00:00+05:30,44.05,47.4,43.8,45.85,2627888
2022-04-07 00:00:00+05:30,46.55,46.95,44.1,44.4,1624103
2022-04-08 00:00:00+05:30,44.4,45.7,43.75,44.8,1400960
