date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,2510,2546,2502.3,2523.85,921729
2022-01-04 00:00:00+05:30,2525,2594.95,2524.4,2583,1037293
2022-01-05 00:00:00+05:30,2576,2608,2560.1,2576.15,1244568
2022-01-06 00:00:00+05:30,2540,2601.35,2538.45,2595.9,1130508
2022-01-07 00:00:00+05:30,2630,2687.25,2562.35,2572.7,4625230
2022-01-10 00:00:00+05:30,2585,2663.55,2571,2657.5,1894316
2022-01-11 00:00:00+05:30,2650,2678.75,2634.3,2653.35,1123968
2022-01-12 00:00:00+05:30,2641,2672,2608,2612.95,1293999
2022-01-13 00:00:00+05:30,2611,2628.9,2588,2619.25,1023670
2022-01-14 00:00:00+05:30,2626,2639,2588.85,2592.75,1166457
2022-01-17 00:00:00+05:30,2592.75,2604.3,2550.4,2597.55,1172956
2022-01-18 00:00:00+05:30,2598,2635,2587,2600.6,1221314
2022-01-19 00:00:00+05:30,2598,2617.8,2571.1,2588.9,629040
2022-01-20 00:00:00+05:30,2597,2610,2550,2564.3,1215237
2022-01-21 00:00:00+05:30,2548,2561.9,2505,2528.15,1457884
2022-01-24 00:00:00+05:30,2520,2522.55,2376,2403.05,1411443
2022-01-25 00:00:00+05:30,2386,2407.75,2330.4,2376.5,2849686
2022-01-27 00:00:00+05:30,2327,2360.4,2260,2310.05,2460051
2022-01-28 00:00:00+05:30,2313,2377.8,2308,2315.6,1317407
2022-01-31 00:00:00+05:30,2353,2380,2336.35,2360.3,900510
2022-02-01 00:00:00+05:30,2378.8,2442.1,2358.95,2431.8,1246431
2022-02-02 00:00:00+05:30,2451,2477.9,2441.75,2464,1144427
2022-02-03 00:00:00+05:30,2480.5,2506.55,2417,2474.95,3883564
2022-02-04 00:00:00+05:30,2510,2520,2430,2471.15,2718069
2022-02-07 00:00:00+05:30,2480,2498.15,2388,2409.2,1119632
2022-02-08 00:00:00+05:30,2418.4,2465,2400.9,2443.65,1524580
2022-02-09 00:00:00+05:30,2465,2495,2456.05,2484.8,826261
2022-02-10 00:00:00+05:30,2499.95,2503.95,2465.55,2491.85,788689
2022-02-11 00:00:00+05:30,2480,2480,2421.25,2442.25,1030760
2022-02-14 00:00:00+05:30,2380,2423,2351.25,2398,816491
2022-02-15 00:00:00+05:30,2421.95,2499.8,2399,2495.9,1293933
2022-02-16 00:00:00+05:30,2510,2519.9,2460.25,2488.05,1008929
2022-02-17 00:00:00+05:30,2509.5,2537.5,2487,2493.2,960885
2022-02-18 00:00:00+05:30,2479.3,2499.5,2460.8,2488.95,654373
2022-02-21 00:00:00+05:30,2488,2488,2411.05,2454.35,788568
2022-02-22 00:00:00+05:30,2377,2457,2377,2450.1,874150
2022-02-23 00:00:00+05:30,2452,2525,2452,2495.7,2096198
2022-02-24 00:00:00+05:30,2402,2466,2395,2406.6,1875086
2022-02-25 00:00:00+05:30,2423.5,2474,2423.5,2468.45,1284338
2022-02-28 00:00:00+05:30,2430,2563.65,2430,2546.55,2355891
2022-03-02 00:00:00+05:30,2550,2604.8,2524.35,2592.65,3536974
2022-03-03 00:00:00+05:30,2620,2639.8,2560,2574.25,2153478
2022-03-04 00:00:00+05:30,2565,2565,2430,2441,2652474
2022-03-07 00:00:00+05:30,2414.8,2419.95,2330,2389.7,1545686
2022-03-08 00:00:00+05:30,2400,2419.5,2325.6,2371.25,1467595
2022-03-09 00:00:00+05:30,2393,2460.5,2375,2433.65,1581979
2022-03-10 00:00:00+05:30,2498,2504.75,2444.85,2467.8,1051744
2022-03-11 00:00:00+05:30,2478,2498.2,2448.85,2493.6,812330
2022-03-14 00:00:00+05:30,2490,2545,2475,2539,1004492
2022-03-15 00:00:00+05:30,2559,2579,2543.2,2556.95,1571483
2022-03-16 00:00:00+05:30,2577.8,2593.5,2566,2587.3,757197
2022-03-17 00:00:00+05:30,2600.1,2721.65,2600.1,2703,3336088
2022-03-21 00:00:00+05:30,2740,2768,2700,2707.25,1889261
2022-03-22 00:00:00+05:30,2716.25,2718.8,2646.45,2712.75,1279904
2022-03-23 00:00:00+05:30,2730,2742.95,2677.85,2690,1281815
2022-03-24 00:00:00+05:30,2694,2694,2612.55,2618.5,1835380
2022-03-25 00:00:00+05:30,2631,2634,2518,2523.9,2863040
2022-03-28 00:00:00+05:30,2536.5,2545.55,2483,2535.9,1316800
2022-03-29 00:00:00+05:30,2550,2559,2525.3,2538.8,908172
2022-03-30 00:00:00+05:30,2556.3,2565.75,2510,2523.15,866666
2022-03-31 00:00:00+05:30,2525.25,2545.4,2519.95,2536.15,910316
2022-04-01 00:00:00+05:30,2538,2550,2491.85,2520.85,1208002
2022-04-04 00:00:00+05:30,2540.35,2562,2508.75,2517,1424995
2022-04-05 00:00:00+05:30,2532,2577.8,2520.05,2549.2,1586304
2022-04-06 00:00:00+05:30,2547,2564.9,2523.3,2540.05,1349078
2022-04-07 00:00:00+05:30,2502.3,2544.45,2452,2458.35,2785215
2022-04-08 00:00:00+05:30,2468.35,2532.65,2465,2509.95,1217812
