date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,221.85,225.5,219,224.15,545053
2022-01-04 00:00:00+05:30,225.05,252.45,221.15,249.5,5883095
2022-01-05 00:00:00+05:30,247.4,252.4,241.05,242.4,1740342
2022-01-06 00:00:00+05:30,237.85,254.6,237,246,2373100
2022-01-07 00:00:00+05:30,247.7,252,239.4,249.9,975693
2022-01-10 00:00:00+05:30,252,259.8,248.65,252.1,1257663
2022-01-11 00:00:00+05:30,252.1,254.35,241,243.3,769636
2022-01-12 00:00:00+05:30,245.5,251.9,242.5,245.4,571174
2022-01-13 00:00:00+05:30,246.4,257.4,242.55,254.8,1857443
2022-01-14 00:00:00+05:30,253.5,261.05,252.25,255.05,1007842
2022-01-17 00:00:00+05:30,256.25,267.35,249.05,259.5,1529974
2022-01-18 00:00:00+05:30,261.25,264.9,250.9,253.45,1244559
2022-01-19 00:00:00+05:30,251.1,269.4,250.05,267,1573700
2022-01-20 00:00:00+05:30,268,273.7,265.45,268.9,1350529
2022-01-21 00:00:00+05:30,265.5,268.65,251.1,255.65,853252
2022-01-24 00:00:00+05:30,255.65,255.65,225.6,231.15,1747156
2022-01-25 00:00:00+05:30,225.1,245.5,218.65,243.25,1165863
2022-01-27 00:00:00+05:30,237.9,268.9,234.55,265.15,1830286
2022-01-28 00:00:00+05:30,270.2,276.85,264.5,266.15,1426632
2022-01-31 00:00:00+05:30,269,271.35,262,266.5,477300
2022-02-01 00:00:00+05:30,268.7,269.5,253.2,264.95,1058990
2022-02-02 00:00:00+05:30,266.25,269,261.2,262.3,551172
2022-02-03 00:00:00+05:30,277,288,272.35,280.55,3443518
2022-02-04 00:00:00+05:30,283,291.65,281.05,285.1,1685770
2022-02-07 00:00:00+05:30,285.1,300.4,280.1,291.15,2289840
2022-02-08 00:00:00+05:30,293,294.9,273.3,285.8,1126539
2022-02-09 00:00:00+05:30,287,290.4,278,288.3,1119840
2022-02-10 00:00:00+05:30,289.45,289.7,275.15,277.25,1074136
2022-02-11 00:00:00+05:30,276,281,270.05,274.15,822877
2022-02-14 00:00:00+05:30,268.5,273.95,251.35,255.35,947157
2022-02-15 00:00:00+05:30,258,274.8,251.2,272.35,1411377
2022-02-16 00:00:00+05:30,274.45,279.95,271.4,277.25,900825
2022-02-17 00:00:00+05:30,279,279.8,270,272.1,485566
2022-02-18 00:00:00+05:30,271.15,274,262.05,264.45,377532
2022-02-21 00:00:00+05:30,260.1,264.3,255.05,258.4,507581
2022-02-22 00:00:00+05:30,233,258.9,233,256.55,792828
2022-02-23 00:00:00+05:30,260,269.45,260,264.65,879537
2022-02-24 00:00:00+05:30,247,258.05,238,240.6,1065671
2022-02-25 00:00:00+05:30,243,253.7,242.65,248.45,1050169
2022-02-28 00:00:00+05:30,246,251.4,239.55,248.85,539028
2022-03-02 00:00:00+05:30,250,258,247.9,256.8,888379
2022-03-03 00:00:00+05:30,259.5,271.75,259.5,266.15,1250594
2022-03-04 00:00:00+05:30,265,278.85,261.7,273.05,1520318
2022-03-07 00:00:00+05:30,272.9,279,260.5,273.8,1252020
2022-03-08 00:00:00+05:30,276.9,287.45,270.1,279.4,1221519
2022-03-09 00:00:00+05:30,282.35,292,282.35,284.95,1665589
2022-03-10 00:00:00+05:30,290,295.6,281.4,284.4,969141
2022-03-11 00:00:00+05:30,286.35,308.4,284.25,304,2455925
2022-03-14 00:00:00+05:30,306,358.2,304.6,333.35,6378542
2022-03-15 00:00:00+05:30,336,358.8,314.65,324.1,4416251
2022-03-16 00:00:00+05:30,334,338,324.2,329,1333184
2022-03-17 00:00:00+05:30,333,333.25,322,323.2,891017
2022-03-21 00:00:00+05:30,328.9,344,321.5,323.85,2838919
2022-03-22 00:00:00+05:30,326,334.95,320,332.2,1601689
2022-03-23 00:00:00+05:30,335.9,339,325.25,327.3,913790
2022-03-24 00:00:00+05:30,327,332,315.75,317.75,1414562
2022-03-25 00:00:00+05:30,320.3,322.6,306.1,310.25,1156792
2022-03-28 00:00:00+05:30,312.85,318.7,308.2,311.2,818849
2022-03-29 00:00:00+05:30,313.65,317,309.4,312.35,662735
2022-03-30 00:00:00+05:30,313.2,323,308.9,311.45,981442
2022-03-31 00:00:00+05:30,307.25,314.85,307.25,311.15,518920
2022-04-01 00:00:00+05:30,312,321.7,312,318.85,641144
2022-04-04 00:00:00+05:30,321,332,319.6,323.65,1033505
2022-04-05 00:00:00+05:30,326.15,333,320,322.2,890709
2022-04-06 00:00:00+05:30,328,342.8,328,334.35,2516737
2022-04-07 00:00:00+05:30,336.3,342.7,325.5,330.5,1246147
2022-04-08 00:00:00+05:30,334,345,331.7,341.3,1368889
