date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,216.65,216.65,216.65,216.65,526545
2022-01-04 00:00:00+05:30,227.45,227.45,205.85,227.45,8720550
2022-01-05 00:00:00+05:30,225.1,238.8,217,238.8,4932925
2022-01-06 00:00:00+05:30,250.7,250.7,240,250.7,2331539
2022-01-07 00:00:00+05:30,263.2,263.2,263.2,263.2,645914
2022-01-10 00:00:00+05:30,276.35,276.35,271.1,276.35,2207687
2022-01-11 00:00:00+05:30,290.15,290.15,285.5,290.15,1752032
2022-01-12 00:00:00+05:30,275.65,275.65,275.65,275.65,2256706
2022-01-13 00:00:00+05:30,261.9,261.9,261.9,261.9,550599
2022-01-14 00:00:00+05:30,248.85,248.85,248.85,248.85,841536
2022-01-17 00:00:00+05:30,236.45,236.45,236.45,236.45,758119
2022-01-18 00:00:00+05:30,224.65,224.65,224.65,224.65,519000
2022-01-19 00:00:00+05:30,213.45,213.45,213.45,213.45,321695
2022-01-20 00:00:00+05:30,202.8,202.8,202.8,202.8,450423
2022-01-21 00:00:00+05:30,192.7,192.7,192.7,192.7,762766
2022-01-24 00:00:00+05:30,183.1,183.1,183.1,183.1,792875
2022-01-25 00:00:00+05:30,173.95,173.95,173.95,173.95,1088384
2022-01-27 00:00:00+05:30,165.3,165.3,165.3,165.3,296299
2022-01-28 00:00:00+05:30,157.05,157.05,157.05,157.05,388619
2022-01-31 00:00:00+05:30,149.2,149.2,149.2,149.2,585668
2022-02-01 00:00:00+05:30,141.75,141.75,141.75,141.75,342240
2022-02-02 00:00:00+05:30,148.8,148.8,148.8,148.8,3672763
2022-02-03 00:00:00+05:30,156.2,156.2,156.2,156.2,312915
2022-02-04 00:00:00+05:30,164,164,164,164,299211
2022-02-07 00:00:00+05:30,172.2,172.2,165.1,172.2,8003863
2022-02-08 00:00:00+05:30,180.8,180.8,180.8,180.8,1491711
2022-02-09 00:00:00+05:30,177,177,171.8,171.8,3375930
2022-02-10 00:00:00+05:30,163.25,163.25,163.25,163.25,733728
2022-02-11 00:00:00+05:30,155.1,155.1,155.1,155.1,722713
2022-02-14 00:00:00+05:30,147.35,147.35,147.35,147.35,496931
2022-02-15 00:00:00+05:30,140,140,140,140,740003
2022-02-16 00:00:00+05:30,140,147,140,147,5106454
2022-02-17 00:00:00+05:30,143.4,154.35,139.65,147.7,6166805
2022-02-18 00:00:00+05:30,146.4,151.3,140.35,144.6,3439170
2022-02-21 00:00:00+05:30,143,143,137.4,137.4,3477788
2022-02-22 00:00:00+05:30,130.55,130.55,130.55,130.55,839762
2022-02-23 00:00:00+05:30,124.05,124.05,124.05,124.05,1443081
2022-02-24 00:00:00+05:30,117.85,117.85,117.85,117.85,384520
2022-02-25 00:00:00+05:30,112,112,112,112,1107161
2022-02-28 00:00:00+05:30,106.4,117.6,106.4,117.6,5382087
2022-03-02 00:00:00+05:30,113.8,118.5,111.75,113.75,5828050
2022-03-03 00:00:00+05:30,113.75,117.3,108.1,108.1,3119790
2022-03-04 00:00:00+05:30,102.7,104,102.7,102.7,1218630
2022-03-07 00:00:00+05:30,97.6,97.6,97.6,97.6,808691
2022-03-08 00:00:00+05:30,95.65,101.75,92.75,93.55,5956277
2022-03-09 00:00:00+05:30,90.5,98.2,90.5,98.2,3062558
2022-03-10 00:00:00+05:30,103.1,103.1,103.1,103.1,349792
2022-03-11 00:00:00+05:30,108.25,108.25,108.25,108.25,647761
2022-03-14 00:00:00+05:30,111.9,113.65,109,113.65,3363104
2022-03-15 00:00:00+05:30,119.3,119.3,117.05,119.2,4057104
2022-03-16 00:00:00+05:30,125.15,125.15,125.15,125.15,394158
2022-03-17 00:00:00+05:30,131.4,131.4,129,131.4,9836394
2022-03-21 00:00:00+05:30,131.4,137.95,131.4,137.95,1795616
2022-03-22 00:00:00+05:30,144.8,144.8,144.8,144.8,315759
2022-03-23 00:00:00+05:30,152,152,152,152,404138
2022-03-24 00:00:00+05:30,159.6,159.6,159.6,159.6,593584
2022-03-25 00:00:00+05:30,167.55,167.55,167.45,167.55,4781823
2022-03-28 00:00:00+05:30,170.95,175,159.2,159.2,4879032
2022-03-29 00:00:00+05:30,155,155.1,151.25,151.25,4431298
2022-03-30 00:00:00+05:30,144.1,158.8,144.1,158.8,3785674
2022-03-31 00:00:00+05:30,166.7,166.7,163.6,166.7,3756674
2022-04-01 00:00:00+05:30,175,175,175,175,669473
2022-04-04 00:00:00+05:30,183.75,183.75,177.6,183.75,3948829
2022-04-05 00:00:00+05:30,192,192.9,187.45,192.9,2260476
2022-04-06 00:00:00+05:30,202.5,202.5,202.5,202.5,1062060
2022-04-07 00:00:00+05:30,210.4,210.4,192.4,192.4,27491295
2022-04-08 00:00:00+05:30,187.55,201,182.8,190,15590594
