date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,36.6,39.5,36.15,38.5,489895
2022-01-04 00:00:00+05:30,39.25,39.4,37.25,37.65,286845
2022-01-05 00:00:00+05:30,37.1,39,37,37.9,523518
2022-01-06 00:00:00+05:30,37.7,38.2,37.2,37.9,343326
2022-01-07 00:00:00+05:30,38.45,41.8,37.75,40.1,2051115
2022-01-10 00:00:00+05:30,40.4,40.7,38.35,39.05,655383
2022-01-11 00:00:00+05:30,39.8,40.6,38.5,38.8,528807
2022-01-12 00:00:00+05:30,38.8,39.55,37.95,38.15,295676
2022-01-13 00:00:00+05:30,38.8,38.8,37.9,38.05,204645
2022-01-14 00:00:00+05:30,37.65,39.5,37.65,38.6,510329
2022-01-17 00:00:00+05:30,39,40.35,38.3,39.1,537342
2022-01-18 00:00:00+05:30,39.45,39.45,38,38.15,352130
2022-01-19 00:00:00+05:30,38.2,39,37.5,38.55,266454
2022-01-20 00:00:00+05:30,39.4,39.4,38.25,38.45,193096
2022-01-21 00:00:00+05:30,38,38.5,37.4,37.7,202151
2022-01-24 00:00:00+05:30,38.45,38.85,35.7,36.1,447000
2022-01-25 00:00:00+05:30,36.3,37,35.05,36.75,166783
2022-01-27 00:00:00+05:30,36,38,36,36.95,308105
2022-01-28 00:00:00+05:30,36.35,37.2,35.9,36.25,337685
2022-01-31 00:00:00+05:30,37,37,35.55,35.8,169823
2022-02-01 00:00:00+05:30,35.95,37.45,35.8,36.65,458670
2022-02-02 00:00:00+05:30,36.5,37.4,36.5,36.8,147907
2022-02-03 00:00:00+05:30,37,37,36.45,36.75,108446
2022-02-04 00:00:00+05:30,36.9,37.1,36,36.15,178434
2022-02-07 00:00:00+05:30,36.9,36.9,35.6,35.9,154363
2022-02-08 00:00:00+05:30,36.2,36.45,35.3,35.5,102765
2022-02-09 00:00:00+05:30,36.45,36.45,35.45,35.5,96728
2022-02-10 00:00:00+05:30,35.4,35.9,34.9,35.25,156810
2022-02-11 00:00:00+05:30,35.25,35.45,34.6,35.05,120194
2022-02-14 00:00:00+05:30,35.05,35.05,30.85,32.5,302816
2022-02-15 00:00:00+05:30,33.25,33.8,30.85,33.6,221160
2022-02-16 00:00:00+05:30,33.8,34.4,33.3,33.6,131467
2022-02-17 00:00:00+05:30,34.4,34.4,32.7,32.95,129973
2022-02-18 00:00:00+05:30,32,33.7,32,33,108483
2022-02-21 00:00:00+05:30,32.45,32.6,31.5,31.75,131846
2022-02-22 00:00:00+05:30,30.85,31.6,25.4,30.25,238367
2022-02-23 00:00:00+05:30,31.4,31.6,30.1,31.2,124233
2022-02-24 00:00:00+05:30,29.85,30.55,28.2,28.8,425862
2022-02-25 00:00:00+05:30,29,30.5,29,29.85,324626
2022-02-28 00:00:00+05:30,29.4,30.45,28.8,30.25,186025
2022-03-02 00:00:00+05:30,30.25,32.15,29.4,31.3,184916
2022-03-03 00:00:00+05:30,31.85,32.6,31,31.25,169497
2022-03-04 00:00:00+05:30,31,31,30,30.6,115767
2022-03-07 00:00:00+05:30,30,30,28.9,29.95,136098
2022-03-08 00:00:00+05:30,30.7,31.1,29.3,29.95,217217
2022-03-09 00:00:00+05:30,30.5,31.9,29.95,31.65,246026
2022-03-10 00:00:00+05:30,32.3,32.5,31.55,31.75,183097
2022-03-11 00:00:00+05:30,31.95,32,31.45,31.65,99704
2022-03-14 00:00:00+05:30,31.85,32.05,30.75,31.05,130672
2022-03-15 00:00:00+05:30,32.1,32.1,30.6,30.85,157531
2022-03-16 00:00:00+05:30,31.85,32.35,31.3,31.9,225038
2022-03-17 00:00:00+05:30,32.55,32.7,31.8,31.95,182643
2022-03-21 00:00:00+05:30,31.9,32.8,31.4,31.95,224904
2022-03-22 00:00:00+05:30,31.15,32.25,31.15,31.9,108975
2022-03-23 00:00:00+05:30,31.6,32.45,31.6,31.9,123934
2022-03-24 00:00:00+05:30,31.5,32.2,31.45,31.7,94726
2022-03-25 00:00:00+05:30,31.9,32,31.4,31.55,174056
2022-03-28 00:00:00+05:30,32,32,29.4,29.6,457716
2022-03-29 00:00:00+05:30,29.7,30.45,27.7,28.2,854654
2022-03-30 00:00:00+05:30,28.7,30.25,28.5,29.35,640123
2022-03-31 00:00:00+05:30,29.75,30.45,28.8,29.05,402987
2022-04-01 00:00:00+05:30,29.4,31.1,29.2,30.9,317267
2022-04-04 00:00:00+05:30,31.65,33.25,31.5,33.1,589942
2022-04-05 00:00:00+05:30,33.4,34.5,32.6,33.8,329673
2022-04-06 00:00:00+05:30,33.8,34.75,33,34.15,376248
2022-04-07 00:00:00+05:30,34.65,35.85,34,34.55,371622
2022-04-08 00:00:00+05:30,35,35.9,34.8,35.3,311405
