date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,30.7,30.7,29.9,30.15,132977
2022-01-04 00:00:00+05:30,30.65,33.15,30.3,33.15,1548594
2022-01-05 00:00:00+05:30,33.15,34.8,31.05,32.3,1416455
2022-01-06 00:00:00+05:30,31.8,35.25,31.55,34.25,2181091
2022-01-07 00:00:00+05:30,35.4,35.8,33.15,33.8,705006
2022-01-10 00:00:00+05:30,34.1,34.5,33.25,33.7,365639
2022-01-11 00:00:00+05:30,33.9,34,32.3,32.5,366673
2022-01-12 00:00:00+05:30,32.4,33.7,31.7,31.85,340540
2022-01-13 00:00:00+05:30,32.15,35,31.55,34,2037467
2022-01-14 00:00:00+05:30,33.7,34.6,32.85,33.3,923086
2022-01-17 00:00:00+05:30,33.5,34.4,32.85,33.4,536604
2022-01-18 00:00:00+05:30,33.95,34.3,32.8,32.85,405132
2022-01-19 00:00:00+05:30,33,33.15,31.45,32.3,463062
2022-01-20 00:00:00+05:30,32.4,35.45,32.05,34.65,1049857
2022-01-21 00:00:00+05:30,34.35,34.35,32.85,33.2,468173
2022-01-24 00:00:00+05:30,33.7,33.7,30.5,31.05,368828
2022-01-25 00:00:00+05:30,31.05,32.9,30.75,32.65,366888
2022-01-27 00:00:00+05:30,32.95,34.45,32.1,33.85,572514
2022-01-28 00:00:00+05:30,33.95,35.25,30.5,32.65,1629039
2022-01-31 00:00:00+05:30,32.4,33.65,32.4,33.1,251618
2022-02-01 00:00:00+05:30,33.55,33.6,32.5,32.85,197644
2022-02-02 00:00:00+05:30,32.65,33.3,32.65,33,100882
2022-02-03 00:00:00+05:30,33.3,34.7,33.1,34.25,617599
2022-02-04 00:00:00+05:30,34.65,35.2,33.8,34.5,713642
2022-02-07 00:00:00+05:30,41,41.4,38.1,41.4,3020457
2022-02-08 00:00:00+05:30,44.9,48.45,43.2,44.4,6636179
2022-02-09 00:00:00+05:30,45.1,53.25,44.25,53.25,6994565
2022-02-10 00:00:00+05:30,55.05,55.05,48.7,49.35,4360497
2022-02-11 00:00:00+05:30,48,53.5,46.6,50.15,5817084
2022-02-14 00:00:00+05:30,49,50.3,45.25,45.7,1921342
2022-02-15 00:00:00+05:30,46.9,50,43.95,49.35,1498777
2022-02-16 00:00:00+05:30,50.3,52,48.5,48.9,1227095
2022-02-17 00:00:00+05:30,49.5,51.05,48.2,48.6,689503
2022-02-18 00:00:00+05:30,48,49.2,45.6,46.1,553594
2022-02-21 00:00:00+05:30,46.1,46.1,41.5,43.45,954619
2022-02-22 00:00:00+05:30,41.1,44.5,40.1,43.3,1400205
2022-02-23 00:00:00+05:30,44,46.1,44,45.2,836087
2022-02-24 00:00:00+05:30,42,44.8,40.75,41,861899
2022-02-25 00:00:00+05:30,43.8,44.5,41.5,43.05,702193
2022-02-28 00:00:00+05:30,43.45,46.65,42.1,45.6,1020653
2022-03-02 00:00:00+05:30,46.4,48.2,44.1,47.3,963153
2022-03-03 00:00:00+05:30,48.1,49.8,46.15,47.35,1561607
2022-03-04 00:00:00+05:30,47.2,48.8,46.85,47.9,689878
2022-03-07 00:00:00+05:30,46.5,49.2,45.5,48.25,650802
2022-03-08 00:00:00+05:30,48.5,52.7,48.3,51.6,2765773
2022-03-09 00:00:00+05:30,52.8,56.75,51.15,56.75,2315083
2022-03-10 00:00:00+05:30,60.4,62.4,57.6,58.2,5241302
2022-03-11 00:00:00+05:30,58.85,64,57.9,64,3256490
2022-03-14 00:00:00+05:30,65,67.2,63.75,67.2,3132740
2022-03-15 00:00:00+05:30,70.55,70.55,63.85,65.1,4093257
2022-03-16 00:00:00+05:30,63.4,68.35,62.3,67.9,2982557
2022-03-17 00:00:00+05:30,68.8,69.4,65.7,68.1,2008413
2022-03-21 00:00:00+05:30,68.15,71.5,68.15,71.45,3643185
2022-03-22 00:00:00+05:30,71.45,75,69.25,75,2749578
2022-03-23 00:00:00+05:30,76.1,78.75,76.1,78.75,2081688
2022-03-24 00:00:00+05:30,81.25,82.65,75.9,82.65,2581201
2022-03-25 00:00:00+05:30,86.75,86.75,80.5,83.25,5551278
2022-03-28 00:00:00+05:30,84,84.85,79.1,79.75,1570278
2022-03-29 00:00:00+05:30,77,79.2,75.8,75.8,672166
2022-03-30 00:00:00+05:30,72.25,78.7,72.05,72.05,2715612
2022-03-31 00:00:00+05:30,70.05,73.3,68.45,68.5,1591078
2022-04-01 00:00:00+05:30,68.45,71.9,67.55,71.9,743850
2022-04-04 00:00:00+05:30,75.45,75.45,75.45,75.45,347885
2022-04-05 00:00:00+05:30,77.8,79.2,75.45,79.2,1071352
2022-04-06 00:00:00+05:30,80.7,83.15,77.5,80.7,2320882
2022-04-07 00:00:00+05:30,82.4,83.1,77.1,79.4,1949993
2022-04-08 00:00:00+05:30,81.2,82.5,78.5,79.2,550767
