date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,6.4,6.4,6.4,6.4,329747
2022-01-04 00:00:00+05:30,6.7,6.7,6.1,6.3,7624158
2022-01-05 00:00:00+05:30,6.4,6.6,6.1,6.6,3771091
2022-01-06 00:00:00+05:30,6.8,6.9,6.4,6.9,2297323
2022-01-07 00:00:00+05:30,7.2,7.2,7.2,7.2,615091
2022-01-10 00:00:00+05:30,7.55,7.55,7.55,7.55,315685
2022-01-11 00:00:00+05:30,7.9,7.9,7.2,7.9,6733988
2022-01-12 00:00:00+05:30,8.15,8.25,7.55,7.55,12255580
2022-01-13 00:00:00+05:30,7.2,7.2,7.2,7.2,642023
2022-01-14 00:00:00+05:30,6.85,7.55,6.85,7.55,1707243
2022-01-17 00:00:00+05:30,7.9,7.9,7.3,7.9,2174231
2022-01-18 00:00:00+05:30,8.25,8.25,7.7,7.85,1893950
2022-01-19 00:00:00+05:30,7.8,7.8,7.5,7.6,1211680
2022-01-20 00:00:00+05:30,7.5,7.7,7.3,7.4,868301
2022-01-21 00:00:00+05:30,7.25,7.55,7.1,7.25,739262
2022-01-24 00:00:00+05:30,7.05,7.4,6.9,6.9,747297
2022-01-25 00:00:00+05:30,6.6,7.2,6.6,6.95,962831
2022-01-27 00:00:00+05:30,6.85,7.15,6.7,7,612258
2022-01-28 00:00:00+05:30,7,7.2,6.85,7,380521
2022-01-31 00:00:00+05:30,7.35,7.35,6.9,7,347395
2022-02-01 00:00:00+05:30,6.8,7.05,6.65,6.65,589614
2022-02-02 00:00:00+05:30,6.4,6.8,6.4,6.7,406562
2022-02-03 00:00:00+05:30,6.95,7,6.55,6.95,428078
2022-02-04 00:00:00+05:30,7.05,7.2,6.9,7.05,455749
2022-02-07 00:00:00+05:30,7.05,7.05,6.7,6.7,456051
2022-02-08 00:00:00+05:30,6.7,6.7,6.4,6.4,436523
2022-02-09 00:00:00+05:30,6.3,6.5,6.1,6.1,322924
2022-02-10 00:00:00+05:30,5.95,6.4,5.95,6.4,333767
2022-02-11 00:00:00+05:30,6.6,6.65,6.15,6.45,361224
2022-02-14 00:00:00+05:30,6.2,6.35,6.15,6.15,240706
2022-02-15 00:00:00+05:30,5.85,6.1,5.85,5.85,332762
2022-02-16 00:00:00+05:30,6.05,6.1,5.85,6,379193
2022-02-17 00:00:00+05:30,5.9,6.15,5.9,5.9,138055
2022-02-18 00:00:00+05:30,5.9,6.1,5.75,5.85,218390
2022-02-21 00:00:00+05:30,5.7,5.75,5.6,5.6,320315
2022-02-22 00:00:00+05:30,5.45,5.5,5.35,5.35,188815
2022-02-23 00:00:00+05:30,5.35,5.6,5.1,5.2,443955
2022-02-24 00:00:00+05:30,4.95,5.1,4.95,4.95,373143
2022-02-25 00:00:00+05:30,4.75,5.1,4.75,5,437680
2022-02-28 00:00:00+05:30,5.15,5.15,4.85,5,467454
2022-03-02 00:00:00+05:30,4.85,5.25,4.85,5.25,321356
2022-03-03 00:00:00+05:30,5.4,5.5,5.3,5.5,374309
2022-03-04 00:00:00+05:30,5.65,5.75,5.55,5.75,553683
2022-03-07 00:00:00+05:30,5.6,6,5.5,5.95,512557
2022-03-08 00:00:00+05:30,6.15,6.2,5.8,5.95,380160
2022-03-09 00:00:00+05:30,6.15,6.15,5.95,6.15,305378
2022-03-10 00:00:00+05:30,6.4,6.4,6.05,6.4,330663
2022-03-11 00:00:00+05:30,6.5,6.5,6.35,6.45,276424
2022-03-14 00:00:00+05:30,6.6,6.7,6.15,6.15,410867
2022-03-15 00:00:00+05:30,6.1,6.25,5.85,5.9,301666
2022-03-16 00:00:00+05:30,5.85,5.9,5.65,5.7,460848
2022-03-17 00:00:00+05:30,5.6,5.85,5.45,5.75,2309002
2022-03-21 00:00:00+05:30,5.95,6,5.7,5.85,433295
2022-03-22 00:00:00+05:30,5.95,5.95,5.6,5.7,2861893
2022-03-23 00:00:00+05:30,5.7,5.7,5.45,5.45,330441
2022-03-24 00:00:00+05:30,5.2,5.2,5.2,5.2,406635
2022-03-25 00:00:00+05:30,4.95,5.3,4.95,5.2,995448
2022-03-28 00:00:00+05:30,5.25,5.25,4.95,4.95,613631
2022-03-29 00:00:00+05:30,4.8,5,4.75,4.75,1459988
2022-03-30 00:00:00+05:30,4.75,4.95,4.6,4.95,860680
2022-03-31 00:00:00+05:30,5.05,5.05,4.75,4.8,719688
2022-04-01 00:00:00+05:30,4.85,5,4.8,5,373458
2022-04-04 00:00:00+05:30,5.25,5.25,4.95,5.05,2375901
2022-04-05 00:00:00+05:30,5.25,5.25,4.8,4.8,8944324
2022-04-06 00:00:00+05:30,4.7,5,4.65,4.95,2337268
2022-04-07 00:00:00+05:30,5.15,5.15,5.05,5.1,1018163
2022-04-08 00:00:00+05:30,5.2,5.35,4.85,4.9,4472347
