date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,36.3,36.3,35.25,35.4,36388
2022-01-04 00:00:00+05:30,36.2,36.2,35.05,35.45,23076
2022-01-05 00:00:00+05:30,35.8,35.8,34.1,34.35,43610
2022-01-06 00:00:00+05:30,34.2,40.05,34.2,38.15,541593
2022-01-07 00:00:00+05:30,38.65,39.3,32.3,36.6,232983
2022-01-10 00:00:00+05:30,37.9,37.9,36.7,37.4,74884
2022-01-11 00:00:00+05:30,37.6,40.35,36.75,39.4,379772
2022-01-12 00:00:00+05:30,40.5,43.5,38.05,39.45,769989
2022-01-13 00:00:00+05:30,39.5,39.5,37.25,38.05,70711
2022-01-14 00:00:00+05:30,37.9,39.4,37.6,38,68659
2022-01-17 00:00:00+05:30,39,39.4,37.85,38.85,61462
2022-01-18 00:00:00+05:30,39.3,39.4,37.1,37.65,46308
2022-01-19 00:00:00+05:30,38.25,39.7,37.5,37.9,81271
2022-01-20 00:00:00+05:30,38,38.9,37.8,38.35,61405
2022-01-21 00:00:00+05:30,39,39.8,37,37.5,124281
2022-01-24 00:00:00+05:30,38.85,38.9,36.1,36.45,89435
2022-01-25 00:00:00+05:30,36.75,38.8,36.4,38.55,108412
2022-01-27 00:00:00+05:30,38.4,39.3,37.65,37.9,41263
2022-01-28 00:00:00+05:30,39,39.2,37.05,37.2,46563
2022-01-31 00:00:00+05:30,37.2,38.85,37.2,38.15,45792
2022-02-01 00:00:00+05:30,37.6,38.9,36.9,37.25,57626
2022-02-02 00:00:00+05:30,38,38.2,37,37.75,35659
2022-02-03 00:00:00+05:30,37.25,38.05,37.25,37.8,28871
2022-02-04 00:00:00+05:30,37.5,38.5,37.5,38.4,46807
2022-02-07 00:00:00+05:30,38.45,41.55,38.45,39.15,259403
2022-02-08 00:00:00+05:30,39.75,39.9,38.5,39.15,45358
2022-02-09 00:00:00+05:30,39.85,41.5,38.4,40.2,139768
2022-02-10 00:00:00+05:30,42,48.2,40,48.2,2813211
2022-02-11 00:00:00+05:30,48.9,56.5,48.5,51.9,2786743
2022-02-14 00:00:00+05:30,50.9,56.1,46.45,51,926316
2022-02-15 00:00:00+05:30,52.9,55.7,51.1,53.2,713111
2022-02-16 00:00:00+05:30,55,58,52.8,54.2,836298
2022-02-17 00:00:00+05:30,54,56.7,52.9,53.05,221875
2022-02-18 00:00:00+05:30,53.6,54,49.65,50.35,250238
2022-02-21 00:00:00+05:30,49,50.95,45.45,47.55,280974
2022-02-22 00:00:00+05:30,46,49.15,45.5,46.75,213033
2022-02-23 00:00:00+05:30,46.55,56.1,46.55,55.9,1585315
2022-02-24 00:00:00+05:30,52.95,55.7,47.3,48.85,936976
2022-02-25 00:00:00+05:30,52.9,54.95,52,52.65,469694
2022-02-28 00:00:00+05:30,52.95,61.65,51.45,58.1,2118941
2022-03-02 00:00:00+05:30,58.95,62.7,56.6,60.45,1494475
2022-03-03 00:00:00+05:30,60.5,63.5,58.6,59,979455
2022-03-04 00:00:00+05:30,59,60.9,57.5,58.95,266848
2022-03-07 00:00:00+05:30,58.8,63.2,53.85,57.25,286462
2022-03-08 00:00:00+05:30,57.05,58.6,53.8,55.3,484825
2022-03-09 00:00:00+05:30,56.45,56.9,54.25,54.95,203984
2022-03-10 00:00:00+05:30,56.45,57,54.3,56,171235
2022-03-11 00:00:00+05:30,56,59.45,53.55,54.85,2137564
2022-03-14 00:00:00+05:30,56.2,56.9,54.7,56.3,368849
2022-03-15 00:00:00+05:30,57.2,58.45,55,55.6,399253
2022-03-16 00:00:00+05:30,56.55,56.85,55.25,55.6,108918
2022-03-17 00:00:00+05:30,55.7,56.9,55.3,56.5,210983
2022-03-21 00:00:00+05:30,58.2,65.5,55.75,63.55,2170077
2022-03-22 00:00:00+05:30,66.6,72.25,63.8,64.7,3087383
2022-03-23 00:00:00+05:30,65.25,69.6,64.85,68.1,614735
2022-03-24 00:00:00+05:30,67.65,70.4,66,66.65,450650
2022-03-25 00:00:00+05:30,67.45,67.45,65,65.25,632617
2022-03-28 00:00:00+05:30,66.1,66.9,63.7,64.1,355155
2022-03-29 00:00:00+05:30,64.1,64.6,62.3,62.75,294935
2022-03-30 00:00:00+05:30,63.55,67,62.5,64.35,206884
2022-03-31 00:00:00+05:30,64.85,67,62.6,66.15,214319
2022-04-01 00:00:00+05:30,66.15,67,65.05,66.15,131751
2022-04-04 00:00:00+05:30,66.3,69.5,64.35,65.45,394294
2022-04-05 00:00:00+05:30,66.4,66.65,65,65.35,318994
2022-04-06 00:00:00+05:30,65.6,66.8,64.75,65.4,160639
2022-04-07 00:00:00+05:30,65,78.45,65,78.45,3180889
2022-04-08 00:00:00+05:30,82,88.7,80.3,85.85,3164725
