date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1098,1100,1081.55,1092.55,3885
2022-01-04 00:00:00+05:30,1085.55,1097.45,1081.65,1088.7,1821
2022-01-05 00:00:00+05:30,1094.9,1100.1,1086.85,1098.7,5995
2022-01-06 00:00:00+05:30,1088,1103.25,1075.05,1098.55,4499
2022-01-07 00:00:00+05:30,1100,1123.9,1091.1,1095.75,2256
2022-01-10 00:00:00+05:30,1110,1110,1088,1099.85,7664
2022-01-11 00:00:00+05:30,1107.05,1153.7,1098.5,1118.65,108210
2022-01-12 00:00:00+05:30,1128,1128,1112.1,1118.3,22135
2022-01-13 00:00:00+05:30,1127.9,1127.9,1106,1110.2,17113
2022-01-14 00:00:00+05:30,1115,1115,1100,1105.8,16449
2022-01-17 00:00:00+05:30,1094.05,1119.9,1094.05,1106.95,15109
2022-01-18 00:00:00+05:30,1114.9,1119.9,1103.7,1111.3,6486
2022-01-19 00:00:00+05:30,1110.5,1119,1101.15,1108.35,5330
2022-01-20 00:00:00+05:30,1100.25,1120.6,1100.25,1114.45,10660
2022-01-21 00:00:00+05:30,1110.05,1115.8,1102.05,1108.65,3354
2022-01-24 00:00:00+05:30,1112,1112,1080,1086.95,8571
2022-01-25 00:00:00+05:30,1096.95,1098,1080.1,1090.65,3118
2022-01-27 00:00:00+05:30,1092,1099,1077.25,1081.8,5340
2022-01-28 00:00:00+05:30,1085.9,1109.95,1081,1097.35,19074
2022-01-31 00:00:00+05:30,1097.9,1108.65,1081.55,1087.15,6485
2022-02-01 00:00:00+05:30,1080.15,1120,1080.1,1115.3,6086
2022-02-02 00:00:00+05:30,1123.75,1131,1106.3,1119.6,4559
2022-02-03 00:00:00+05:30,1111.7,1147,1111.7,1118.4,9371
2022-02-04 00:00:00+05:30,1108.6,1149,1108.6,1138.15,25071
2022-02-07 00:00:00+05:30,1138.2,1149,1092.5,1098.15,8698
2022-02-08 00:00:00+05:30,1118.95,1119.9,1082,1084.9,6940
2022-02-09 00:00:00+05:30,1092.8,1101,1085,1092.7,3936
2022-02-10 00:00:00+05:30,1086.05,1096.9,1081.25,1088.3,7481
2022-02-11 00:00:00+05:30,1089.5,1093,1079.95,1088.6,11049
2022-02-14 00:00:00+05:30,1086,1086,1063.25,1068.7,4761
2022-02-15 00:00:00+05:30,1079,1082,1062,1076.25,6444
2022-02-16 00:00:00+05:30,1080,1098.45,1065.1,1070.6,6671
2022-02-17 00:00:00+05:30,1065.1,1105.5,1065.1,1098.6,8063
2022-02-18 00:00:00+05:30,1088.1,1152.9,1088.1,1144,23452
2022-02-21 00:00:00+05:30,1144,1147.9,1105,1109.05,4988
2022-02-22 00:00:00+05:30,1095,1128.8,1065,1107.2,5037
2022-02-23 00:00:00+05:30,1100.05,1144.3,1100.05,1129.7,5742
2022-02-24 00:00:00+05:30,1125,1125,1003.1,1023.95,14037
2022-02-25 00:00:00+05:30,998.3,999,954.15,981.85,48469
2022-02-28 00:00:00+05:30,975,978.15,951,952.9,12581
2022-03-02 00:00:00+05:30,953,970,931,935.5,9624
2022-03-03 00:00:00+05:30,937,968,937,952.2,5894
2022-03-04 00:00:00+05:30,957.8,959.9,939.95,941.85,9421
2022-03-07 00:00:00+05:30,930,944.75,900,940.65,20750
2022-03-08 00:00:00+05:30,956.5,956.5,914,933.35,3979
2022-03-09 00:00:00+05:30,944,979,932.35,972.35,7142
2022-03-10 00:00:00+05:30,988,1019.9,967.25,992.75,11380
2022-03-11 00:00:00+05:30,1009.95,1012.9,981.35,984.85,3697
2022-03-14 00:00:00+05:30,990,1004,955.9,962.65,13018
2022-03-15 00:00:00+05:30,973,975.05,948.2,955.35,14196
2022-03-16 00:00:00+05:30,974,974.35,946.55,961.25,12749
2022-03-17 00:00:00+05:30,969.95,1010,957.75,1000.15,395444
2022-03-21 00:00:00+05:30,1018,1048,1003.25,1027.7,14662
2022-03-22 00:00:00+05:30,1027,1046.4,967,997.2,19147
2022-03-23 00:00:00+05:30,1004.9,1008,982.2,990.2,4110
2022-03-24 00:00:00+05:30,1000,1020.7,990,1009.75,15217
2022-03-25 00:00:00+05:30,1021,1021,996.9,1001.45,4029
2022-03-28 00:00:00+05:30,1016.9,1064.9,980.05,1025.45,14978
2022-03-29 00:00:00+05:30,1022,1045,999.95,1003.6,10701
2022-03-30 00:00:00+05:30,1019.9,1065,1002,1032.05,19413
2022-03-31 00:00:00+05:30,1032.05,1049,1018,1019.95,3588
2022-04-01 00:00:00+05:30,1038.4,1048,1015,1031.6,6117
2022-04-04 00:00:00+05:30,1048,1049,1032.35,1038.65,2324
2022-04-05 00:00:00+05:30,1050,1073,1038.65,1050.5,6002
2022-04-06 00:00:00+05:30,1050,1069.95,1038,1062.45,5235
2022-04-07 00:00:00+05:30,1069.9,1085.95,1050,1053.05,5616
2022-04-08 00:00:00+05:30,1067,1067,1036,1044.55,3620
