date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,238.65,242.8,235.55,238.4,33801
2022-01-04 00:00:00+05:30,239,244.4,237.55,241.3,47769
2022-01-05 00:00:00+05:30,239,247,239,241.3,45089
2022-01-06 00:00:00+05:30,237.1,243.3,237.1,241.75,28426
2022-01-07 00:00:00+05:30,240.05,247.1,240.05,241.65,39549
2022-01-10 00:00:00+05:30,242.55,257,242.45,254.45,149139
2022-01-11 00:00:00+05:30,257.6,258.7,249.1,249.95,55980
2022-01-12 00:00:00+05:30,250.1,258.5,249.5,250.5,76288
2022-01-13 00:00:00+05:30,252.75,254,248,248.95,27980
2022-01-14 00:00:00+05:30,249,273.8,248.7,270.45,539351
2022-01-17 00:00:00+05:30,273,282.6,266,276.45,298578
2022-01-18 00:00:00+05:30,276.95,282.05,269,269.95,122317
2022-01-19 00:00:00+05:30,273,277.75,270,275.65,96671
2022-01-20 00:00:00+05:30,279.9,284,276,282.15,133256
2022-01-21 00:00:00+05:30,284,305,279.6,293.5,820822
2022-01-24 00:00:00+05:30,308.4,308.4,293,298.95,528841
2022-01-25 00:00:00+05:30,297,310,284.55,300.95,375519
2022-01-27 00:00:00+05:30,300,309.9,294.05,299.75,236581
2022-01-28 00:00:00+05:30,304,305,288,290.75,141745
2022-01-31 00:00:00+05:30,290.25,296.6,278.1,280.25,140777
2022-02-01 00:00:00+05:30,278,285,270.55,273.3,111055
2022-02-02 00:00:00+05:30,274,293.45,273.9,288.45,200749
2022-02-03 00:00:00+05:30,289,295.7,289,289.85,81435
2022-02-04 00:00:00+05:30,291,291.8,280.25,281.7,76733
2022-02-07 00:00:00+05:30,283.9,294.5,280,281.9,113784
2022-02-08 00:00:00+05:30,282,284,265,273.85,122860
2022-02-09 00:00:00+05:30,278,281,271.85,273,80588
2022-02-10 00:00:00+05:30,273.1,276.2,272.15,274.75,71409
2022-02-11 00:00:00+05:30,269,274.65,265,266.9,89056
2022-02-14 00:00:00+05:30,261,267,250.55,253.4,155629
2022-02-15 00:00:00+05:30,256,258.95,246,255.5,109184
2022-02-16 00:00:00+05:30,257.4,271.95,257.4,262.45,133225
2022-02-17 00:00:00+05:30,268,268.55,260.05,261.55,65006
2022-02-18 00:00:00+05:30,257.35,263.55,257.05,261.35,53793
2022-02-21 00:00:00+05:30,259.5,259.5,244.3,246.5,69622
2022-02-22 00:00:00+05:30,230.15,237.5,230.15,235.55,108380
2022-02-23 00:00:00+05:30,238,245.4,238,243.7,59128
2022-02-24 00:00:00+05:30,230.1,234.05,218.8,221.7,143989
2022-02-25 00:00:00+05:30,229.4,244.3,225,240.5,90451
2022-02-28 00:00:00+05:30,240,242.4,233.85,239.35,67619
2022-03-02 00:00:00+05:30,238.35,243.35,235.3,238.1,44248
2022-03-03 00:00:00+05:30,238.15,243.25,238,239,37073
2022-03-04 00:00:00+05:30,239,239.9,234,235.25,26621
2022-03-07 00:00:00+05:30,232,232,225,226.7,44491
2022-03-08 00:00:00+05:30,216.6,233.5,216.6,231.75,37012
2022-03-09 00:00:00+05:30,234,244.55,232,241.35,74189
2022-03-10 00:00:00+05:30,243.35,249.95,242.5,243.35,76258
2022-03-11 00:00:00+05:30,242.85,248,237.05,246.9,56756
2022-03-14 00:00:00+05:30,249.1,249.1,243.15,247.15,67755
2022-03-15 00:00:00+05:30,249.6,259.75,247,252.55,126044
2022-03-16 00:00:00+05:30,255,259,253.15,253.5,53934
2022-03-17 00:00:00+05:30,255,272,255,261.05,162642
2022-03-21 00:00:00+05:30,265.8,266,256,256.8,72132
2022-03-22 00:00:00+05:30,256.55,262.95,254.05,259,44902
2022-03-23 00:00:00+05:30,261.3,266.5,257.8,259.3,56487
2022-03-24 00:00:00+05:30,261.9,261.9,257,258.1,30542
2022-03-25 00:00:00+05:30,257.9,260.05,254,255.3,31696
2022-03-28 00:00:00+05:30,255.75,259.05,250,254.7,65582
2022-03-29 00:00:00+05:30,257,264.7,255,259.1,77125
2022-03-30 00:00:00+05:30,263.4,268,258,258.6,68926
2022-03-31 00:00:00+05:30,258.65,265,258.65,262.45,55517
2022-04-01 00:00:00+05:30,260,270,260,268.6,82018
2022-04-04 00:00:00+05:30,276,284,274.85,279.65,155136
2022-04-05 00:00:00+05:30,280.95,283,274.1,274.6,63779
2022-04-06 00:00:00+05:30,274.6,277.8,272,272.45,59278
2022-04-07 00:00:00+05:30,278,278,270.05,271.55,64433
2022-04-08 00:00:00+05:30,274.6,283.85,273.05,279.75,106374
