date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,2848,2950,2848,2880.85,16319
2022-01-04 00:00:00+05:30,2855,2919.7,2840,2869.05,8357
2022-01-05 00:00:00+05:30,2841,2883.4,2806.05,2816.7,4540
2022-01-06 00:00:00+05:30,2824,2847.75,2772.65,2826.2,6551
2022-01-07 00:00:00+05:30,2840.35,2859.65,2799.9,2843.3,4870
2022-01-10 00:00:00+05:30,2855,2904.65,2839.6,2870.35,5947
2022-01-11 00:00:00+05:30,2884.75,2886,2842.65,2875.8,6320
2022-01-12 00:00:00+05:30,2890.2,2899.45,2860,2872.7,2616
2022-01-13 00:00:00+05:30,2899.95,2905.3,2850,2884.2,3206
2022-01-14 00:00:00+05:30,2893,2969.8,2876.6,2928.45,8380
2022-01-17 00:00:00+05:30,2937,3104,2921,3070.05,27085
2022-01-18 00:00:00+05:30,3120,3139.95,2902,2947.8,15917
2022-01-19 00:00:00+05:30,2961,3005,2907,2951.65,6013
2022-01-20 00:00:00+05:30,2966.45,2995.45,2942.5,2962.2,3861
2022-01-21 00:00:00+05:30,2926,2977.05,2882,2899.35,3269
2022-01-24 00:00:00+05:30,2899.35,2947.05,2784.7,2874.65,14676
2022-01-25 00:00:00+05:30,2874,2899,2804.4,2887.3,4165
2022-01-27 00:00:00+05:30,2865,2886.3,2800.05,2843.25,3482
2022-01-28 00:00:00+05:30,2857.45,3017.8,2836.15,2983.3,16788
2022-01-31 00:00:00+05:30,2998.25,3100,2983.3,3080.75,22050
2022-02-01 00:00:00+05:30,3085.95,3118.45,2972.75,2999,11606
2022-02-02 00:00:00+05:30,3014,3050,2927.7,2948.5,5958
2022-02-03 00:00:00+05:30,2948.5,2980.05,2872,2899.15,9184
2022-02-04 00:00:00+05:30,2913.65,2969,2842.1,2857.1,9379
2022-02-07 00:00:00+05:30,2871.4,2901.45,2825,2830.2,2932
2022-02-08 00:00:00+05:30,2844.4,2848,2790,2823.75,3402
2022-02-09 00:00:00+05:30,2837.9,2847,2790,2813.9,2916
2022-02-10 00:00:00+05:30,2828,2843,2801.05,2820.5,2450
2022-02-11 00:00:00+05:30,2781,2830,2723,2747.95,3400
2022-02-14 00:00:00+05:30,2743.25,2784.7,2676.15,2747.85,21449
2022-02-15 00:00:00+05:30,2740,2754.35,2565,2700.3,18144
2022-02-16 00:00:00+05:30,2713.45,2725.8,2651.05,2701,9493
2022-02-17 00:00:00+05:30,2655,2705.95,2652,2658.15,3096
2022-02-18 00:00:00+05:30,2664.8,2685,2626,2639.75,3038
2022-02-21 00:00:00+05:30,2639.75,2643.8,2519.95,2547.2,6143
2022-02-22 00:00:00+05:30,2500,2540.3,2420.7,2497.75,10220
2022-02-23 00:00:00+05:30,2491,2570,2491,2548.45,2665
2022-02-24 00:00:00+05:30,2445,2547.7,2420,2510.3,10959
2022-02-25 00:00:00+05:30,2522.9,2633.15,2509.8,2570.6,6518
2022-02-28 00:00:00+05:30,2570,2620,2520,2606.15,3220
2022-03-02 00:00:00+05:30,2619.2,2698.8,2619.2,2662.75,4509
2022-03-03 00:00:00+05:30,2687.45,2687.45,2577.05,2660.35,5617
2022-03-04 00:00:00+05:30,2643.85,2649.15,2558,2573.95,3231
2022-03-07 00:00:00+05:30,2548.65,2548.65,2377.95,2452.8,16731
2022-03-08 00:00:00+05:30,2452.8,2580.5,2434.5,2484.4,4083
2022-03-09 00:00:00+05:30,2484,2559.45,2457.7,2490.15,6626
2022-03-10 00:00:00+05:30,2540.45,2580,2499.5,2508.45,3051
2022-03-11 00:00:00+05:30,2521,2544.6,2483.65,2529.4,2907
2022-03-14 00:00:00+05:30,2550,2560.05,2480,2485.85,4038
2022-03-15 00:00:00+05:30,2489.95,2518.95,2370,2396.1,7596
2022-03-16 00:00:00+05:30,2408.1,2519.95,2408.1,2486.75,7044
2022-03-17 00:00:00+05:30,2530,2554,2501.7,2527.05,3066
2022-03-21 00:00:00+05:30,2505,2545,2476,2506.4,5752
2022-03-22 00:00:00+05:30,2490.4,2511.7,2478,2482.2,3644
2022-03-23 00:00:00+05:30,2484.95,2516,2412.65,2444.5,9124
2022-03-24 00:00:00+05:30,2450,2525.4,2434,2494.6,6708
2022-03-25 00:00:00+05:30,2507.1,2507.1,2446,2490.55,7007
2022-03-28 00:00:00+05:30,2458,2550,2450,2484.75,8283
2022-03-29 00:00:00+05:30,2476.8,2499.95,2401,2428.65,5197
2022-03-30 00:00:00+05:30,2439.95,2440.75,2390,2396.5,6179
2022-03-31 00:00:00+05:30,2404.95,2413.45,2335.9,2400.7,23420
2022-04-01 00:00:00+05:30,2409.75,2484.25,2370,2383.45,12006
2022-04-04 00:00:00+05:30,2395.4,2512.7,2371.55,2500.35,17913
2022-04-05 00:00:00+05:30,2507,2649.5,2507,2624.95,14514
2022-04-06 00:00:00+05:30,2620,2628.8,2581,2596.8,3549
2022-04-07 00:00:00+05:30,2609.8,2609.8,2550,2584.05,9393
2022-04-08 00:00:00+05:30,2597,2630,2559,2575.3,5225
