date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,380.6,387,378.05,380.6,540773
2022-01-04 00:00:00+05:30,387.05,411.5,384.45,403.65,3414908
2022-01-05 00:00:00+05:30,403.8,411.15,395,402.4,1347788
2022-01-06 00:00:00+05:30,402.4,420.8,401.95,404.15,3070674
2022-01-07 00:00:00+05:30,405.95,406.1,386.85,392.5,1409457
2022-01-10 00:00:00+05:30,396.2,401.8,393.05,394.4,748348
2022-01-11 00:00:00+05:30,395.4,396.5,388.1,389.45,443731
2022-01-12 00:00:00+05:30,391.8,392.7,386.25,388.3,340700
2022-01-13 00:00:00+05:30,388.1,399.45,387.5,394.8,712430
2022-01-14 00:00:00+05:30,392.7,401.35,391.05,394.55,833308
2022-01-17 00:00:00+05:30,394.4,402.85,389.1,389.85,562415
2022-01-18 00:00:00+05:30,391.25,394.1,382.55,385.15,360891
2022-01-19 00:00:00+05:30,384.15,392.05,379.8,389.4,538263
2022-01-20 00:00:00+05:30,389.35,393.25,384.5,385.5,308646
2022-01-21 00:00:00+05:30,383.85,388.6,375.35,377.7,307373
2022-01-24 00:00:00+05:30,376.1,376.5,359.5,363.55,458591
2022-01-25 00:00:00+05:30,357.75,367.3,355,364.95,322746
2022-01-27 00:00:00+05:30,364.85,369.55,349.65,363.25,778375
2022-01-28 00:00:00+05:30,363.3,374.4,361.55,363.1,442347
2022-01-31 00:00:00+05:30,366.6,370.4,359.85,363,315841
2022-02-01 00:00:00+05:30,365.4,367.6,360.85,362.95,255234
2022-02-02 00:00:00+05:30,365.95,371.9,364.2,366.45,311881
2022-02-03 00:00:00+05:30,368.35,369.55,361.95,363.35,287481
2022-02-04 00:00:00+05:30,365.05,367.05,361.1,364.05,264837
2022-02-07 00:00:00+05:30,363.2,364.8,355.85,357.95,267842
2022-02-08 00:00:00+05:30,373.35,376.65,362.25,363.5,994199
2022-02-09 00:00:00+05:30,364.2,365.95,358,360.15,245353
2022-02-10 00:00:00+05:30,360.25,371.7,358.55,367.55,464844
2022-02-11 00:00:00+05:30,364.1,387.45,364.1,380.3,1259463
2022-02-14 00:00:00+05:30,372.4,372.9,357.65,359.8,398828
2022-02-15 00:00:00+05:30,357.25,363.35,343,355.75,458601
2022-02-16 00:00:00+05:30,358.25,364.05,352.7,356.6,332821
2022-02-17 00:00:00+05:30,358.25,362.05,344.05,348.6,430995
2022-02-18 00:00:00+05:30,347.05,349.85,342.95,344.1,243892
2022-02-21 00:00:00+05:30,342,374.75,332.8,350.55,1975932
2022-02-22 00:00:00+05:30,341.1,364.1,339.95,347.3,869068
2022-02-23 00:00:00+05:30,349.45,355.45,344.75,347,290457
2022-02-24 00:00:00+05:30,336.45,341.1,299.85,303.4,865323
2022-02-25 00:00:00+05:30,304.2,321.65,304.2,313.85,648645
2022-02-28 00:00:00+05:30,312.25,315.25,305.95,312.55,390650
2022-03-02 00:00:00+05:30,309.45,317.55,309.05,311.7,285971
2022-03-03 00:00:00+05:30,316.65,318.55,310.5,313.85,286474
2022-03-04 00:00:00+05:30,314.8,321.65,312.85,319.35,880276
2022-03-07 00:00:00+05:30,315.9,318.5,302.65,313.65,742905
2022-03-08 00:00:00+05:30,313,321.65,304.6,308.2,1490701
2022-03-09 00:00:00+05:30,312,314.4,304.7,308.35,741877
2022-03-10 00:00:00+05:30,313,326.4,310.6,313.15,958201
2022-03-11 00:00:00+05:30,313.15,317,309,310,619613
2022-03-14 00:00:00+05:30,309.25,313.2,305,306.2,487226
2022-03-15 00:00:00+05:30,307,309.7,287.35,289,946926
2022-03-16 00:00:00+05:30,293,298.25,288.8,289.75,1178887
2022-03-17 00:00:00+05:30,292.2,295.3,290.25,292.25,466620
2022-03-21 00:00:00+05:30,300,334.75,299.05,326.35,4535098
2022-03-22 00:00:00+05:30,325.8,325.8,310.7,311.75,1195676
2022-03-23 00:00:00+05:30,313.65,320.3,308.55,311.4,828170
2022-03-24 00:00:00+05:30,311.5,320,306.9,312.5,813049
2022-03-25 00:00:00+05:30,314.9,314.9,300.6,302.2,651035
2022-03-28 00:00:00+05:30,304.75,310,295.2,297.45,941796
2022-03-29 00:00:00+05:30,295,299,280.45,282.1,1453263
2022-03-30 00:00:00+05:30,285.1,285.1,274.05,274.9,1105474
2022-03-31 00:00:00+05:30,259.75,271,254.3,263.6,2901970
2022-04-01 00:00:00+05:30,265.7,284.8,265.65,282.85,1839047
2022-04-04 00:00:00+05:30,282.4,289.9,281.9,288.25,952536
2022-04-05 00:00:00+05:30,290,295.5,288.35,292.55,842815
2022-04-06 00:00:00+05:30,292,313.2,289.4,303.9,3415709
2022-04-07 00:00:00+05:30,303.95,315.9,302.6,304.85,2089636
2022-04-08 00:00:00+05:30,307,312.2,303.35,305.5,737567
