date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,109.85,111.9,108.05,108.7,483882
2022-01-04 00:00:00+05:30,109.5,110.7,105.5,105.85,496910
2022-01-05 00:00:00+05:30,105.7,106.9,104.1,104.8,261302
2022-01-06 00:00:00+05:30,103.8,105.5,103,104.25,291290
2022-01-07 00:00:00+05:30,105,109.7,104.9,106.05,633008
2022-01-10 00:00:00+05:30,107,120.65,107,115.45,3449003
2022-01-11 00:00:00+05:30,116.1,124.8,114.15,118.85,3388534
2022-01-12 00:00:00+05:30,119.9,123.2,116.2,118.05,1537909
2022-01-13 00:00:00+05:30,118.8,118.85,115.15,115.5,572194
2022-01-14 00:00:00+05:30,114.55,117.7,112.6,115.55,503447
2022-01-17 00:00:00+05:30,115.05,120.6,115.05,118.2,965439
2022-01-18 00:00:00+05:30,119,119.2,110.85,111.45,656452
2022-01-19 00:00:00+05:30,111.5,115,109,114.15,596530
2022-01-20 00:00:00+05:30,114,115.9,111,112.1,377956
2022-01-21 00:00:00+05:30,111.15,120.9,111.1,114.3,1732439
2022-01-24 00:00:00+05:30,113.8,114.85,100.3,102.8,1109094
2022-01-25 00:00:00+05:30,101.1,107.4,98.2,105.25,588003
2022-01-27 00:00:00+05:30,103.4,104.75,101.95,102.75,423915
2022-01-28 00:00:00+05:30,103.4,108.25,103.2,104.05,445818
2022-01-31 00:00:00+05:30,106.4,107.5,103.95,104.25,286036
2022-02-01 00:00:00+05:30,105.25,106.6,102.2,105.35,413651
2022-02-02 00:00:00+05:30,105.95,110,105.5,108.5,331945
2022-02-03 00:00:00+05:30,107.1,108.95,105.45,105.7,246985
2022-02-04 00:00:00+05:30,106.55,109.75,105.6,107.45,489178
2022-02-07 00:00:00+05:30,106.85,108.35,104,105.35,401509
2022-02-08 00:00:00+05:30,105.8,106.75,100,103.3,434238
2022-02-09 00:00:00+05:30,103.95,105.95,102.25,102.7,272099
2022-02-10 00:00:00+05:30,103.4,106.6,101.65,102.65,527885
2022-02-11 00:00:00+05:30,101.3,102.85,99.7,100,433766
2022-02-14 00:00:00+05:30,98.75,98.75,93,94.1,636470
2022-02-15 00:00:00+05:30,95.9,97.8,92.55,96.95,359830
2022-02-16 00:00:00+05:30,98.35,101,97.05,98.45,345923
2022-02-17 00:00:00+05:30,99.9,99.9,96,96.45,249632
2022-02-18 00:00:00+05:30,95,97.55,94,94.5,196776
2022-02-21 00:00:00+05:30,93.6,93.75,88.2,89.6,344888
2022-02-22 00:00:00+05:30,83.05,88.45,83.05,87.4,309157
2022-02-23 00:00:00+05:30,90.35,92.05,88.05,89.05,189726
2022-02-24 00:00:00+05:30,84,86.55,79,80,499516
2022-02-25 00:00:00+05:30,84.45,86.4,82,84.8,261974
2022-02-28 00:00:00+05:30,83.4,87.5,82,86.6,193445
2022-03-02 00:00:00+05:30,84.7,88.15,83.6,86.1,165497
2022-03-03 00:00:00+05:30,87.95,88.5,86.1,86.3,119688
2022-03-04 00:00:00+05:30,85.4,86.85,83.45,84.5,235352
2022-03-07 00:00:00+05:30,82.95,84,81,81.65,224377
2022-03-08 00:00:00+05:30,81.7,84.85,81,83.8,180633
2022-03-09 00:00:00+05:30,84.7,87.8,84.1,86.7,179076
2022-03-10 00:00:00+05:30,89.5,90.9,86.5,87.15,272963
2022-03-11 00:00:00+05:30,86.6,90.25,86.6,88.45,205409
2022-03-14 00:00:00+05:30,87.75,89.15,85.8,86.2,227427
2022-03-15 00:00:00+05:30,87.95,87.95,84.65,85.45,171673
2022-03-16 00:00:00+05:30,86.4,87,85.1,85.75,131926
2022-03-17 00:00:00+05:30,87.3,89.5,86.2,87.3,230009
2022-03-21 00:00:00+05:30,88.9,91.35,87,87.35,352946
2022-03-22 00:00:00+05:30,88,88.5,86.4,87.8,189114
2022-03-23 00:00:00+05:30,88.4,92.65,87.25,87.9,447048
2022-03-24 00:00:00+05:30,87,88.9,86.15,86.85,224050
2022-03-25 00:00:00+05:30,87.15,88,85.1,85.6,195846
2022-03-28 00:00:00+05:30,85.95,86,82,82.45,319827
2022-03-29 00:00:00+05:30,83.15,84.4,80.05,80.4,564642
2022-03-30 00:00:00+05:30,81.1,84.3,81.1,82.7,379076
2022-03-31 00:00:00+05:30,82.95,83.75,80.55,80.95,253174
2022-04-01 00:00:00+05:30,81,87.3,80.9,86.65,370625
2022-04-04 00:00:00+05:30,87.2,89.7,87,89.2,262472
2022-04-05 00:00:00+05:30,90,93.8,89.45,92.7,480939
2022-04-06 00:00:00+05:30,92.9,94.9,91.4,92.75,369726
2022-04-07 00:00:00+05:30,92.8,94.75,89.05,90.9,328574
2022-04-08 00:00:00+05:30,91.45,94.6,90,93.25,342913
