date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,91.45,95.15,90.6,93.55,115658
2022-01-04 00:00:00+05:30,95.9,95.9,92.05,92.3,35476
2022-01-05 00:00:00+05:30,92.3,96,90.7,93.5,111757
2022-01-06 00:00:00+05:30,92.5,94.5,91,93.55,74196
2022-01-07 00:00:00+05:30,93.05,96.5,90.8,91.2,214849
2022-01-10 00:00:00+05:30,92.95,93.5,89,90.9,385884
2022-01-11 00:00:00+05:30,91.75,92.65,88,88.6,316372
2022-01-12 00:00:00+05:30,90.25,90.7,87,88.65,296263
2022-01-13 00:00:00+05:30,90,90.95,86.95,87.7,193425
2022-01-14 00:00:00+05:30,88.5,90.05,85.9,87.1,247590
2022-01-17 00:00:00+05:30,87.75,88.9,85.85,86.05,215722
2022-01-18 00:00:00+05:30,87,87,84,84.45,167956
2022-01-19 00:00:00+05:30,84.05,85.35,83.65,84.75,116004
2022-01-20 00:00:00+05:30,84.95,85.65,84,84.5,51004
2022-01-21 00:00:00+05:30,84.75,84.75,82.9,83.4,70774
2022-01-24 00:00:00+05:30,83.45,83.5,76.65,78.1,146070
2022-01-25 00:00:00+05:30,76.15,79.8,76.15,78.15,125689
2022-01-27 00:00:00+05:30,78,78.25,75.55,75.85,98310
2022-01-28 00:00:00+05:30,76.35,83.4,76.35,80.65,230718
2022-01-31 00:00:00+05:30,83,83.35,78,78.25,67489
2022-02-01 00:00:00+05:30,78.8,81.95,77.8,79.8,86282
2022-02-02 00:00:00+05:30,81.7,83.85,80,81.75,101830
2022-02-03 00:00:00+05:30,82.4,88.5,80.4,87.35,507895
2022-02-04 00:00:00+05:30,87.35,89.4,84.3,86.3,425913
2022-02-07 00:00:00+05:30,87.1,89.1,79.6,80.95,303816
2022-02-08 00:00:00+05:30,81.7,83.4,71.35,78.75,225104
2022-02-09 00:00:00+05:30,79.1,79.85,75,79.4,115156
2022-02-10 00:00:00+05:30,79.15,82,78.05,80.1,104274
2022-02-11 00:00:00+05:30,80,80.6,77,78.1,122406
2022-02-14 00:00:00+05:30,75.95,80.5,72.35,75.75,188588
2022-02-15 00:00:00+05:30,76,76.95,72,75,217675
2022-02-16 00:00:00+05:30,75.1,80,73.9,78.1,180753
2022-02-17 00:00:00+05:30,78.2,80.05,75.25,75.8,64611
2022-02-18 00:00:00+05:30,76.15,76.85,73.35,74.2,60576
2022-02-21 00:00:00+05:30,73.4,73.95,64.5,66.6,392520
2022-02-22 00:00:00+05:30,62.9,62.9,53.3,54.3,1140773
2022-02-23 00:00:00+05:30,55.35,65.15,55.35,65.15,1513264
2022-02-24 00:00:00+05:30,60,62.9,56.1,57.05,1139338
2022-02-25 00:00:00+05:30,62,65.8,56.05,63.9,643773
2022-02-28 00:00:00+05:30,64,69.8,61.25,66.8,352829
2022-03-02 00:00:00+05:30,64.7,79.9,64.1,70.75,428891
2022-03-03 00:00:00+05:30,72,75,69,69.5,361528
2022-03-04 00:00:00+05:30,68.2,69.35,66.75,67.6,191820
2022-03-07 00:00:00+05:30,66,66.15,63,63.5,133449
2022-03-08 00:00:00+05:30,64.6,66.75,62.35,63.7,203304
2022-03-09 00:00:00+05:30,64.65,66.9,63.35,64.4,417027
2022-03-10 00:00:00+05:30,65.85,66.9,62.7,63.55,320907
2022-03-11 00:00:00+05:30,63.55,64.8,63,63.95,143737
2022-03-14 00:00:00+05:30,65.2,65.25,59.55,61.2,390449
2022-03-15 00:00:00+05:30,62,63,59.2,59.55,240010
2022-03-16 00:00:00+05:30,60.8,60.8,57.4,58.65,208086
2022-03-17 00:00:00+05:30,60,60.9,58,58.55,204797
2022-03-21 00:00:00+05:30,59,59.45,57.6,58.55,218876
2022-03-22 00:00:00+05:30,57.3,59.85,57.3,59.15,217271
2022-03-23 00:00:00+05:30,59.5,59.9,54.4,54.85,323882
2022-03-24 00:00:00+05:30,54.5,58.9,54,58.15,425959
2022-03-25 00:00:00+05:30,58.8,68.45,57.15,64.15,1147308
2022-03-28 00:00:00+05:30,64.8,64.85,57.65,58.8,978905
2022-03-29 00:00:00+05:30,59,59.3,56.1,56.7,781769
2022-03-30 00:00:00+05:30,57.6,59,54.1,55.15,348726
2022-03-31 00:00:00+05:30,55.8,59.65,55,55.35,463007
2022-04-01 00:00:00+05:30,55.9,59.4,55.65,58.5,284392
2022-04-04 00:00:00+05:30,59.45,60.45,56.7,57.6,413877
2022-04-05 00:00:00+05:30,58,60.5,57.35,58.1,699601
2022-04-06 00:00:00+05:30,58,63.45,57.85,60.5,672122
2022-04-07 00:00:00+05:30,60.5,63.05,59.95,60.55,314072
2022-04-08 00:00:00+05:30,61,62.2,60.5,61.7,169662
