date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,99.6,100,97.3,98,6837
2022-01-04 00:00:00+05:30,103.6,103.6,91.85,98.4,3822
2022-01-05 00:00:00+05:30,101.95,103.2,98,98.3,8698
2022-01-06 00:00:00+05:30,103,103,98,99.25,1579
2022-01-07 00:00:00+05:30,101.25,103,93.35,97.95,6339
2022-01-10 00:00:00+05:30,101.4,102,95,98.7,3998
2022-01-11 00:00:00+05:30,99.35,99.95,96,98.25,2497
2022-01-12 00:00:00+05:30,97,99.4,96,97.45,2685
2022-01-13 00:00:00+05:30,99.25,99.25,96.2,98.3,2326
2022-01-14 00:00:00+05:30,98.3,99.3,96.05,98.35,1363
2022-01-17 00:00:00+05:30,98.3,108.15,97,108.15,9209
2022-01-18 00:00:00+05:30,111.7,118.95,110.2,118.95,12571
2022-01-19 00:00:00+05:30,125,130.8,125,130.8,15521
2022-01-20 00:00:00+05:30,135,137.3,135,137.3,14618
2022-01-21 00:00:00+05:30,143,144,130.45,130.45,3753
2022-01-24 00:00:00+05:30,123.95,123.95,123.95,123.95,201
2022-01-25 00:00:00+05:30,117.8,117.8,117.8,117.8,1093
2022-01-27 00:00:00+05:30,111.95,111.95,111.95,111.95,561
2022-01-28 00:00:00+05:30,106.4,106.4,106.4,106.4,1760
2022-01-31 00:00:00+05:30,102,111.7,101.1,102.65,8909
2022-02-01 00:00:00+05:30,107.65,107.75,98.1,107.75,8699
2022-02-02 00:00:00+05:30,112.85,113.1,110.25,113.1,1903
2022-02-03 00:00:00+05:30,118.6,118.6,108.7,110.65,5545
2022-02-04 00:00:00+05:30,114.95,114.95,105.25,107.3,4457
2022-02-07 00:00:00+05:30,113,113,98.35,101.15,7838
2022-02-08 00:00:00+05:30,104.9,104.9,99.95,103.9,2961
2022-02-09 00:00:00+05:30,105.05,105.05,100,100.8,4924
2022-02-10 00:00:00+05:30,102.95,104.9,95.25,101.8,9332
2022-02-11 00:00:00+05:30,97.6,102.3,96.5,100.45,9612
2022-02-14 00:00:00+05:30,97,101.1,91.05,91.85,3855
2022-02-15 00:00:00+05:30,99.35,99.35,91.85,96.6,3170
2022-02-16 00:00:00+05:30,101,101,97.2,100.3,2117
2022-02-17 00:00:00+05:30,103.05,103.05,95.4,98.7,1513
2022-02-18 00:00:00+05:30,102.05,102.7,97.9,100.85,1698
2022-02-21 00:00:00+05:30,100.85,101.3,91.9,95.25,2882
2022-02-22 00:00:00+05:30,92.25,96.8,85.8,88.65,2163
2022-02-23 00:00:00+05:30,88.65,94.4,88.65,92.9,1206
2022-02-24 00:00:00+05:30,91.75,91.75,83.65,85.3,1510
2022-02-25 00:00:00+05:30,83.6,93.7,83.6,91.8,1223
2022-02-28 00:00:00+05:30,90.05,92.3,90.05,91.95,1038
2022-03-02 00:00:00+05:30,90.05,91.95,90.05,91.9,127
2022-03-03 00:00:00+05:30,90,93.95,89.05,91.4,1262
2022-03-04 00:00:00+05:30,91.3,93.85,83.1,93.15,1645
2022-03-07 00:00:00+05:30,102,102,92,97.15,6210
2022-03-08 00:00:00+05:30,93.05,102,93.05,95.45,772
2022-03-09 00:00:00+05:30,100.45,100.5,86.35,90.55,9222
2022-03-10 00:00:00+05:30,95,95,91.5,92.25,1630
2022-03-11 00:00:00+05:30,94.35,94.35,90.4,93.35,701
2022-03-14 00:00:00+05:30,96.4,96.4,90.65,92.1,1425
2022-03-15 00:00:00+05:30,95,95,88.05,91.05,619
2022-03-16 00:00:00+05:30,93.9,93.9,91.3,93.05,314
2022-03-17 00:00:00+05:30,94.4,94.85,88.35,90,750
2022-03-21 00:00:00+05:30,96,96,91.65,92.5,2300
2022-03-22 00:00:00+05:30,93.6,95.75,92.5,92.8,1492
2022-03-23 00:00:00+05:30,94.85,94.85,91.8,92.05,314
2022-03-24 00:00:00+05:30,90.05,94.2,90.05,90.95,749
2022-03-25 00:00:00+05:30,89,94.45,87,89.15,3539
2022-03-28 00:00:00+05:30,88,93.9,88,92.4,1923
2022-03-29 00:00:00+05:30,94,101.6,94,99.9,10149
2022-03-30 00:00:00+05:30,105,109.85,104.85,109.85,17522
2022-03-31 00:00:00+05:30,120.5,120.8,107,111.45,12653
2022-04-01 00:00:00+05:30,108,120.5,104.55,112.3,8302
2022-04-04 00:00:00+05:30,112.3,112.3,106.25,107.7,4572
2022-04-05 00:00:00+05:30,112,112,102.95,104.6,1650
2022-04-06 00:00:00+05:30,102.05,109.4,102.05,105.3,3873
2022-04-07 00:00:00+05:30,107,107,96.55,103.25,2274
2022-04-08 00:00:00+05:30,104.8,104.8,101.5,101.85,1357
