date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1735,1755,1710,1731.1,32602
2022-01-04 00:00:00+05:30,1731.1,1775,1700,1754.95,42498
2022-01-05 00:00:00+05:30,1706.1,1780.5,1706.1,1761.05,54105
2022-01-06 00:00:00+05:30,1730,1770,1710,1760.05,51023
2022-01-07 00:00:00+05:30,1740.1,1780,1721.85,1776,64894
2022-01-10 00:00:00+05:30,1742.1,1834,1742.1,1819.7,68601
2022-01-11 00:00:00+05:30,1839,1889,1770,1867.45,100209
2022-01-12 00:00:00+05:30,1880,1958,1822.5,1928.25,108933
2022-01-13 00:00:00+05:30,1973.9,2024.65,1906,2019.7,143323
2022-01-14 00:00:00+05:30,1998,2030,1930,2020.6,55454
2022-01-17 00:00:00+05:30,1995,2016,1970.2,2002.7,78536
2022-01-18 00:00:00+05:30,2002.7,2050,1981,2026.75,81437
2022-01-19 00:00:00+05:30,2040,2049.4,1950,2043.25,47517
2022-01-20 00:00:00+05:30,2002.55,2049.9,1975,2039.75,48408
2022-01-21 00:00:00+05:30,2037,2141,1984,2066.8,82788
2022-01-24 00:00:00+05:30,2097,2125,1963.5,2035.9,85918
2022-01-25 00:00:00+05:30,1950,2089,1934.15,1992.45,198926
2022-01-27 00:00:00+05:30,2005,2059.3,1920,2009.3,94304
2022-01-28 00:00:00+05:30,2000,2075,1960,1986.8,231963
2022-01-31 00:00:00+05:30,2020,2046.3,1950,1970.9,153177
2022-02-01 00:00:00+05:30,1931.5,2039,1930,1986.9,437813
2022-02-02 00:00:00+05:30,1975,2029,1975,2016,364854
2022-02-03 00:00:00+05:30,2010,2040,1977,2006.2,325157
2022-02-04 00:00:00+05:30,2014,2050,1987.85,2033.1,328615
2022-02-07 00:00:00+05:30,2033.1,2069.5,2000,2028.5,43314
2022-02-08 00:00:00+05:30,2044,2045,1935,1968.3,261310
2022-02-09 00:00:00+05:30,1969.95,2018,1932.1,1955.2,257200
2022-02-10 00:00:00+05:30,1955.9,2052.95,1955.3,2036.4,301717
2022-02-11 00:00:00+05:30,2050,2050,1980,2016.05,247110
2022-02-14 00:00:00+05:30,1960,2014.5,1915.25,1915.25,74858
2022-02-15 00:00:00+05:30,1898,1938.2,1820.1,1926.95,128675
2022-02-16 00:00:00+05:30,1940.9,2010.2,1912,1932.55,119057
2022-02-17 00:00:00+05:30,1970,2027,1940.05,2020.85,232186
2022-02-18 00:00:00+05:30,2018,2045,1940,1958.1,82693
2022-02-21 00:00:00+05:30,1960,1980,1870,1895.9,62791
2022-02-22 00:00:00+05:30,1861,1985,1810.1,1969.1,156505
2022-02-23 00:00:00+05:30,1995,2067.55,1990,2060.15,170487
2022-02-24 00:00:00+05:30,1990,2053.1,1957.15,1957.3,138084
2022-02-25 00:00:00+05:30,2005.15,2052.5,1985,2032.85,109214
2022-02-28 00:00:00+05:30,2030,2134.45,1990,2134.4,486895
2022-03-02 00:00:00+05:30,2111,2241.1,2111,2241.05,395273
2022-03-03 00:00:00+05:30,2300,2353.1,2286.6,2353.1,456031
2022-03-04 00:00:00+05:30,2370,2464.3,2256.55,2323.2,517693
2022-03-07 00:00:00+05:30,2272.8,2365,2207.05,2207.35,226577
2022-03-08 00:00:00+05:30,2163.2,2306.85,2111.1,2217,185989
2022-03-09 00:00:00+05:30,2300.7,2305.05,2136.9,2164.65,173127
2022-03-10 00:00:00+05:30,2228,2272.85,2180,2272.75,308470
2022-03-11 00:00:00+05:30,2260,2323.7,2211.05,2307.25,163758
2022-03-14 00:00:00+05:30,2312,2333.3,2252.05,2268.3,410270
2022-03-15 00:00:00+05:30,2275,2294.85,2200,2217.55,337239
2022-03-16 00:00:00+05:30,2235,2314.9,2234.95,2305.4,510274
2022-03-17 00:00:00+05:30,2319.5,2420.65,2317,2389.8,2006144
2022-03-21 00:00:00+05:30,2379.9,2379.9,2275,2289.05,239831
2022-03-22 00:00:00+05:30,2324,2384.75,2275,2338.05,295672
2022-03-23 00:00:00+05:30,2368.3,2440,2347.25,2406.7,762205
2022-03-24 00:00:00+05:30,2415,2434.95,2371.75,2414.4,299163
2022-03-25 00:00:00+05:30,2416,2455,2406.35,2448.75,121077
2022-03-28 00:00:00+05:30,2468,2475,2413,2439,120067
2022-03-29 00:00:00+05:30,2472,2496.05,2430,2461.55,154636
2022-03-30 00:00:00+05:30,2495,2583.9,2338.5,2377.4,649362
2022-03-31 00:00:00+05:30,2340,2405,2315.1,2368.15,345752
2022-04-01 00:00:00+05:30,2379.95,2450,2355.1,2421.45,196411
2022-04-04 00:00:00+05:30,2419,2475,2401.95,2453.5,330330
2022-04-05 00:00:00+05:30,2457,2515,2382.2,2443.85,455120
2022-04-06 00:00:00+05:30,2443.85,2504.35,2419.15,2484.05,247889
2022-04-07 00:00:00+05:30,2510,2721.85,2382.3,2449.65,875734
2022-04-08 00:00:00+05:30,2539.95,2576.75,2490,2540.25,346652
