date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,398.8,414.5,391,403.2,33044
2022-01-04 00:00:00+05:30,407,412.5,397,400.7,32881
2022-01-05 00:00:00+05:30,400.7,417.65,399.8,409.4,44787
2022-01-06 00:00:00+05:30,407,407,390,395.55,53802
2022-01-07 00:00:00+05:30,397.9,458.8,390,444,361276
2022-01-10 00:00:00+05:30,449.95,483.95,449.95,469.3,201187
2022-01-11 00:00:00+05:30,474.5,482,460.85,472.35,74302
2022-01-12 00:00:00+05:30,475,523,469.75,506.55,305851
2022-01-13 00:00:00+05:30,507,531,500.2,511.25,164076
2022-01-14 00:00:00+05:30,521,521.4,500,508.2,55592
2022-01-17 00:00:00+05:30,508.2,539.95,501,528.1,102837
2022-01-18 00:00:00+05:30,527,537.25,515,517.25,56465
2022-01-19 00:00:00+05:30,517.5,533,517.5,527.75,39715
2022-01-20 00:00:00+05:30,528,548.9,528,543.8,111944
2022-01-21 00:00:00+05:30,541,548,515.1,527,47043
2022-01-24 00:00:00+05:30,526.55,530,476.25,487.75,73143
2022-01-25 00:00:00+05:30,480,508,452,503.15,63793
2022-01-27 00:00:00+05:30,497,526.45,487.1,515.1,86612
2022-01-28 00:00:00+05:30,524.75,538,505.6,510.35,49181
2022-01-31 00:00:00+05:30,527.85,563.5,519.25,548.1,162048
2022-02-01 00:00:00+05:30,553.7,558,535,538.6,72008
2022-02-02 00:00:00+05:30,542.4,565,541.3,559.45,72525
2022-02-03 00:00:00+05:30,559.25,569.8,543,560.8,62455
2022-02-04 00:00:00+05:30,568,572.85,550,553.3,62836
2022-02-07 00:00:00+05:30,558.5,580.5,557,575.7,92469
2022-02-08 00:00:00+05:30,619.3,628.05,575,590,214406
2022-02-09 00:00:00+05:30,594,597.2,570.15,574.65,45856
2022-02-10 00:00:00+05:30,579.25,589,562.75,568.8,40142
2022-02-11 00:00:00+05:30,560,583,541,563.8,56473
2022-02-14 00:00:00+05:30,534.1,560,511.85,541.3,75737
2022-02-15 00:00:00+05:30,535.1,562.95,535.1,557,65324
2022-02-16 00:00:00+05:30,561,575.5,536.8,547.2,64288
2022-02-17 00:00:00+05:30,548.8,557.9,525,529.65,43763
2022-02-18 00:00:00+05:30,526.2,549.7,519.25,523.9,53183
2022-02-21 00:00:00+05:30,523.9,534,507.55,511.85,56783
2022-02-22 00:00:00+05:30,480,509.55,448.05,489.05,92622
2022-02-23 00:00:00+05:30,500,512,493.25,509.75,92156
2022-02-24 00:00:00+05:30,498,498,433.6,442.1,120338
2022-02-25 00:00:00+05:30,466,484.95,465.95,469.35,92359
2022-02-28 00:00:00+05:30,467,489.05,456.65,483.55,68578
2022-03-02 00:00:00+05:30,480,483.5,471.05,477.5,46263
2022-03-03 00:00:00+05:30,484.95,488.8,475,478.6,37644
2022-03-04 00:00:00+05:30,478.6,478.6,464.1,466.15,36464
2022-03-07 00:00:00+05:30,456.1,459.65,425.8,435.55,66778
2022-03-08 00:00:00+05:30,423,454.9,423,452.25,44862
2022-03-09 00:00:00+05:30,452,473.05,452,467,37304
2022-03-10 00:00:00+05:30,479,494.35,467,470.55,66394
2022-03-11 00:00:00+05:30,478,482.7,460,464.35,37793
2022-03-14 00:00:00+05:30,468.25,482.15,456.95,469.6,43255
2022-03-15 00:00:00+05:30,472.5,482,466.8,474.1,82356
2022-03-16 00:00:00+05:30,479.2,489,472.2,482,52149
2022-03-17 00:00:00+05:30,494.9,554,485,543.75,198427
2022-03-21 00:00:00+05:30,553.2,610,553,575.05,199780
2022-03-22 00:00:00+05:30,580,585,561.2,578.15,75928
2022-03-23 00:00:00+05:30,580.6,608.65,580.6,585,137814
2022-03-24 00:00:00+05:30,575,649.8,575,639.45,220843
2022-03-25 00:00:00+05:30,649.7,655,609,613.25,170939
2022-03-28 00:00:00+05:30,613.4,665.5,594.95,645.15,216856
2022-03-29 00:00:00+05:30,665.8,678,650,653.55,114954
2022-03-30 00:00:00+05:30,655,683.7,655,676.4,82351
2022-03-31 00:00:00+05:30,679.9,692.2,669,674.5,39660
2022-04-01 00:00:00+05:30,670,688.9,660,673.4,30691
2022-04-04 00:00:00+05:30,678.95,679.4,648,650.95,50421
2022-04-05 00:00:00+05:30,656.55,683.95,653,664.85,62446
2022-04-06 00:00:00+05:30,660,670,645,647.35,37796
2022-04-07 00:00:00+05:30,649.9,654.75,631.2,635.1,36677
2022-04-08 00:00:00+05:30,640,662.5,628,631.1,43037
