date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,48.7,56,47.2,54.65,152803
2022-01-04 00:00:00+05:30,58,58,48,52,224998
2022-01-05 00:00:00+05:30,54.2,54.8,49.45,52.7,47857
2022-01-06 00:00:00+05:30,53.25,53.7,51.05,51.6,39526
2022-01-07 00:00:00+05:30,51.7,55.85,51.3,53.6,69002
2022-01-10 00:00:00+05:30,55.9,63,52.7,61.3,350960
2022-01-11 00:00:00+05:30,62.5,62.5,56.8,58.2,108413
2022-01-12 00:00:00+05:30,58.75,60.95,56.5,58.75,106272
2022-01-13 00:00:00+05:30,60.1,60.1,55,55.25,320314
2022-01-14 00:00:00+05:30,56.7,56.95,55.6,55.85,36143
2022-01-17 00:00:00+05:30,55.85,57,52.95,54.15,28669
2022-01-18 00:00:00+05:30,55.45,55.45,48.75,49.55,53217
2022-01-19 00:00:00+05:30,49.55,50.65,46.55,48.05,38146
2022-01-20 00:00:00+05:30,49.05,49.95,48.05,49.35,23703
2022-01-21 00:00:00+05:30,50,52.1,48.25,48.8,21435
2022-01-24 00:00:00+05:30,48.9,49.8,43.95,43.95,26959
2022-01-25 00:00:00+05:30,43.5,44.95,41.7,43.85,25960
2022-01-27 00:00:00+05:30,45.8,46.25,41,45.15,19387
2022-01-28 00:00:00+05:30,47.95,49.65,45.95,47.75,43993
2022-01-31 00:00:00+05:30,49.7,49.7,46.5,46.5,26037
2022-02-01 00:00:00+05:30,47,47.9,44.25,45.8,77051
2022-02-02 00:00:00+05:30,46.45,46.95,44.5,44.9,13033
2022-02-03 00:00:00+05:30,45.5,46.95,45.25,46,11289
2022-02-04 00:00:00+05:30,46,48.35,45,45.55,8327
2022-02-07 00:00:00+05:30,45.4,45.95,44.15,44.5,6687
2022-02-08 00:00:00+05:30,45.4,45.4,43.1,43.65,5752
2022-02-09 00:00:00+05:30,45,45.75,39.35,42.15,157235
2022-02-10 00:00:00+05:30,44,44.5,40.2,42.5,13581
2022-02-11 00:00:00+05:30,41.7,43,40.2,40.75,61229
2022-02-14 00:00:00+05:30,38.1,42.75,38.1,40.3,38297
2022-02-15 00:00:00+05:30,42,44.3,40.35,42.45,34345
2022-02-16 00:00:00+05:30,42.5,43.8,39.25,41.25,21069
2022-02-17 00:00:00+05:30,42.45,43.85,41.5,41.85,3734
2022-02-18 00:00:00+05:30,41.5,42.9,41.5,42.15,8595
2022-02-21 00:00:00+05:30,40.05,41.45,40.05,40.3,2956
2022-02-22 00:00:00+05:30,41,41,37.55,38.4,7033
2022-02-23 00:00:00+05:30,39,42.2,38,40,27974
2022-02-24 00:00:00+05:30,40,40,39,39.55,10073
2022-02-25 00:00:00+05:30,40.65,42.95,40.55,41.75,2961
2022-02-28 00:00:00+05:30,39.05,43.2,39.05,42.85,2559
2022-03-02 00:00:00+05:30,42,42.75,41.15,41.8,2287
2022-03-03 00:00:00+05:30,41.85,41.85,40,40.9,57356
2022-03-04 00:00:00+05:30,40.5,41.05,37.55,38.15,31772
2022-03-07 00:00:00+05:30,36.1,38.7,36.1,38.35,5461
2022-03-08 00:00:00+05:30,39.5,40.35,38.25,40.1,5722
2022-03-09 00:00:00+05:30,40.55,41.7,39.5,40.05,22128
2022-03-10 00:00:00+05:30,42.5,42.5,39.05,40,5550
2022-03-11 00:00:00+05:30,40.95,42,39,40.85,11839
2022-03-14 00:00:00+05:30,41.9,44.1,39.1,40,73868
2022-03-15 00:00:00+05:30,40,41.2,39.45,39.8,4284
2022-03-16 00:00:00+05:30,40,40.25,38.5,39.2,4027
2022-03-17 00:00:00+05:30,39.2,39.7,38.55,38.9,11208
2022-03-21 00:00:00+05:30,38.9,38.9,36.6,37.85,14209
2022-03-22 00:00:00+05:30,36.5,39.95,36.5,39.35,15560
2022-03-23 00:00:00+05:30,39.55,39.55,37.55,37.65,18930
2022-03-24 00:00:00+05:30,37.8,39.5,37.4,38.1,14824
2022-03-25 00:00:00+05:30,38,41.4,36.45,37.95,34561
2022-03-28 00:00:00+05:30,38.2,39.9,34.85,36.35,211567
2022-03-29 00:00:00+05:30,36,36.95,35.6,36,70781
2022-03-30 00:00:00+05:30,36.5,37.35,36.5,36.65,24453
2022-03-31 00:00:00+05:30,36.3,38.35,36.25,37.5,39394
2022-04-01 00:00:00+05:30,38,39.9,37.7,39.1,17745
2022-04-04 00:00:00+05:30,39.15,42.5,38.5,39,85584
2022-04-05 00:00:00+05:30,39.7,40.55,38.75,39.3,19485
2022-04-06 00:00:00+05:30,39.45,39.65,38.55,38.8,9611
2022-04-07 00:00:00+05:30,39.9,39.9,38.55,38.85,27543
2022-04-08 00:00:00+05:30,39.25,39.55,37.05,37.8,8017
