date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,595,642.5,592.05,632.75,1123074
2022-01-04 00:00:00+05:30,629.7,654,618.35,639.8,943975
2022-01-05 00:00:00+05:30,635.9,648.5,631.4,637.1,345322
2022-01-06 00:00:00+05:30,634.9,642,624,634.7,300674
2022-01-07 00:00:00+05:30,646,649,608,619.45,949045
2022-01-10 00:00:00+05:30,610.1,644.4,597.05,629.3,1185655
2022-01-11 00:00:00+05:30,629.7,640.75,619,626,378459
2022-01-12 00:00:00+05:30,630.7,634.9,610.1,618.45,161687
2022-01-13 00:00:00+05:30,623.45,627.9,613.8,619.9,353212
2022-01-14 00:00:00+05:30,623.9,629,616.55,622.95,166453
2022-01-17 00:00:00+05:30,628.5,638.05,616.1,619,269120
2022-01-18 00:00:00+05:30,626,630.05,610,613.5,154614
2022-01-19 00:00:00+05:30,613,621,599.7,610.85,145045
2022-01-20 00:00:00+05:30,605.1,626.4,602.75,605.05,309974
2022-01-21 00:00:00+05:30,596,620.9,595.95,603.1,212651
2022-01-24 00:00:00+05:30,604.9,608.3,571,580.05,317612
2022-01-25 00:00:00+05:30,580,600.8,574.25,592.45,150277
2022-01-27 00:00:00+05:30,590,599,582.8,593.7,49623
2022-01-28 00:00:00+05:30,596.9,610.95,590,594.2,98971
2022-01-31 00:00:00+05:30,599.65,604,581,584.5,200431
2022-02-01 00:00:00+05:30,589,598,580,589.1,140359
2022-02-02 00:00:00+05:30,591.1,601,589.1,593.45,67753
2022-02-03 00:00:00+05:30,589.25,595.95,586.35,587,40506
2022-02-04 00:00:00+05:30,588,590.05,574,587.5,66736
2022-02-07 00:00:00+05:30,587,589.65,580,583.4,37641
2022-02-08 00:00:00+05:30,583,590,570.15,583.15,102788
2022-02-09 00:00:00+05:30,586,591,570,581.85,134125
2022-02-10 00:00:00+05:30,583,607.75,582.15,605.7,193406
2022-02-11 00:00:00+05:30,612.95,613.8,550,591.8,186326
2022-02-14 00:00:00+05:30,575.4,585.95,554.5,568.7,231591
2022-02-15 00:00:00+05:30,566,592.4,557.25,586.15,294912
2022-02-16 00:00:00+05:30,585,591.5,570.1,571.75,63886
2022-02-17 00:00:00+05:30,573,578,562,572.85,134045
2022-02-18 00:00:00+05:30,567.1,573.3,560.2,566.2,110431
2022-02-21 00:00:00+05:30,559.8,568.15,556,563.2,81389
2022-02-22 00:00:00+05:30,550.1,564,546.1,560.45,141915
2022-02-23 00:00:00+05:30,557.1,572.4,556.4,560.9,21214
2022-02-24 00:00:00+05:30,550.85,556.65,542.05,551.4,159114
2022-02-25 00:00:00+05:30,555,564.9,555,559.8,128129
2022-02-28 00:00:00+05:30,559.8,561.45,554.05,559,27790
2022-03-02 00:00:00+05:30,554.1,565,552.1,555.7,39794
2022-03-03 00:00:00+05:30,555,566.9,555,562.3,37897
2022-03-04 00:00:00+05:30,554,564.65,554,556.9,30004
2022-03-07 00:00:00+05:30,555,561.2,552,559.15,35960
2022-03-08 00:00:00+05:30,556.1,601.8,556.1,583.65,221988
2022-03-09 00:00:00+05:30,590.5,590.5,572.4,584.5,108550
2022-03-10 00:00:00+05:30,589.75,590,570,578.1,78707
2022-03-11 00:00:00+05:30,580,584,570.75,572.85,137947
2022-03-14 00:00:00+05:30,569,577.45,560.75,568.45,75359
2022-03-15 00:00:00+05:30,570,573.4,563,564.25,20416
2022-03-16 00:00:00+05:30,576.75,576.75,569.2,573.85,23949
2022-03-17 00:00:00+05:30,579.75,580.5,567.5,570.05,43670
2022-03-21 00:00:00+05:30,572,578.5,566.15,576.2,44046
2022-03-22 00:00:00+05:30,580.7,589.25,578,586.7,74431
2022-03-23 00:00:00+05:30,590,596.05,582,588.35,77295
2022-03-24 00:00:00+05:30,585,592.45,585,591.55,29237
2022-03-25 00:00:00+05:30,593,597.8,591,594,46448
2022-03-28 00:00:00+05:30,594.45,596.4,589.05,593.8,22276
2022-03-29 00:00:00+05:30,595,599,588.55,595.15,159873
2022-03-30 00:00:00+05:30,604.8,623,602,606.5,231414
2022-03-31 00:00:00+05:30,610,612.4,603,606.3,63685
2022-04-01 00:00:00+05:30,617,617,605.2,608.4,32767
2022-04-04 00:00:00+05:30,610,618.25,606,614.5,89938
2022-04-05 00:00:00+05:30,615,619,611.25,612.3,37100
2022-04-06 00:00:00+05:30,612,636,611.05,621.25,82435
2022-04-07 00:00:00+05:30,620,625,606,609.8,103797
2022-04-08 00:00:00+05:30,609,621.8,609,610.9,41255
