date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,344.75,350.5,342.2,348.45,214083
2022-01-04 00:00:00+05:30,346,353,340.05,347.65,106346
2022-01-05 00:00:00+05:30,350,350,311.1,342.9,150148
2022-01-06 00:00:00+05:30,340.25,360,340.15,358.9,1022373
2022-01-07 00:00:00+05:30,358.7,359,351.05,357.6,355475
2022-01-10 00:00:00+05:30,361,363.85,356.1,359.9,404060
2022-01-11 00:00:00+05:30,354.1,361.8,346.2,350,278409
2022-01-12 00:00:00+05:30,354.7,355.2,348,349.3,186330
2022-01-13 00:00:00+05:30,351,354.15,348.05,351.35,100884
2022-01-14 00:00:00+05:30,350.05,375,350.05,366.4,1367860
2022-01-17 00:00:00+05:30,367.1,372,361.05,364.05,288299
2022-01-18 00:00:00+05:30,364.25,365.4,343,348,346132
2022-01-19 00:00:00+05:30,348,361.95,347,351.45,177951
2022-01-20 00:00:00+05:30,350.6,355.85,347.25,351.3,73002
2022-01-21 00:00:00+05:30,348.25,371.5,348.25,367.5,844780
2022-01-24 00:00:00+05:30,366.4,366.4,345.35,351.3,204888
2022-01-25 00:00:00+05:30,347.3,357.4,345.25,351.65,118941
2022-01-27 00:00:00+05:30,347.3,355.55,346.05,350.1,655578
2022-01-28 00:00:00+05:30,354.75,367.8,352.55,360.65,247906
2022-01-31 00:00:00+05:30,360,370,349.25,361.5,362576
2022-02-01 00:00:00+05:30,363,376.85,355.8,363.9,650790
2022-02-02 00:00:00+05:30,365,393.8,365,390.4,2478478
2022-02-03 00:00:00+05:30,390.1,394.9,382,382.95,553404
2022-02-04 00:00:00+05:30,386.7,388.15,365,369.85,415428
2022-02-07 00:00:00+05:30,369.9,379,360.85,370.1,290640
2022-02-08 00:00:00+05:30,372,373.2,354.1,357.5,651965
2022-02-09 00:00:00+05:30,360,369.4,360,366.7,181430
2022-02-10 00:00:00+05:30,365,375.5,365,369.2,274605
2022-02-11 00:00:00+05:30,368,377.85,363.1,366.6,297682
2022-02-14 00:00:00+05:30,360,364.65,353,358.1,271313
2022-02-15 00:00:00+05:30,358.1,362.9,352.7,360.05,226103
2022-02-16 00:00:00+05:30,361.7,371.4,361.7,366.85,356375
2022-02-17 00:00:00+05:30,368.8,369.45,364.45,366.1,126622
2022-02-18 00:00:00+05:30,366,374.4,352.3,355.25,162324
2022-02-21 00:00:00+05:30,353,354.5,346.15,349.3,355450
2022-02-22 00:00:00+05:30,344.85,347.75,335.25,338.35,187913
2022-02-23 00:00:00+05:30,340,345.6,339.9,341.75,99869
2022-02-24 00:00:00+05:30,325.25,339.75,314.25,322.9,734358
2022-02-25 00:00:00+05:30,325.9,337,325.9,329.95,187666
2022-02-28 00:00:00+05:30,324,352,324,343.75,135300
2022-03-02 00:00:00+05:30,335.3,343.75,330.1,338.3,121858
2022-03-03 00:00:00+05:30,339.8,342.5,330.05,335.15,262747
2022-03-04 00:00:00+05:30,332.1,335.25,328.8,331.15,174509
2022-03-07 00:00:00+05:30,321.25,349.4,321.25,346.05,1317456
2022-03-08 00:00:00+05:30,345,348,335.05,339.15,113244
2022-03-09 00:00:00+05:30,342.9,345,336,339.1,97156
2022-03-10 00:00:00+05:30,344.3,348.9,340,346.9,113532
2022-03-11 00:00:00+05:30,346,374.4,346,370.4,483356
2022-03-14 00:00:00+05:30,369.7,372.85,360.95,368.7,148626
2022-03-15 00:00:00+05:30,369.9,374.85,360.15,369.05,149092
2022-03-16 00:00:00+05:30,367,373.55,362.4,364.95,165388
2022-03-17 00:00:00+05:30,372,389,367.05,382.2,378557
2022-03-21 00:00:00+05:30,382,393,362.35,369.45,279679
2022-03-22 00:00:00+05:30,367.1,377.65,358.45,360.6,307829
2022-03-23 00:00:00+05:30,361.05,362.95,332.05,335,785982
2022-03-24 00:00:00+05:30,335,335,325.2,326.75,265824
2022-03-25 00:00:00+05:30,330,330.85,318.5,323.75,222831
2022-03-28 00:00:00+05:30,326.5,326.5,314.05,315.5,185452
2022-03-29 00:00:00+05:30,318,326,310,321.95,333067
2022-03-30 00:00:00+05:30,325,349.4,320,342.75,353786
2022-03-31 00:00:00+05:30,342,346.6,334.1,340.55,225487
2022-04-01 00:00:00+05:30,339.7,344.85,336,342.5,142058
2022-04-04 00:00:00+05:30,343.5,352,343.5,349.55,262749
2022-04-05 00:00:00+05:30,350,352.2,340.25,344.25,289744
2022-04-06 00:00:00+05:30,345,347.65,337.05,339.25,156769
2022-04-07 00:00:00+05:30,341.45,341.45,330,333.65,214847
2022-04-08 00:00:00+05:30,337.9,341.95,329.55,331.55,94731
