date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,199.95,236.45,198,236.45,462193
2022-01-04 00:00:00+05:30,265,273.9,238.85,244.65,1030050
2022-01-05 00:00:00+05:30,244.65,250.35,233.05,237.05,112401
2022-01-06 00:00:00+05:30,238.9,244.45,230,238.5,82124
2022-01-07 00:00:00+05:30,238.2,276.2,238.2,270.7,497406
2022-01-10 00:00:00+05:30,268.95,274,256,257.5,182181
2022-01-11 00:00:00+05:30,261,261.6,245,246.45,61432
2022-01-12 00:00:00+05:30,248.8,271.05,248.5,271.05,229883
2022-01-13 00:00:00+05:30,278,287.75,261.05,262.1,309256
2022-01-14 00:00:00+05:30,263,268.15,250,254,108434
2022-01-17 00:00:00+05:30,258,263.85,251,253.95,48478
2022-01-18 00:00:00+05:30,257.9,279.3,256.4,268.05,540389
2022-01-19 00:00:00+05:30,268.85,272.8,257.55,262.4,110133
2022-01-20 00:00:00+05:30,258,270.1,258,267,71923
2022-01-21 00:00:00+05:30,266.95,268,249.1,255.6,49834
2022-01-24 00:00:00+05:30,263.9,263.9,230.5,238.95,69383
2022-01-25 00:00:00+05:30,235.1,250.95,229,243.1,52831
2022-01-27 00:00:00+05:30,239.85,255,239.1,250.75,57533
2022-01-28 00:00:00+05:30,252,266.35,252,259.3,78928
2022-01-31 00:00:00+05:30,267.9,278.5,267.9,270.9,244662
2022-02-01 00:00:00+05:30,273.05,278,267.5,274.2,96387
2022-02-02 00:00:00+05:30,274.1,301.6,273,301.6,229266
2022-02-03 00:00:00+05:30,315,328.05,307.65,315.8,299791
2022-02-04 00:00:00+05:30,319.95,344,316.05,337.85,266254
2022-02-07 00:00:00+05:30,339.85,340.35,321,321,89660
2022-02-08 00:00:00+05:30,304.95,328,304.95,304.95,231355
2022-02-09 00:00:00+05:30,305.95,312.35,293.55,308.15,128145
2022-02-10 00:00:00+05:30,315,316.95,304,307.1,48289
2022-02-11 00:00:00+05:30,293.55,321.1,293.55,310.4,67463
2022-02-14 00:00:00+05:30,300.05,323.7,298,310.15,125904
2022-02-15 00:00:00+05:30,318,325.65,315,325.65,100073
2022-02-16 00:00:00+05:30,331.05,341.9,331.05,341.9,37013
2022-02-17 00:00:00+05:30,358.95,358.95,326.8,332.35,191784
2022-02-18 00:00:00+05:30,335.85,348.95,331.55,348.95,85974
2022-02-21 00:00:00+05:30,350,363.95,334,335.8,151870
2022-02-22 00:00:00+05:30,329.5,340,322,330.95,115440
2022-02-23 00:00:00+05:30,332,344.7,332,334.85,31264
2022-02-24 00:00:00+05:30,323,333,318.15,318.15,107709
2022-02-25 00:00:00+05:30,334.05,334.05,319.35,334.05,81878
2022-02-28 00:00:00+05:30,350.75,350.75,341.35,350.75,90842
2022-03-02 00:00:00+05:30,365,368.25,359.45,363.1,204334
2022-03-03 00:00:00+05:30,369,381.25,359.05,377.6,109412
2022-03-04 00:00:00+05:30,379,396.45,369,394.8,152981
2022-03-07 00:00:00+05:30,385,389,375.1,380.9,132878
2022-03-08 00:00:00+05:30,379,399.9,379,399.9,67666
2022-03-09 00:00:00+05:30,411,419.85,406.05,419.85,92440
2022-03-10 00:00:00+05:30,436,440.8,424,439.2,142347
2022-03-11 00:00:00+05:30,451,458,433.1,437.95,147137
2022-03-14 00:00:00+05:30,435.8,459.05,423,458.4,127691
2022-03-15 00:00:00+05:30,473.5,479.5,445,454.5,130251
2022-03-16 00:00:00+05:30,455.15,468.5,440.05,444.5,71106
2022-03-17 00:00:00+05:30,447.05,459,427.65,434.15,75497
2022-03-21 00:00:00+05:30,436,439,412.45,412.65,106978
2022-03-22 00:00:00+05:30,412,429,400,408.15,115694
2022-03-23 00:00:00+05:30,404,419.95,394,410.2,39737
2022-03-24 00:00:00+05:30,415.7,415.7,397.4,400.55,28983
2022-03-25 00:00:00+05:30,400.05,409.5,390.1,392.75,44144
2022-03-28 00:00:00+05:30,399.7,412.35,398.85,412.35,46608
2022-03-29 00:00:00+05:30,423.8,428.45,398.1,401.45,59247
2022-03-30 00:00:00+05:30,402,414.7,400,403.1,27656
2022-03-31 00:00:00+05:30,404.4,414,396,396.9,26108
2022-04-01 00:00:00+05:30,407.95,416.7,399.05,416.7,28864
2022-04-04 00:00:00+05:30,437.5,437.5,437.5,437.5,11296
2022-04-05 00:00:00+05:30,459.35,459.35,459.35,459.35,29003
2022-04-06 00:00:00+05:30,446,479,440,443.1,209220
2022-04-07 00:00:00+05:30,456.7,456.7,432,442.4,49181
2022-04-08 00:00:00+05:30,449.95,464.5,442.85,464.5,128179
