date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,99.9,101.2,98.35,98.85,115703
2022-01-04 00:00:00+05:30,99.8,100,96.7,97.2,154969
2022-01-05 00:00:00+05:30,98,99.3,96.55,97.25,99220
2022-01-06 00:00:00+05:30,96.4,98,96.2,96.95,42701
2022-01-07 00:00:00+05:30,98,112,97,108.7,755195
2022-01-10 00:00:00+05:30,109.55,113.65,106.1,106.8,476309
2022-01-11 00:00:00+05:30,106.8,108.05,104,105.25,201910
2022-01-12 00:00:00+05:30,106,108.35,104.1,105.1,109073
2022-01-13 00:00:00+05:30,105.4,111.5,105.25,109,347901
2022-01-14 00:00:00+05:30,108.8,118,107.2,111.1,650470
2022-01-17 00:00:00+05:30,111.85,133.3,111.35,121.6,1292401
2022-01-18 00:00:00+05:30,123,126,118.5,119.9,417616
2022-01-19 00:00:00+05:30,120.5,130,117,125.5,667413
2022-01-20 00:00:00+05:30,126.4,127.4,122,122.85,192655
2022-01-21 00:00:00+05:30,122.4,125.95,117,118.35,158825
2022-01-24 00:00:00+05:30,119.65,119.65,94.7,107.55,344725
2022-01-25 00:00:00+05:30,109.7,117,101.15,114.6,202765
2022-01-27 00:00:00+05:30,108.9,116,108.9,113.25,77169
2022-01-28 00:00:00+05:30,113.2,119.7,112.95,113.55,140641
2022-01-31 00:00:00+05:30,116.6,117.35,110,110.95,126783
2022-02-01 00:00:00+05:30,111.3,114.7,105.9,113.6,196500
2022-02-02 00:00:00+05:30,114,115.25,110.1,111.5,123952
2022-02-03 00:00:00+05:30,110.8,119,110.4,114.9,339163
2022-02-04 00:00:00+05:30,117,124.4,116.55,118.7,849617
2022-02-07 00:00:00+05:30,118.45,122.85,117.2,118.75,163766
2022-02-08 00:00:00+05:30,119,119,95,108.3,289270
2022-02-09 00:00:00+05:30,98.35,104.4,98.15,101.45,558521
2022-02-10 00:00:00+05:30,103,109.7,102,105.5,265271
2022-02-11 00:00:00+05:30,105.5,108,103.85,104.95,117760
2022-02-14 00:00:00+05:30,103.9,109.25,101.55,103.2,207113
2022-02-15 00:00:00+05:30,103,108.8,102.7,105.3,117573
2022-02-16 00:00:00+05:30,105.85,111.15,105.55,108.7,200414
2022-02-17 00:00:00+05:30,111.1,111.9,107.75,109.3,140648
2022-02-18 00:00:00+05:30,108.5,111,106.1,107.75,90689
2022-02-21 00:00:00+05:30,107,107,100,101.9,90304
2022-02-22 00:00:00+05:30,99.5,103.2,97.95,101.45,147152
2022-02-23 00:00:00+05:30,103.9,104.7,100.25,100.9,42314
2022-02-24 00:00:00+05:30,99.95,102.6,89,91.3,326958
2022-02-25 00:00:00+05:30,95.85,103.65,95.85,99.55,120798
2022-02-28 00:00:00+05:30,99,103,97.65,101.2,89586
2022-03-02 00:00:00+05:30,100.5,105,100.5,102.8,92554
2022-03-03 00:00:00+05:30,104,108,103,103.7,118613
2022-03-04 00:00:00+05:30,102,106.5,101.75,103.25,108614
2022-03-07 00:00:00+05:30,101.5,101.5,96.65,98.1,101043
2022-03-08 00:00:00+05:30,97.6,102,91.75,99.4,129842
2022-03-09 00:00:00+05:30,100.1,105,99,103.85,138861
2022-03-10 00:00:00+05:30,107,107,104,104.95,110272
2022-03-11 00:00:00+05:30,105.05,108.45,103.8,107,465236
2022-03-14 00:00:00+05:30,106,109,103.1,103.45,108893
2022-03-15 00:00:00+05:30,105,106.2,101,101.4,154793
2022-03-16 00:00:00+05:30,102.5,103.85,101.55,102.4,98916
2022-03-17 00:00:00+05:30,103.5,104.05,100.1,100.95,116405
2022-03-21 00:00:00+05:30,102.5,103.85,101.1,102.5,180801
2022-03-22 00:00:00+05:30,102.9,106.75,102.25,104.1,382523
2022-03-23 00:00:00+05:30,106.75,124.9,106.75,124.9,1925056
2022-03-24 00:00:00+05:30,131.45,137.9,124.05,129.05,2839516
2022-03-25 00:00:00+05:30,129.3,138.4,123.55,124.75,1079625
2022-03-28 00:00:00+05:30,125.5,134.1,122.85,130.35,621408
2022-03-29 00:00:00+05:30,133.3,138,130.4,132.9,874429
2022-03-30 00:00:00+05:30,134.8,135.3,125,127.8,235847
2022-03-31 00:00:00+05:30,128.9,136.8,126,127.7,320804
2022-04-01 00:00:00+05:30,129,133.95,127.55,131.3,256657
2022-04-04 00:00:00+05:30,142.9,155.3,139.75,145.45,2639179
2022-04-05 00:00:00+05:30,147.7,155.35,142.15,151.65,1058151
2022-04-06 00:00:00+05:30,155,169.5,154.1,164,3324917
2022-04-07 00:00:00+05:30,164.7,172,156.4,170.45,2233396
2022-04-08 00:00:00+05:30,173.75,175.25,160.25,165.2,1633221
