date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,2300,2357.45,2287.65,2332.15,263893
2022-01-04 00:00:00+05:30,2348.95,2444,2301.1,2396.65,827150
2022-01-05 00:00:00+05:30,2399.75,2468,2368.15,2419.3,641490
2022-01-06 00:00:00+05:30,2413.95,2448.85,2371,2416.1,493696
2022-01-07 00:00:00+05:30,2412,2450.55,2395.15,2436.5,377819
2022-01-10 00:00:00+05:30,2436.5,2471.45,2433,2453.9,463006
2022-01-11 00:00:00+05:30,2469.05,2512.4,2436.25,2452.65,619575
2022-01-12 00:00:00+05:30,2478.35,2494,2445.2,2485.6,300468
2022-01-13 00:00:00+05:30,2490,2524.95,2464.25,2483.45,410140
2022-01-14 00:00:00+05:30,2490,2508.95,2450,2467.9,328244
2022-01-17 00:00:00+05:30,2478.8,2524.95,2457.45,2465.1,428229
2022-01-18 00:00:00+05:30,2475,2478.05,2410,2431.15,293379
2022-01-19 00:00:00+05:30,2431.15,2450,2382.2,2391.35,268489
2022-01-20 00:00:00+05:30,2398.75,2450,2384,2443.85,268372
2022-01-21 00:00:00+05:30,2444.75,2444.75,2357.05,2376.95,281082
2022-01-24 00:00:00+05:30,2378,2378,2150.2,2172.3,683925
2022-01-25 00:00:00+05:30,2170,2178,2042.55,2112.2,772069
2022-01-27 00:00:00+05:30,2110,2110.05,2050,2073.75,567543
2022-01-28 00:00:00+05:30,2092,2145.95,2092,2100.3,524131
2022-01-31 00:00:00+05:30,2146.4,2179,2124.4,2159.45,356637
2022-02-01 00:00:00+05:30,2195.5,2198.95,2132.8,2181.9,335356
2022-02-02 00:00:00+05:30,2200.6,2239.3,2175,2220.1,334240
2022-02-03 00:00:00+05:30,2235,2235,2170.05,2184.25,355057
2022-02-04 00:00:00+05:30,2171,2199,2139.5,2180.6,334860
2022-02-07 00:00:00+05:30,2160,2178.3,2071,2110,392740
2022-02-08 00:00:00+05:30,2081.15,2134.75,2075,2120.15,342518
2022-02-09 00:00:00+05:30,2120.15,2155,2100.85,2134.45,395723
2022-02-10 00:00:00+05:30,2150.5,2160,2103.15,2122.95,288130
2022-02-11 00:00:00+05:30,2111.55,2111.55,2060,2073.85,361675
2022-02-14 00:00:00+05:30,2031,2038.35,1966,1976.25,528852
2022-02-15 00:00:00+05:30,1980,2000,1915.15,1940.7,687475
2022-02-16 00:00:00+05:30,1968,1978.35,1900,1905.5,618568
2022-02-17 00:00:00+05:30,1925,1932.95,1867.25,1876.6,556912
2022-02-18 00:00:00+05:30,1855.3,1873,1805.05,1814.25,732937
2022-02-21 00:00:00+05:30,1800,1844.4,1783.05,1821.35,603962
2022-02-22 00:00:00+05:30,1768.55,1862.4,1753.55,1845,536773
2022-02-23 00:00:00+05:30,1860,1930,1841.7,1914.5,611392
2022-02-24 00:00:00+05:30,1821,1867.05,1765.1,1783.2,727156
2022-02-25 00:00:00+05:30,1850,1921.85,1820,1910.6,507127
2022-02-28 00:00:00+05:30,1900,1948.9,1856,1941.75,404752
2022-03-02 00:00:00+05:30,1926,1949.1,1885,1905.95,405345
2022-03-03 00:00:00+05:30,1940,1940,1860.05,1868.95,365730
2022-03-04 00:00:00+05:30,1868.95,1880,1828,1848.8,348052
2022-03-07 00:00:00+05:30,1814.8,1853,1785.05,1828.05,283897
2022-03-08 00:00:00+05:30,1825,1877,1816,1832.25,224504
2022-03-09 00:00:00+05:30,1844,1854.85,1826.25,1845.8,364179
2022-03-10 00:00:00+05:30,1885,1945.55,1883.65,1936.3,829262
2022-03-11 00:00:00+05:30,1949.5,1969,1897.35,1955.7,332671
2022-03-14 00:00:00+05:30,1955.7,1985,1912.9,1973.45,330439
2022-03-15 00:00:00+05:30,1990,1990,1923.05,1969.8,362577
2022-03-16 00:00:00+05:30,1975.05,2049.35,1975.05,2039.25,344284
2022-03-17 00:00:00+05:30,2047.95,2098.8,2017.75,2029.95,476699
2022-03-21 00:00:00+05:30,2029.95,2052.95,1998,2019.45,318153
2022-03-22 00:00:00+05:30,2004.9,2032,1979,2019.65,232524
2022-03-23 00:00:00+05:30,2030.3,2045.35,1996.4,2003.3,221539
2022-03-24 00:00:00+05:30,1990,2055.85,1987.15,2036.25,229606
2022-03-25 00:00:00+05:30,2050,2060.1,1920.05,1957.1,635229
2022-03-28 00:00:00+05:30,1955,2012,1941.1,2000.4,339588
2022-03-29 00:00:00+05:30,2019.4,2019.4,1965.05,2006.4,234999
2022-03-30 00:00:00+05:30,2019,2021.55,1995.35,2011.7,334656
2022-03-31 00:00:00+05:30,2010,2100,1991,2022.95,359903
2022-04-01 00:00:00+05:30,2034,2034,1976,1980.7,415551
2022-04-04 00:00:00+05:30,2006.9,2014.75,1975.65,1980.45,383282
2022-04-05 00:00:00+05:30,1995.5,2057.6,1983,2045.6,508599
2022-04-06 00:00:00+05:30,2049,2070,2015,2054.25,337604
2022-04-07 00:00:00+05:30,2054.05,2090,2045,2081.1,369602
2022-04-08 00:00:00+05:30,2086.5,2114.95,2046.9,2060.4,388116
