date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,15.1,15.3,14.5,15.1,5711339
2022-01-04 00:00:00+05:30,15.75,15.85,15.6,15.85,18954363
2022-01-05 00:00:00+05:30,16.6,16.6,16.25,16.6,29669652
2022-01-06 00:00:00+05:30,17,17.4,16.8,17.4,23189809
2022-01-07 00:00:00+05:30,18.25,18.25,16.55,16.85,50360627
2022-01-10 00:00:00+05:30,17.45,17.45,16.15,17.2,28333601
2022-01-11 00:00:00+05:30,17.3,17.3,16.35,16.35,11606154
2022-01-12 00:00:00+05:30,16.4,16.8,15.55,15.9,12552628
2022-01-13 00:00:00+05:30,16.25,16.65,15.9,16.65,22393588
2022-01-14 00:00:00+05:30,16.9,17.4,16.35,16.9,14325573
2022-01-17 00:00:00+05:30,17.2,17.45,16.5,16.95,15269285
2022-01-18 00:00:00+05:30,17.1,17.25,16.3,16.4,15383855
2022-01-19 00:00:00+05:30,16.35,16.5,15.9,16.15,8133972
2022-01-20 00:00:00+05:30,16.3,16.8,16.2,16.6,9971038
2022-01-21 00:00:00+05:30,16.75,16.85,16.15,16.4,5958965
2022-01-24 00:00:00+05:30,16.4,16.65,15.6,15.6,7747223
2022-01-25 00:00:00+05:30,15.05,15.7,14.85,15.45,11794075
2022-01-27 00:00:00+05:30,15.3,16.2,14.95,16.2,8906318
2022-01-28 00:00:00+05:30,16.9,17,16.6,17,14860841
2022-01-31 00:00:00+05:30,17.5,17.8,16.7,16.8,8323919
2022-02-01 00:00:00+05:30,17.15,17.15,16,16.2,7908621
2022-02-02 00:00:00+05:30,16.25,16.65,16.25,16.35,3039044
2022-02-03 00:00:00+05:30,16.35,17.1,15.95,16.8,11049101
2022-02-04 00:00:00+05:30,17.15,17.15,16.45,16.55,7366985
2022-02-07 00:00:00+05:30,16.65,17.2,16.6,16.8,10642300
2022-02-08 00:00:00+05:30,17,17,16.2,16.45,5120132
2022-02-09 00:00:00+05:30,16.55,17.15,16.3,16.95,13299919
2022-02-10 00:00:00+05:30,16.8,16.9,16.15,16.15,13403659
2022-02-11 00:00:00+05:30,15.9,16.35,15.35,15.4,8710950
2022-02-14 00:00:00+05:30,14.65,15.05,14.65,14.65,10068334
2022-02-15 00:00:00+05:30,14.45,14.9,13.95,14.75,7039098
2022-02-16 00:00:00+05:30,15.1,15.45,14.85,15.25,3944053
2022-02-17 00:00:00+05:30,15.5,15.5,14.75,14.85,2951826
2022-02-18 00:00:00+05:30,14.7,15,14.4,14.4,2460879
2022-02-21 00:00:00+05:30,14.15,14.6,13.8,13.9,4107976
2022-02-22 00:00:00+05:30,13.4,13.65,13.25,13.35,5972626
2022-02-23 00:00:00+05:30,13.4,14,13.4,14,3187830
2022-02-24 00:00:00+05:30,13.45,13.85,13.3,13.3,5918300
2022-02-25 00:00:00+05:30,13.4,13.9,13.4,13.6,3832696
2022-02-28 00:00:00+05:30,13.45,13.7,13.15,13.5,6053392
2022-03-02 00:00:00+05:30,13.3,13.9,13.3,13.8,3922370
2022-03-03 00:00:00+05:30,14.2,14.45,14.1,14.45,4973578
2022-03-04 00:00:00+05:30,14.95,14.95,14.15,14.55,6747706
2022-03-07 00:00:00+05:30,14.45,14.65,14,14.45,6706742
2022-03-08 00:00:00+05:30,14.55,15.15,14.55,14.9,7136031
2022-03-09 00:00:00+05:30,15.3,15.6,15.05,15.6,5773839
2022-03-10 00:00:00+05:30,16.1,16.35,15.35,15.55,17533285
2022-03-11 00:00:00+05:30,15.75,16.3,15.4,16.3,9887810
2022-03-14 00:00:00+05:30,16.3,17,15.75,16.45,19677598
2022-03-15 00:00:00+05:30,16.5,16.7,15.65,15.7,11017715
2022-03-16 00:00:00+05:30,15.9,16.1,15.7,15.8,4067885
2022-03-17 00:00:00+05:30,15.95,16,15.5,15.55,3912553
2022-03-21 00:00:00+05:30,15.8,16.1,15.7,15.8,5033008
2022-03-22 00:00:00+05:30,15.8,15.85,15.4,15.45,5223182
2022-03-23 00:00:00+05:30,15.55,15.6,15.1,15.15,3702958
2022-03-24 00:00:00+05:30,15.05,15.3,14.95,15,4594683
2022-03-25 00:00:00+05:30,15.05,15.1,14.5,14.65,4751508
2022-03-28 00:00:00+05:30,14.7,14.8,14.2,14.25,6424300
2022-03-29 00:00:00+05:30,14.4,14.95,14.2,14.35,8141829
2022-03-30 00:00:00+05:30,14.4,14.95,14.35,14.5,4691674
2022-03-31 00:00:00+05:30,14.4,14.5,14.15,14.2,4789009
2022-04-01 00:00:00+05:30,14.3,14.9,14.25,14.9,2465562
2022-04-04 00:00:00+05:30,15,15.6,15,15.6,4150853
2022-04-05 00:00:00+05:30,15.8,16.2,15.75,15.85,7531536
2022-04-06 00:00:00+05:30,15.8,16.6,15.75,16.6,13097667
2022-04-07 00:00:00+05:30,17.2,18.25,16.9,18,42584485
2022-04-08 00:00:00+05:30,18.5,18.7,16.95,17.4,18381825
