date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,62.9,63.8,62.05,62.3,197456
2022-01-04 00:00:00+05:30,62.85,62.85,61.85,62.3,95907
2022-01-05 00:00:00+05:30,62.25,62.6,61.35,61.75,95605
2022-01-06 00:00:00+05:30,61.75,62.55,61.4,62.2,96706
2022-01-07 00:00:00+05:30,62.25,64.15,62.25,62.55,157661
2022-01-10 00:00:00+05:30,62.7,64.15,62.4,63.9,164767
2022-01-11 00:00:00+05:30,64.45,69,63.8,67.75,1594794
2022-01-12 00:00:00+05:30,68.35,69.4,66.6,67.25,658732
2022-01-13 00:00:00+05:30,67.75,67.75,66,66.45,206181
2022-01-14 00:00:00+05:30,66.35,67.5,66.3,67.05,203915
2022-01-17 00:00:00+05:30,67.15,67.8,65.25,65.7,251916
2022-01-18 00:00:00+05:30,66.2,67,62.7,63.3,195233
2022-01-19 00:00:00+05:30,62.4,64.8,61.9,62.15,323948
2022-01-20 00:00:00+05:30,62.5,64.65,62.4,63.45,160982
2022-01-21 00:00:00+05:30,63.3,64.4,58.95,61.2,310661
2022-01-24 00:00:00+05:30,61.95,61.95,58.6,59.05,239394
2022-01-25 00:00:00+05:30,59.05,60.2,58.2,59.7,92503
2022-01-27 00:00:00+05:30,58.6,65.55,58.6,62.3,813760
2022-01-28 00:00:00+05:30,62.5,64.2,62.1,62.4,213246
2022-01-31 00:00:00+05:30,63.15,63.15,61.1,62.5,202853
2022-02-01 00:00:00+05:30,62.25,63,61.15,62.15,132753
2022-02-02 00:00:00+05:30,63.15,64.65,62.05,62.85,263531
2022-02-03 00:00:00+05:30,62.95,64.7,62.7,63.65,156747
2022-02-04 00:00:00+05:30,63.65,75.8,63.5,73.4,3783587
2022-02-07 00:00:00+05:30,72.45,82,70.35,76.85,4675026
2022-02-08 00:00:00+05:30,75.5,77.65,72.2,73.25,866859
2022-02-09 00:00:00+05:30,73.85,81.3,73.55,75.45,1944982
2022-02-10 00:00:00+05:30,75.7,89,73.55,87.1,5191943
2022-02-11 00:00:00+05:30,83.95,88.35,78.2,79.55,2808067
2022-02-14 00:00:00+05:30,75.65,82.95,72.15,73.4,1353428
2022-02-15 00:00:00+05:30,74.95,80,74.1,75.75,1101678
2022-02-16 00:00:00+05:30,76.55,86.95,75.6,79.55,2372372
2022-02-17 00:00:00+05:30,81.1,84.95,79.5,81.6,1138234
2022-02-18 00:00:00+05:30,81.9,83.7,81.05,81.6,653363
2022-02-21 00:00:00+05:30,80.15,81.8,73.8,74.7,471771
2022-02-22 00:00:00+05:30,71,83,69.85,78.15,2429371
2022-02-23 00:00:00+05:30,78.9,80.9,76.2,77.15,641495
2022-02-24 00:00:00+05:30,71.5,74.65,69.1,70.55,812245
2022-02-25 00:00:00+05:30,72.45,78.4,72.4,76.85,682057
2022-02-28 00:00:00+05:30,76.3,77.9,74.15,75.55,527898
2022-03-02 00:00:00+05:30,76.4,78.15,75.1,75.85,342015
2022-03-03 00:00:00+05:30,77.7,78.35,73.25,74.1,455607
2022-03-04 00:00:00+05:30,74.4,75.25,70.6,71.5,600264
2022-03-07 00:00:00+05:30,70.1,75.8,69.1,73.55,684566
2022-03-08 00:00:00+05:30,73,76.5,73,75.7,292558
2022-03-09 00:00:00+05:30,75.8,78.4,75.2,76.5,354153
2022-03-10 00:00:00+05:30,77.4,79.3,75.05,75.75,297189
2022-03-11 00:00:00+05:30,75.9,77.2,74.75,76.2,205683
2022-03-14 00:00:00+05:30,76.45,79.5,75.55,76.9,427484
2022-03-15 00:00:00+05:30,76.95,79.9,73.05,73.65,1231280
2022-03-16 00:00:00+05:30,75,76.4,73.35,74.25,230506
2022-03-17 00:00:00+05:30,74.6,76.35,74,74.3,278133
2022-03-21 00:00:00+05:30,75.2,75.2,72.9,73.7,226901
2022-03-22 00:00:00+05:30,73.8,75.7,73.75,74.3,255273
2022-03-23 00:00:00+05:30,74.65,76.9,73.75,74.2,306636
2022-03-24 00:00:00+05:30,74.2,76.8,73.75,74.9,328014
2022-03-25 00:00:00+05:30,75.45,79.1,74.9,76.4,951957
2022-03-28 00:00:00+05:30,77.15,77.2,74.3,74.75,279677
2022-03-29 00:00:00+05:30,74.95,75.5,70.65,71.2,390748
2022-03-30 00:00:00+05:30,71.9,72.9,70,70.6,320463
2022-03-31 00:00:00+05:30,71,72.9,70.55,70.95,1038704
2022-04-01 00:00:00+05:30,71.4,74,71.25,73.15,274942
2022-04-04 00:00:00+05:30,73.2,76.2,73,75.65,446944
2022-04-05 00:00:00+05:30,76.25,77.9,75.25,75.7,374436
2022-04-06 00:00:00+05:30,75.7,79,75.2,77.3,613740
2022-04-07 00:00:00+05:30,77.4,78.5,75.05,75.85,244261
2022-04-08 00:00:00+05:30,76.15,79,75.9,77.15,274195
