date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,384,387,384,386.1,3234192
2022-01-04 00:00:00+05:30,388,393.75,384.75,385.95,5899648
2022-01-05 00:00:00+05:30,384.95,396.5,383.45,394.7,6741998
2022-01-06 00:00:00+05:30,396,396.65,390.6,395.8,4118574
2022-01-07 00:00:00+05:30,398,402.9,395,396.2,5957213
2022-01-10 00:00:00+05:30,399,399.7,395.6,397.55,2089864
2022-01-11 00:00:00+05:30,398.8,398.8,390.15,391.15,3427008
2022-01-12 00:00:00+05:30,394.5,395.95,386.55,388.7,4623410
2022-01-13 00:00:00+05:30,390.2,397.55,387.25,394.5,4245712
2022-01-14 00:00:00+05:30,395,399.95,392.5,398.45,3457752
2022-01-17 00:00:00+05:30,401,404.4,398.6,400.55,4835805
2022-01-18 00:00:00+05:30,401.8,406.9,396.35,398.1,6610248
2022-01-19 00:00:00+05:30,396,401.5,393,394.35,5173988
2022-01-20 00:00:00+05:30,395,397.55,390.2,393.05,3247617
2022-01-21 00:00:00+05:30,393.8,396.05,380,381.7,5155269
2022-01-24 00:00:00+05:30,381.4,383.85,370.1,373.1,5334037
2022-01-25 00:00:00+05:30,372.1,383.8,368,382.55,4952650
2022-01-27 00:00:00+05:30,385,385.25,375,382.2,5737395
2022-01-28 00:00:00+05:30,384.95,393.5,381.35,382.5,4044959
2022-01-31 00:00:00+05:30,390,399.8,387.95,397.05,6964092
2022-02-01 00:00:00+05:30,395,395,376,378.85,12757699
2022-02-02 00:00:00+05:30,385,385.6,379.35,382.1,5850788
2022-02-03 00:00:00+05:30,384,384.9,376.5,377.05,5329147
2022-02-04 00:00:00+05:30,377.15,380,374.05,375.65,4478855
2022-02-07 00:00:00+05:30,378,378.4,370.1,372.45,4094513
2022-02-08 00:00:00+05:30,374.4,378.5,370.65,377.4,3454806
2022-02-09 00:00:00+05:30,380,382,374.7,375.6,4646178
2022-02-10 00:00:00+05:30,372.7,373.5,368.5,369.65,6141529
2022-02-11 00:00:00+05:30,369.65,374.5,365,369.55,5631276
2022-02-14 00:00:00+05:30,365,365.85,360.55,361.7,5098193
2022-02-15 00:00:00+05:30,362.05,369.75,356.6,368.9,5524786
2022-02-16 00:00:00+05:30,371,378.4,370.3,374.1,5444908
2022-02-17 00:00:00+05:30,375.95,377.25,371,373,2612160
2022-02-18 00:00:00+05:30,371.45,375.95,371.45,373.15,2210217
2022-02-21 00:00:00+05:30,373,373,365.05,368.75,3103771
2022-02-22 00:00:00+05:30,360,364.45,349.3,355.3,7053081
2022-02-23 00:00:00+05:30,358.5,360.8,356.2,357.1,2818071
2022-02-24 00:00:00+05:30,349,352,331.1,333.05,7047485
2022-02-25 00:00:00+05:30,340,341.5,332.15,336.35,5839510
2022-02-28 00:00:00+05:30,335.35,351.3,332,349.8,9573141
2022-03-02 00:00:00+05:30,346.5,356.7,339.8,342.1,7734602
2022-03-03 00:00:00+05:30,347.4,354,343.35,346.4,6412853
2022-03-04 00:00:00+05:30,347.95,351.5,343,348.35,7778930
2022-03-07 00:00:00+05:30,347,347,331.8,338,9968000
2022-03-08 00:00:00+05:30,337.8,343,332.7,341.6,6440280
2022-03-09 00:00:00+05:30,344.5,347.65,337.7,342.65,6781953
2022-03-10 00:00:00+05:30,352,354,345.5,349,9054604
2022-03-11 00:00:00+05:30,351,363.7,350.25,362,8278802
2022-03-14 00:00:00+05:30,359.8,361,352.35,359.65,8224912
2022-03-15 00:00:00+05:30,361.05,361.5,348.1,350.3,6065433
2022-03-16 00:00:00+05:30,353.5,357.7,350.15,356.3,4722492
2022-03-17 00:00:00+05:30,359.6,366.2,357.85,364.2,11413836
2022-03-21 00:00:00+05:30,360,367.3,356.3,357.2,6184825
2022-03-22 00:00:00+05:30,358.85,369.7,356.7,368.4,7467189
2022-03-23 00:00:00+05:30,370.9,371.6,365,366.6,6237729
2022-03-24 00:00:00+05:30,366,367.8,360.8,362.6,4848379
2022-03-25 00:00:00+05:30,362,364.55,358.1,360.3,3629552
2022-03-28 00:00:00+05:30,360,362.85,356.3,359.7,5812191
2022-03-29 00:00:00+05:30,362,362.4,357.95,358.45,5708664
2022-03-30 00:00:00+05:30,360.5,362.4,359.2,360.05,4123566
2022-03-31 00:00:00+05:30,361,364.5,358.8,359.35,5503682
2022-04-01 00:00:00+05:30,361.55,375,361.55,374.4,6386165
2022-04-04 00:00:00+05:30,374.4,381.25,372.2,380.2,7357360
2022-04-05 00:00:00+05:30,381,382,376.55,380,3311172
2022-04-06 00:00:00+05:30,379,386.45,377.45,385.8,5843175
2022-04-07 00:00:00+05:30,384.85,387.3,379.5,380.8,3346885
2022-04-08 00:00:00+05:30,382.8,386.8,381.1,384.55,4190274
