date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,29.5,30.8,29.5,30.2,41456
2022-01-04 00:00:00+05:30,30.75,30.75,30,30.45,76964
2022-01-05 00:00:00+05:30,30.8,33.5,30.3,31.85,633066
2022-01-06 00:00:00+05:30,31.15,32.5,31.15,31.85,142045
2022-01-07 00:00:00+05:30,32.35,32.55,31.1,31.35,108766
2022-01-10 00:00:00+05:30,31.15,34,31,32.45,348435
2022-01-11 00:00:00+05:30,32.1,33.6,32.1,32.4,140853
2022-01-12 00:00:00+05:30,32.9,33.2,31.15,31.6,94065
2022-01-13 00:00:00+05:30,31.7,32.7,31.3,31.6,37726
2022-01-14 00:00:00+05:30,32.4,33.4,31.6,32.2,173696
2022-01-17 00:00:00+05:30,32.7,38,32.1,37.05,1096625
2022-01-18 00:00:00+05:30,37.9,37.9,34.7,35.05,344889
2022-01-19 00:00:00+05:30,34.85,35.5,34,34.45,102454
2022-01-20 00:00:00+05:30,34.45,38.4,34.45,36.65,406672
2022-01-21 00:00:00+05:30,36.65,38.9,36.15,37.15,461031
2022-01-24 00:00:00+05:30,35.7,37.2,32.05,33.35,227123
2022-01-25 00:00:00+05:30,33.5,34.5,32.55,33.9,73135
2022-01-27 00:00:00+05:30,33.45,34.3,32.35,33.9,56890
2022-01-28 00:00:00+05:30,34.5,39.85,34.25,36.95,1618574
2022-01-31 00:00:00+05:30,37.65,44.3,35.85,43.5,3411047
2022-02-01 00:00:00+05:30,44.85,50.95,42.1,49.45,6545868
2022-02-02 00:00:00+05:30,50.6,54.35,48.9,54.35,4545647
2022-02-03 00:00:00+05:30,54.25,57.05,52.85,57.05,1803233
2022-02-04 00:00:00+05:30,57.4,59.45,54.2,54.2,1163032
2022-02-07 00:00:00+05:30,51.75,52,51.5,51.5,79078
2022-02-08 00:00:00+05:30,48.95,48.95,48.95,48.95,40666
2022-02-09 00:00:00+05:30,46.55,46.55,46.55,46.55,30096
2022-02-10 00:00:00+05:30,44.25,44.25,44.25,44.25,20920
2022-02-11 00:00:00+05:30,42.05,46.45,42.05,46.15,246029
2022-02-14 00:00:00+05:30,44.1,44.1,43.85,43.85,16665
2022-02-15 00:00:00+05:30,41.7,42.95,41.7,41.7,57045
2022-02-16 00:00:00+05:30,39.7,43.75,39.65,42.7,166704
2022-02-17 00:00:00+05:30,43.9,44.4,40.6,40.6,58964
2022-02-18 00:00:00+05:30,42.2,42.2,38.6,38.65,78192
2022-02-21 00:00:00+05:30,36.85,38,36.75,36.75,53465
2022-02-22 00:00:00+05:30,34.95,34.95,34.95,34.95,30571
2022-02-23 00:00:00+05:30,33.25,36.65,33.25,34.1,72042
2022-02-24 00:00:00+05:30,33.8,33.8,32.4,32.4,22366
2022-02-25 00:00:00+05:30,32.4,33.85,31.15,32.6,58849
2022-02-28 00:00:00+05:30,32.6,34.2,31.1,32.9,35620
2022-03-02 00:00:00+05:30,33.5,34.45,31.3,31.5,76374
2022-03-03 00:00:00+05:30,33.05,33.05,32,32.8,37521
2022-03-04 00:00:00+05:30,33.5,33.8,32.1,32.85,20250
2022-03-07 00:00:00+05:30,32.5,32.5,31.25,31.25,22186
2022-03-08 00:00:00+05:30,31.25,32.8,30.95,31.85,34227
2022-03-09 00:00:00+05:30,32.5,33.25,32,33.05,33672
2022-03-10 00:00:00+05:30,33.4,34.5,32.5,33.95,46032
2022-03-11 00:00:00+05:30,34.65,35,33.35,34.6,20646
2022-03-14 00:00:00+05:30,34.6,35,32.9,33.5,31684
2022-03-15 00:00:00+05:30,33.5,34.1,31.85,32.15,31428
2022-03-16 00:00:00+05:30,33.5,33.5,32.2,32.6,9280
2022-03-17 00:00:00+05:30,33,33.45,32,32.55,21656
2022-03-21 00:00:00+05:30,33.2,33.2,32,32.45,16256
2022-03-22 00:00:00+05:30,32.8,32.8,31.1,31.7,26783
2022-03-23 00:00:00+05:30,31.8,32.95,31,31.75,41635
2022-03-24 00:00:00+05:30,33.3,33.3,31.6,32.25,15917
2022-03-25 00:00:00+05:30,32.7,32.7,31.55,32.05,20733
2022-03-28 00:00:00+05:30,31.55,32.05,30.45,30.45,45166
2022-03-29 00:00:00+05:30,31.7,31.7,28.95,28.95,100839
2022-03-30 00:00:00+05:30,29,30.25,29,29.8,38758
2022-03-31 00:00:00+05:30,29.9,30.65,28.35,28.7,107900
2022-04-01 00:00:00+05:30,29.25,30.1,28.5,30.1,49596
2022-04-04 00:00:00+05:30,30.8,31.6,30.8,31.6,45821
2022-04-05 00:00:00+05:30,33.15,33.15,32,33.15,69077
2022-04-06 00:00:00+05:30,34.4,34.8,31.6,34.25,143363
2022-04-07 00:00:00+05:30,34.7,35.55,34.25,34.65,56334
2022-04-08 00:00:00+05:30,34.65,36.95,34.65,35.95,107742
